// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
49991		-0.047857	0.038280	-0.275151
49992		-0.047542	0.049085	-0.270840
49993		-0.048015	0.060580	-0.268209
49994		-0.047387	0.072564	-0.266313
49995		-0.044530	0.087198	-0.263387
49996		-0.041010	0.101022	-0.260891
49997		-0.036184	0.115121	-0.259077
49998		-0.032250	0.130515	-0.259799
49999		-0.026416	0.144240	-0.257477
50000		-0.025021	0.155318	-0.255956
50001		-0.023112	0.167530	-0.254783
50002		-0.016735	0.180347	-0.254683
50003		-0.010297	0.192970	-0.254324
50004		-0.002247	0.204111	-0.253025
50005		0.012733	0.219359	-0.256113
50006		0.028624	0.234346	-0.258377
50007		0.043713	0.249678	-0.259644
50008		0.056163	0.264236	-0.260984
50009		0.069015	0.276419	-0.262109
50010		0.075142	0.282491	-0.263644
50011		0.073804	0.282608	-0.264098
50012		0.066415	0.278437	-0.264347
50013		0.054134	0.269281	-0.263258
50014		0.038800	0.260866	-0.259139
50015		0.029767	0.251405	-0.257778
50016		0.019745	0.242528	-0.254983
50017		0.014882	0.235630	-0.254369
50018		0.014045	0.231131	-0.254029
50019		0.016301	0.228779	-0.253559
50020		0.020006	0.227827	-0.253920
50021		0.021240	0.225813	-0.254477
50022		0.026288	0.225388	-0.253730
50023		0.029388	0.225560	-0.254238
50024		0.034099	0.227334	-0.253578
50025		0.038551	0.228047	-0.253317
50026		0.044345	0.230103	-0.255448
50027		0.050917	0.233574	-0.254067
50028		0.058825	0.238368	-0.255212
50029		0.067387	0.241361	-0.254945
50030		0.077076	0.241765	-0.255952
50031		0.084150	0.244067	-0.258996
50032		0.089968	0.245850	-0.258371
50033		0.093861	0.248296	-0.259020
50034		0.094571	0.248218	-0.258931
50035		0.093250	0.248388	-0.259485
50036		0.090738	0.245562	-0.260345
50037		0.088207	0.239106	-0.260577
50038		0.084381	0.232373	-0.260045
50039		0.082401	0.221410	-0.262217
50040		0.080898	0.211983	-0.262816
50041		0.079245	0.201914	-0.264535
50042		0.079625	0.191600	-0.265548
50043		0.079413	0.179329	-0.267329
50044		0.081676	0.168128	-0.268756
50045		0.082240	0.158089	-0.270441
50046		0.087494	0.149121	-0.272066
50047		0.089515	0.139705	-0.270580
50048		0.092318	0.133309	-0.273023
50049		0.092888	0.126389	-0.274858
50050		0.094813	0.120497	-0.276119
50051		0.096360	0.113133	-0.276699
50052		0.100063	0.109070	-0.277317
50053		0.101969	0.105789	-0.277394
50054		0.102783	0.102995	-0.278364
50055		0.104125	0.101073	-0.276910
50056		0.105712	0.100492	-0.278003
50057		0.106613	0.100706	-0.278594
50058		0.106651	0.101920	-0.278932
50059		0.105967	0.100733	-0.278649
50060		0.104019	0.099329	-0.278021
50061		0.104588	0.098638	-0.279089
50062		0.102974	0.098144	-0.278121
50063		0.102108	0.096226	-0.276685
50064		0.100703	0.096519	-0.277326
50065		0.100961	0.097759	-0.275981
50066		0.101565	0.100398	-0.274832
50067		0.101026	0.102480	-0.273149
50068		0.101399	0.104603	-0.273146
50069		0.103965	0.106238	-0.272260
50070		0.103897	0.110167	-0.271539
50071		0.104763	0.113416	-0.271928
50072		0.105931	0.117478	-0.269294
50073		0.106699	0.120359	-0.268505
50074		0.108180	0.122493	-0.268539
50075		0.109739	0.124503	-0.268612
50076		0.110885	0.125728	-0.268987
50077		0.112759	0.125484	-0.268903
50078		0.115121	0.124005	-0.270374
50079		0.114478	0.122922	-0.270602
50080		0.118180	0.121970	-0.270964
50081		0.117189	0.119949	-0.271283
50082		0.117670	0.116246	-0.272594
50083		0.117680	0.110723	-0.272246
50084		0.116615	0.105705	-0.273057
50085		0.117854	0.100621	-0.273856
50086		0.120013	0.095244	-0.273973
50087		0.118483	0.088421	-0.273206
50088		0.119405	0.082911	-0.275235
50089		0.119862	0.075585	-0.276031
50090		0.121352	0.068390	-0.276830
50091		0.123221	0.061926	-0.276686
50092		0.122826	0.055616	-0.277071
50093		0.123384	0.048688	-0.278438
50094		0.124870	0.044602	-0.278982
50095		0.125574	0.040953	-0.278432
50096		0.126493	0.038552	-0.280207
50097		0.126145	0.035191	-0.279606
50098		0.126519	0.034203	-0.279857
50099		0.126862	0.032697	-0.279348
50100		0.126794	0.033516	-0.278881
50101		0.128013	0.031495	-0.279554
50102		0.130163	0.032338	-0.279161
50103		0.129281	0.033521	-0.277389
50104		0.129317	0.034733	-0.277726
50105		0.130326	0.035059	-0.275953
50106		0.130258	0.035877	-0.275486
50107		0.131017	0.035631	-0.275068
50108		0.132496	0.037765	-0.275101
50109		0.132170	0.037556	-0.275071
50110		0.132098	0.041484	-0.274348
50111		0.134995	0.044063	-0.272574
50112		0.135468	0.046578	-0.273374
50113		0.137450	0.049881	-0.273629
50114		0.139365	0.053317	-0.274124
50115		0.140476	0.057133	-0.273695
50116		0.141511	0.061072	-0.273008
50117		0.145610	0.067137	-0.272351
50118		0.146617	0.074457	-0.274162
50119		0.147069	0.082415	-0.270529
50120		0.148764	0.091280	-0.268903
50121		0.150057	0.102085	-0.269096
50122		0.149525	0.114032	-0.267141
50123		0.149839	0.128069	-0.265596
50124		0.151516	0.143147	-0.263456
50125		0.147365	0.157087	-0.260960
50126		0.150148	0.172175	-0.258856
50127		0.147877	0.185223	-0.256803
50128		0.146221	0.200259	-0.254557
50129		0.144279	0.214212	-0.252171
50130		0.142185	0.227944	-0.249464
50131		0.140924	0.240617	-0.247176
50132		0.137831	0.251623	-0.245495
50133		0.136092	0.263247	-0.244825
50134		0.133569	0.272568	-0.241913
50135		0.132185	0.278883	-0.241788
50136		0.132757	0.287725	-0.240125
50137		0.132840	0.295022	-0.240168
50138		0.132747	0.302047	-0.239189
50139		0.131359	0.308353	-0.239399
50140		0.127489	0.311205	-0.240866
50141		0.126641	0.316096	-0.242256
50142		0.124543	0.320776	-0.243074
50143		0.123380	0.324806	-0.244892
50144		0.121410	0.329607	-0.243760
50145		0.119245	0.333691	-0.243486
50146		0.117477	0.339278	-0.243961
50147		0.117748	0.343879	-0.242394
50148		0.119105	0.348717	-0.241362
50149		0.116521	0.351541	-0.240727
50150		0.115096	0.354931	-0.241117
50151		0.115770	0.357485	-0.239678
50152		0.114791	0.359072	-0.240785
50153		0.113413	0.362282	-0.241165
50154		0.112001	0.362567	-0.241810
50155		0.110364	0.362065	-0.243149
50156		0.110839	0.361467	-0.244203
50157		0.112694	0.361201	-0.244244
50158		0.112622	0.362014	-0.243776
50159		0.116384	0.360915	-0.244347
50160		0.117291	0.361617	-0.245863
50161		0.119922	0.363593	-0.246112
50162		0.120729	0.363903	-0.246824
50163		0.123315	0.365770	-0.246936
50164		0.123012	0.366067	-0.247614
50165		0.123573	0.365392	-0.248882
50166		0.125056	0.364413	-0.249165
50167		0.122360	0.364009	-0.251422
50168		0.123512	0.362123	-0.252047
50169		0.122281	0.359579	-0.253637
50170		0.120654	0.356245	-0.255685
50171		0.118640	0.354578	-0.257040
50172		0.115356	0.352641	-0.257534
50173		0.111278	0.351138	-0.256837
50174		0.111406	0.352735	-0.257977
50175		0.108316	0.353937	-0.256409
50176		0.103244	0.353273	-0.257298
50177		0.099214	0.352016	-0.257636
50178		0.096921	0.352802	-0.257103
50179		0.095250	0.352072	-0.258353
50180		0.091965	0.350134	-0.258847
50181		0.090070	0.351726	-0.257498
50182		0.085559	0.352486	-0.256899
50183		0.084819	0.351207	-0.256345
50184		0.078766	0.350653	-0.255252
50185		0.075190	0.350421	-0.253234
50186		0.072695	0.350422	-0.251093
50187		0.066936	0.350252	-0.249229
50188		0.062552	0.351134	-0.246681
50189		0.054256	0.349736	-0.241941
50190		0.043560	0.348344	-0.239108
50191		0.028687	0.346864	-0.232398
50192		0.008501	0.343013	-0.224479
50193		-0.014390	0.340438	-0.214821
50194		-0.042881	0.337639	-0.202397
50195		-0.076377	0.332626	-0.187838
50196		-0.112943	0.328297	-0.170012
50197		-0.158414	0.317148	-0.152136
50198		-0.202104	0.308342	-0.133886
50199		-0.247981	0.299359	-0.115764
50200		-0.287710	0.292419	-0.096921
50201		-0.330083	0.283965	-0.077064
50202		-0.370525	0.278319	-0.058645
50203		-0.408928	0.272016	-0.042079
50204		-0.443280	0.265030	-0.025332
50205		-0.472691	0.259592	-0.011425
50206		-0.497398	0.255190	0.002176
50207		-0.519611	0.251482	0.014460
50208		-0.539662	0.247918	0.026318
50209		-0.557459	0.244500	0.036001
50210		-0.573076	0.241252	0.044972
50211		-0.584260	0.237910	0.052115
50212		-0.591423	0.236838	0.058771
50213		-0.597464	0.232596	0.063469
50214		-0.601071	0.232344	0.068412
50215		-0.605234	0.227161	0.072349
50216		-0.607630	0.224464	0.073460
50217		-0.605931	0.220444	0.074985
50218		-0.603522	0.215606	0.076062
50219		-0.601572	0.209354	0.076087
50220		-0.599172	0.201667	0.074171
50221		-0.594771	0.193098	0.071699
50222		-0.589929	0.186217	0.068102
50223		-0.580782	0.178474	0.065357
50224		-0.571153	0.169710	0.058966
50225		-0.560876	0.162332	0.053699
50226		-0.549678	0.154624	0.049558
50227		-0.538631	0.146345	0.044557
50228		-0.531332	0.134058	0.038797
50229		-0.529595	0.118212	0.033179
50230		-0.536549	0.100048	0.028530
50231		-0.542881	0.076805	0.024517
50232		-0.559732	0.049318	0.021423
50233		-0.578035	0.017387	0.018036
50234		-0.596433	-0.017900	0.017748
50235		-0.619199	-0.056382	0.016894
50236		-0.645194	-0.100594	0.017322
50237		-0.673577	-0.151936	0.018365
50238		-0.704848	-0.208035	0.021179
50239		-0.740499	-0.270414	0.022867
50240		-0.775865	-0.341127	0.027025
50241		-0.814147	-0.417094	0.030833
50242		-0.856569	-0.498079	0.036254
50243		-0.899159	-0.579564	0.040464
50244		-0.945534	-0.661970	0.046611
50245		-0.990993	-0.744820	0.049248
50246		-1.036624	-0.827812	0.054351
50247		-1.085559	-0.916787	0.055792
50248		-1.134659	-1.014895	0.056499
50249		-1.178959	-1.115351	0.056686
50250		-1.227569	-1.214616	0.055243
50251		-1.274040	-1.314009	0.048953
50252		-1.317954	-1.421402	0.046353
50253		-1.368453	-1.531501	0.039891
50254		-1.429775	-1.646025	0.031977
50255		-1.503699	-1.761223	0.019018
50256		-1.580279	-1.879386	-0.006143
50257		-1.657271	-2.004541	-0.042365
50258		-1.712154	-2.142866	-0.059645
50259		-1.765773	-2.302745	-0.059127
50260		-1.822854	-2.468047	-0.063051
50261		-1.886574	-2.641776	-0.072239
50262		-1.952382	-2.823546	-0.073576
50263		-2.027098	-3.013685	-0.078020
50264		-2.104527	-3.213167	-0.078738
50265		-2.192604	-3.431479	-0.071904
50266		-2.287080	-3.668346	-0.067085
50267		-2.393304	-3.926291	-0.068422
50268		-2.506212	-4.205994	-0.069784
50269		-2.629186	-4.510419	-0.065166
50270		-2.761167	-4.844418	-0.053358
50271		-2.892889	-5.209908	-0.030857
