// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
49991		-0.003947	0.883327	1.786165
49992		0.013687	0.866324	1.763990
49993		0.032861	0.848815	1.743396
49994		0.053355	0.828638	1.721232
49995		0.075476	0.804417	1.691166
49996		0.096544	0.779139	1.653701
49997		0.119485	0.755277	1.604227
49998		0.141293	0.727666	1.545128
49999		0.162717	0.695626	1.480696
50000		0.178238	0.656465	1.418665
50001		0.185820	0.610430	1.367117
50002		0.184007	0.554141	1.326463
50003		0.177689	0.499078	1.302942
50004		0.166684	0.449601	1.301384
50005		0.152173	0.406092	1.318625
50006		0.130966	0.373080	1.356313
50007		0.108138	0.353720	1.408854
50008		0.079674	0.345692	1.472331
50009		0.047554	0.348361	1.539568
50010		0.013014	0.354758	1.600869
50011		-0.019684	0.366287	1.652496
50012		-0.039696	0.376130	1.685438
50013		-0.050046	0.385379	1.702734
50014		-0.045531	0.385944	1.703014
50015		-0.027412	0.381186	1.690396
50016		0.002626	0.363140	1.668521
50017		0.037449	0.334777	1.639097
50018		0.073526	0.297079	1.607584
50019		0.102506	0.259467	1.580053
50020		0.124316	0.224797	1.556378
50021		0.133564	0.200900	1.540869
50022		0.134493	0.180356	1.530729
50023		0.130286	0.165100	1.532351
50024		0.124750	0.151938	1.546661
50025		0.116961	0.143633	1.575094
50026		0.107197	0.141145	1.609707
50027		0.091233	0.144416	1.645616
50028		0.068206	0.152278	1.683000
50029		0.039806	0.157280	1.721787
50030		0.002793	0.163685	1.762824
50031		-0.038461	0.170839	1.801912
50032		-0.086064	0.171221	1.836442
50033		-0.139084	0.170032	1.868626
50034		-0.192000	0.168689	1.901535
50035		-0.239394	0.168626	1.937773
50036		-0.279501	0.165022	1.978290
50037		-0.310523	0.162274	2.020187
50038		-0.334779	0.165199	2.067849
50039		-0.354137	0.164268	2.120418
50040		-0.366897	0.167242	2.175746
50041		-0.375761	0.173258	2.229886
50042		-0.380103	0.180257	2.276504
50043		-0.384079	0.185824	2.316525
50044		-0.385184	0.189126	2.345397
50045		-0.388069	0.194293	2.367396
50046		-0.390296	0.196699	2.384710
50047		-0.396511	0.199032	2.400068
50048		-0.407637	0.203994	2.413787
50049		-0.424542	0.210266	2.431990
50050		-0.447338	0.217187	2.450134
50051		-0.473666	0.223631	2.469123
50052		-0.501439	0.228357	2.486710
50053		-0.532191	0.232332	2.500438
50054		-0.562201	0.236221	2.511394
50055		-0.592274	0.232782	2.517437
50056		-0.620445	0.231576	2.521079
50057		-0.648120	0.226604	2.521276
50058		-0.675122	0.220264	2.521495
50059		-0.701813	0.210972	2.521717
50060		-0.727205	0.198889	2.525823
50061		-0.754500	0.190902	2.531025
50062		-0.781245	0.176242	2.537021
50063		-0.805029	0.167691	2.548197
50064		-0.828546	0.155636	2.563652
50065		-0.851748	0.145759	2.582044
50066		-0.876719	0.135971	2.602122
50067		-0.902040	0.129423	2.620861
50068		-0.927640	0.123490	2.639145
50069		-0.952458	0.112920	2.650890
50070		-0.979786	0.103346	2.664470
50071		-1.006120	0.093534	2.675034
50072		-1.032610	0.086990	2.686636
50073		-1.060354	0.085631	2.696450
50074		-1.090048	0.087755	2.707947
50075		-1.119098	0.096316	2.722469
50076		-1.147412	0.108609	2.739896
50077		-1.170783	0.122145	2.764738
50078		-1.194780	0.135529	2.794252
