// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
15158		32.901734	-13.022572	1.143543
15159		32.670901	-11.713222	1.277551
15160		32.201548	-10.883132	1.379988
15161		31.520419	-10.564189	1.492366
15162		30.552852	-10.665205	1.634029
15163		29.356400	-10.897624	1.976634
15164		28.036337	-11.279009	2.555402
15165		26.736074	-11.913385	3.420539
15166		25.628712	-12.502347	4.863713
15167		24.903958	-12.660462	6.656250
15168		24.460563	-12.587063	8.064251
15169		24.040534	-12.367796	9.185124
15170		23.413293	-12.009486	10.200089
15171		22.568512	-11.294095	11.075478
15172		21.548799	-10.297810	11.631402
15173		20.422682	-9.271799	11.738161
15174		19.264866	-8.386580	11.437865
15175		18.076145	-7.679478	10.910222
15176		16.774651	-7.009262	10.290001
15177		15.348497	-6.324452	9.684808
15178		13.886655	-5.766830	9.281372
15179		12.508798	-5.416615	9.224699
15180		11.309754	-5.212341	9.509484
15181		10.353904	-5.082987	10.031510
15182		9.609698	-5.013209	10.628734
15183		8.992462	-4.976948	11.168613
15184		8.396573	-4.913210	11.589701
15185		7.747434	-4.790409	11.928941
15186		7.020297	-4.566341	12.254616
15187		6.235489	-4.241963	12.638893
15188		5.425028	-3.801839	13.109675
15189		4.610144	-3.225715	13.626380
15190		3.802237	-2.507521	14.138438
15191		2.999942	-1.704200	14.613021
15192		2.187351	-0.891673	15.062664
15193		1.364020	-0.127267	15.488346
15194		0.531787	0.588884	15.897446
15195		-0.293049	1.255118	16.291092
15196		-1.111408	1.857952	16.649160
15197		-1.908626	2.418648	16.958757
15198		-2.682627	2.955843	17.205513
15199		-3.426954	3.497524	17.394615
15200		-4.136372	4.058102	17.536300
15201		-4.821711	4.611458	17.636978
15202		-5.503436	5.166565	17.649789
15203		-6.135114	5.731483	17.561331
15204		-6.718118	6.251654	17.294610
15205		-7.234893	6.719102	16.824428
15206		-7.675011	7.136511	16.197505
15207		-8.075109	7.485816	15.477133
15208		-8.455426	7.765719	14.730347
15209		-8.820904	7.946321	13.978850
15210		-9.169012	7.989547	13.214614
15211		-9.504563	7.914244	12.455363
15212		-9.825845	7.803743	11.710375
15213		-10.110956	7.685063	11.010775
15214		-10.337517	7.547470	10.373178
15215		-10.492936	7.362661	9.748144
15216		-10.554371	7.100287	9.109853
15217		-10.467885	6.753898	8.525769
15218		-10.229887	6.346184	8.046988
15219		-9.839693	5.917578	7.705717
15220		-9.299596	5.441692	7.529191
15221		-8.603941	4.903431	7.485810
15222		-7.730016	4.247329	7.476387
15223		-6.707524	3.418864	7.418966
15224		-5.498274	2.570242	7.349500
15225		-4.120960	1.730702	7.302913
15226		-2.590778	0.819875	7.240108
15227		-0.925827	-0.200884	7.152576
