// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
20426	0.240347	-0.349231	-0.261674
20427	0.246699	-0.350145	-0.270355
20428	0.250698	-0.353320	-0.273435
20429	0.250673	-0.356561	-0.280177
20430	0.247203	-0.358948	-0.277675
20431	0.239753	-0.364655	-0.269890
20432	0.230055	-0.369782	-0.256316
20433	0.221575	-0.374904	-0.252941
20434	0.209389	-0.379029	-0.238327
20435	0.194504	-0.385229	-0.240115
20436	0.179369	-0.390060	-0.239319
20437	0.166867	-0.395408	-0.238473
20438	0.156082	-0.399463	-0.222833
20439	0.145893	-0.402172	-0.216577
20440	0.131946	-0.406886	-0.204862
20441	0.119725	-0.409681	-0.200317
20442	0.109307	-0.412631	-0.194053
20443	0.098031	-0.416388	-0.197660
20444	0.087670	-0.418290	-0.202897
20445	0.076253	-0.418968	-0.211728
20446	0.063884	-0.421655	-0.212580
20447	0.052101	-0.424285	-0.216110
20448	0.041514	-0.428266	-0.214883
20449	0.030521	-0.434076	-0.216803
20450	0.021656	-0.433758	-0.206519
20451	0.012851	-0.436767	-0.205709
20452	0.003889	-0.439341	-0.200014
20453	-0.004537	-0.443322	-0.201954
20454	-0.009860	-0.445479	-0.204291
20455	-0.017835	-0.447618	-0.209748
20456	-0.022928	-0.449748	-0.216298
20457	-0.027784	-0.451239	-0.220961
20458	-0.033413	-0.453227	-0.227318
20459	-0.038200	-0.456510	-0.234757
20460	-0.043215	-0.459834	-0.243475
20461	-0.048467	-0.462040	-0.249948
20462	-0.052959	-0.463446	-0.256773
20463	-0.058832	-0.467288	-0.263294
20464	-0.062790	-0.471770	-0.271796
20465	-0.069609	-0.475147	-0.280943
20466	-0.075020	-0.480107	-0.292712
20467	-0.079779	-0.485135	-0.303818
20468	-0.086160	-0.489637	-0.309948
20469	-0.089083	-0.492627	-0.319247
20470	-0.093303	-0.498845	-0.330700
20471	-0.098241	-0.504845	-0.339153
20472	-0.101839	-0.510591	-0.351528
20473	-0.101952	-0.513748	-0.360064
20474	-0.105911	-0.521070	-0.365307
20475	-0.107970	-0.524423	-0.373766
20476	-0.108457	-0.528522	-0.384368
20477	-0.108947	-0.530703	-0.390154
20478	-0.109795	-0.533555	-0.394694
20479	-0.111127	-0.538290	-0.398767
20480	-0.114176	-0.543239	-0.395479
20481	-0.117282	-0.548373	-0.395904
20482	-0.119615	-0.552729	-0.388363
20483	-0.121594	-0.557356	-0.388816
20484	-0.125729	-0.562164	-0.386959
20485	-0.129629	-0.568730	-0.390999
20486	-0.134502	-0.573921	-0.390412
20487	-0.138091	-0.579669	-0.394428
20488	-0.142822	-0.585131	-0.398222
20489	-0.146568	-0.588985	-0.401248
20490	-0.149167	-0.594200	-0.397110
20491	-0.149620	-0.597602	-0.395784
20492	-0.150866	-0.601724	-0.393085
20493	-0.151450	-0.604974	-0.394436
20494	-0.154132	-0.609405	-0.399894
20495	-0.155466	-0.614139	-0.403967
20496	-0.152736	-0.614077	-0.407219
20497	-0.150331	-0.616523	-0.410465
20498	-0.147699	-0.618775	-0.407426
20499	-0.144344	-0.621681	-0.408049
20500	-0.141710	-0.622631	-0.399667
20501	-0.139353	-0.626194	-0.397583
20502	-0.135605	-0.630560	-0.391065
20503	-0.135438	-0.632323	-0.389691
20504	-0.135297	-0.635454	-0.386810
20505	-0.132806	-0.637997	-0.388272
20506	-0.131121	-0.639075	-0.388478
20507	-0.128873	-0.639622	-0.390733
20508	-0.125652	-0.640415	-0.388373
20509	-0.122497	-0.641372	-0.388896
20510	-0.122954	-0.643379	-0.382746
20511	-0.120462	-0.641313	-0.382202
20512	-0.120133	-0.641755	-0.377789
20513	-0.118660	-0.642041	-0.379097
20514	-0.115799	-0.639840	-0.378287
20515	-0.114128	-0.640901	-0.385915
20516	-0.113845	-0.642111	-0.385792
