// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
59226		-0.297915	-0.605030	1.728875
59227		-0.332905	-0.601617	1.874512
59228		-0.367441	-0.593699	2.036656
59229		-0.402617	-0.584799	2.206723
59230		-0.437330	-0.575876	2.369614
59231		-0.470072	-0.567444	2.526525
59232		-0.495406	-0.560105	2.685065
59233		-0.515804	-0.549213	2.838969
59234		-0.534376	-0.538911	2.981581
59235		-0.553649	-0.524532	3.111615
59236		-0.572126	-0.510746	3.235461
59237		-0.591334	-0.497334	3.349543
59238		-0.608241	-0.485036	3.460022
59239		-0.621546	-0.469751	3.574065
59240		-0.633185	-0.453606	3.698578
59241		-0.642765	-0.433955	3.829680
59242		-0.648210	-0.411313	3.968931
59243		-0.656070	-0.386622	4.117819
59244		-0.658460	-0.359517	4.270746
59245		-0.659447	-0.334516	4.418603
59246		-0.657977	-0.310427	4.563291
59247		-0.653868	-0.283159	4.701361
59248		-0.648223	-0.256841	4.826209
59249		-0.642955	-0.227802	4.932472
59250		-0.639587	-0.198397	5.012376
59251		-0.634356	-0.168181	5.068358
59252		-0.628778	-0.142185	5.108677
59253		-0.626610	-0.117519	5.128393
59254		-0.623123	-0.097246	5.132240
59255		-0.616539	-0.079429	5.128007
59256		-0.609624	-0.063984	5.115433
59257		-0.597081	-0.051980	5.090638
59258		-0.583453	-0.037101	5.053284
59259		-0.567254	-0.021363	5.005527
59260		-0.551650	-0.010569	4.944360
59261		-0.539823	-0.000896	4.870389
59262		-0.530281	0.008151	4.792438
59263		-0.521376	0.017567	4.708561
59264		-0.515201	0.025247	4.618722
59265		-0.507726	0.032378	4.526605
59266		-0.506086	0.033888	4.431975
59267		-0.503028	0.031426	4.334095
59268		-0.501614	0.027743	4.230917
59269		-0.501777	0.019185	4.135200
59270		-0.506584	0.005474	4.043161
59271		-0.513943	-0.006976	3.956648
59272		-0.524387	-0.017096	3.880019
59273		-0.537888	-0.028150	3.827014
59274		-0.550933	-0.037361	3.796977
59275		-0.564311	-0.048213	3.788021
59276		-0.583599	-0.059264	3.799206
59277		-0.604022	-0.067302	3.819596
59278		-0.620827	-0.076282	3.845043
59279		-0.636204	-0.083581	3.876233
59280		-0.650542	-0.092914	3.908806
59281		-0.663010	-0.099982	3.944736
59282		-0.680893	-0.102665	3.983697
59283		-0.694908	-0.106305	4.035084
59284		-0.709856	-0.102624	4.098194
59285		-0.725737	-0.101427	4.175061
59286		-0.740690	-0.099478	4.258603
59287		-0.750653	-0.096621	4.351719
59288		-0.758625	-0.092406	4.446696
59289		-0.762374	-0.088542	4.546466
59290		-0.758366	-0.083296	4.657122
59291		-0.746377	-0.079702	4.775572
59292		-0.732558	-0.073304	4.884768
59293		-0.716786	-0.064160	4.982292
59294		-0.700038	-0.049680	5.067644
59295		-0.686925	-0.038536	5.135121
59296		-0.677703	-0.032025	5.176157
59297		-0.667697	-0.025377	5.196694
59298		-0.660185	-0.018965	5.200089
59299		-0.648112	-0.013414	5.192121
59300		-0.639940	-0.010764	5.169573
59301		-0.629963	-0.009355	5.137127
59302		-0.616967	-0.008745	5.095677
59303		-0.602938	-0.007818	5.045958
59304		-0.587755	-0.009618	4.987812
59305		-0.570401	-0.008428	4.928492
59306		-0.552346	-0.008814	4.864077
59307		-0.537822	-0.009463	4.788814
59308		-0.526287	-0.013879	4.704367
59309		-0.513827	-0.017419	4.611404
59310		-0.503553	-0.021505	4.515156
59311		-0.494392	-0.027710	4.420156
59312		-0.488933	-0.033221	4.330526
59313		-0.485792	-0.040631	4.247056
59314		-0.486396	-0.047858	4.163068
59315		-0.485814	-0.060469	4.080111
59316		-0.486704	-0.069716	4.005097
59317		-0.488704	-0.078163	3.943358
59318		-0.494164	-0.085526	3.893629
59319		-0.501256	-0.092679	3.860090
59320		-0.511114	-0.096510	3.843482
59321		-0.524069	-0.100560	3.840333
59322		-0.543539	-0.105626	3.848314
59323		-0.565958	-0.113067	3.864263
59324		-0.587949	-0.122644	3.888523
59325		-0.613507	-0.130196	3.931524
59326		-0.637625	-0.137458	3.989035
59327		-0.660799	-0.143904	4.061888
59328		-0.680236	-0.149828	4.150471
59329		-0.696810	-0.153238	4.249459
59330		-0.710663	-0.153715	4.349360
59331		-0.722342	-0.156129	4.448049
59332		-0.733694	-0.153265	4.546319
59333		-0.744909	-0.148964	4.645644
59334		-0.757128	-0.143735	4.740887
59335		-0.767661	-0.140955	4.826935
59336		-0.774967	-0.138297	4.903658
59337		-0.778829	-0.135025	4.970492
59338		-0.782994	-0.130699	5.026138
59339		-0.785959	-0.130700	5.068487
59340		-0.790189	-0.131305	5.104302
59341		-0.794549	-0.135884	5.137114
59342		-0.803765	-0.139115	5.167718
59343		-0.814413	-0.139163	5.202076
59344		-0.827723	-0.139353	5.240261
59345		-0.845348	-0.141176	5.269613
59346		-0.863369	-0.143025	5.285714
59347		-0.882724	-0.145168	5.299843
59348		-0.906494	-0.143667	5.308822
59349		-0.926005	-0.141744	5.306916
59350		-0.945152	-0.139384	5.291295
59351		-0.963642	-0.137731	5.266626
59352		-0.980327	-0.136246	5.230624
59353		-0.992166	-0.134859	5.191478
59354		-1.001997	-0.131269	5.148840
59355		-1.008863	-0.131058	5.097005
59356		-1.011166	-0.129969	5.027532
59357		-1.006638	-0.128336	4.954251
59358		-1.003014	-0.127785	4.866545
59359		-0.997642	-0.129437	4.768783
59360		-0.991567	-0.131438	4.659731
59361		-0.983620	-0.134238	4.542482
59362		-0.971878	-0.141061	4.418402
59363		-0.954838	-0.147084	4.293680
59364		-0.933261	-0.155815	4.161585
59365		-0.912470	-0.165911	4.022596
59366		-0.892157	-0.177833	3.872422
59367		-0.869048	-0.193414	3.716520
59368		-0.845619	-0.209553	3.559053
59369		-0.819855	-0.224425	3.401952
59370		-0.791755	-0.241556	3.248614
59371		-0.760367	-0.257845	3.088570
59372		-0.720694	-0.275751	2.919865
59373		-0.671431	-0.297275	2.738148
59374		-0.613192	-0.316034	2.542886
59375		-0.547013	-0.333609	2.334477
59376		-0.481469	-0.353661	2.109037
59377		-0.417739	-0.374556	1.861760
59378		-0.356850	-0.398261	1.592441
59379		-0.295583	-0.425059	1.305716
59380		-0.236550	-0.455246	1.011057
59381		-0.174904	-0.485160	0.711577
59382		-0.116280	-0.513693	0.403736
59383		-0.059905	-0.540393	0.098248
59384		-0.008156	-0.564311	-0.197312
59385		0.041677	-0.581599	-0.470844
59386		0.090108	-0.596025	-0.713315
59387		0.135038	-0.609641	-0.931469
59388		0.169817	-0.630823	-1.157861
59389		0.185792	-0.658092	-1.412571
59390		0.190257	-0.690157	-1.660907
59391		0.190109	-0.719955	-1.874630
59392		0.175888	-0.744208	-2.066870
59393		0.146798	-0.777694	-2.262282
59394		0.107964	-0.818221	-2.463906
59395		0.061894	-0.847427	-2.642830
59396		0.008131	-0.862115	-2.785109
59397		-0.056312	-0.870653	-2.904578
59398		-0.123983	-0.878445	-3.004839
59399		-0.184385	-0.883469	-3.083667
59400		-0.234311	-0.889341	-3.134917
59401		-0.277489	-0.893926	-3.172558
59402		-0.318377	-0.906272	-3.206095
59403		-0.352035	-0.921476	-3.221793
59404		-0.382196	-0.944410	-3.224526
59405		-0.412841	-0.970974	-3.215265
59406		-0.437124	-0.999580	-3.172115
59407		-0.458533	-1.024471	-3.095583
59408		-0.475502	-1.044593	-2.999587
59409		-0.492683	-1.059406	-2.891360
59410		-0.508788	-1.073473	-2.772498
59411		-0.526756	-1.079985	-2.647038
59412		-0.551873	-1.084588	-2.514750
59413		-0.580805	-1.088792	-2.365132
59414		-0.614451	-1.092656	-2.193607
59415		-0.653422	-1.097504	-2.002215
59416		-0.697950	-1.103210	-1.788459
59417		-0.748579	-1.108385	-1.546714
59418		-0.799544	-1.109431	-1.278866
59419		-0.853877	-1.110319	-0.983941
59420		-0.910872	-1.109799	-0.665824
59421		-0.971368	-1.107192	-0.328210
59422		-1.029264	-1.101640	0.029668
59423		-1.084267	-1.090838	0.399899
59424		-1.133834	-1.071332	0.776881
59425		-1.184098	-1.048791	1.146998
59426		-1.230438	-1.023014	1.497766
59427		-1.275405	-0.996327	1.822500
59428		-1.315606	-0.971982	2.116735
59429		-1.352420	-0.952805	2.364641
59430		-1.389701	-0.939536	2.563239
59431		-1.425812	-0.932602	2.717916
59432		-1.460154	-0.930897	2.839847
59433		-1.493688	-0.930111	2.929133
59434		-1.526687	-0.935065	2.990139
59435		-1.559329	-0.938937	3.032650
59436		-1.586976	-0.944424	3.067151
59437		-1.610618	-0.948409	3.096748
59438		-1.629678	-0.950290	3.123889
59439		-1.643342	-0.947324	3.154623
59440		-1.652114	-0.941080	3.184983
59441		-1.659901	-0.934912	3.204235
59442		-1.668396	-0.931534	3.201907
59443		-1.672751	-0.935078	3.179334
59444		-1.674521	-0.938316	3.133025
59445		-1.675805	-0.947429	3.057764
59446		-1.673323	-0.959871	2.952360
59447		-1.671909	-0.973760	2.817747
59448		-1.678630	-0.989964	2.646824
59449		-1.693770	-1.011183	2.444624
59450		-1.716677	-1.030663	2.232726
59451		-1.737516	-1.049071	2.031119
59452		-1.762635	-1.062559	1.845162
59453		-1.788441	-1.072145	1.683199
59454		-1.816345	-1.075787	1.547838
59455		-1.844848	-1.073628	1.438001
59456		-1.871875	-1.068843	1.354895
59457		-1.896546	-1.062275	1.293864
59458		-1.917847	-1.057607	1.250083
59459		-1.934647	-1.050893	1.213223
59460		-1.943349	-1.049480	1.173886
59461		-1.949073	-1.049882	1.125845
59462		-1.947517	-1.049974	1.074585
59463		-1.936476	-1.049405	1.016784
59464		-1.922202	-1.049428	0.950220
59465		-1.902444	-1.046212	0.874859
59466		-1.878331	-1.046711	0.794695
59467		-1.853978	-1.043134	0.711459
59468		-1.826708	-1.040881	0.623256
59469		-1.797998	-1.037156	0.536143
59470		-1.770236	-1.032272	0.457420
59471		-1.738416	-1.027587	0.391705
59472		-1.705857	-1.023002	0.336352
59473		-1.672894	-1.016836	0.287609
59474		-1.646354	-1.012022	0.249315
59475		-1.619873	-1.003424	0.226753
59476		-1.597680	-0.993812	0.216069
59477		-1.579060	-0.987209	0.225681
59478		-1.563294	-0.978813	0.249606
59479		-1.543671	-0.970331	0.280620
59480		-1.519664	-0.963330	0.313201
59481		-1.493204	-0.957031	0.340656
59482		-1.468259	-0.959900	0.357220
59483		-1.451057	-0.965450	0.358158
59484		-1.444315	-0.978189	0.346565
59485		-1.452863	-0.995735	0.321994
59486		-1.469351	-1.022652	0.285550
59487		-1.493186	-1.053054	0.245328
59488		-1.518702	-1.080686	0.210195
59489		-1.548786	-1.106379	0.183138
59490		-1.580144	-1.127004	0.169447
59491		-1.609659	-1.143822	0.170952
59492		-1.637896	-1.160987	0.185386
59493		-1.667655	-1.174858	0.202978
59494		-1.697486	-1.190895	0.220401
59495		-1.727875	-1.209549	0.232325
59496		-1.756338	-1.230959	0.243470
59497		-1.779894	-1.253287	0.250971
59498		-1.796777	-1.273636	0.247437
59499		-1.805753	-1.294800	0.229210
59500		-1.806822	-1.319053	0.187532
59501		-1.793282	-1.343666	0.123000
59502		-1.771358	-1.366587	0.040143
59503		-1.741190	-1.390802	-0.066434
59504		-1.704587	-1.414298	-0.200946
59505		-1.665349	-1.437718	-0.360301
59506		-1.622477	-1.461936	-0.535988
59507		-1.578576	-1.487001	-0.729274
