// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
59226		-0.430804	-0.024770	-7.816852
59227		-0.431909	-0.021557	-7.818301
59228		-0.433122	-0.020190	-7.819733
59229		-0.432444	-0.020417	-7.819324
59230		-0.432031	-0.020363	-7.818856
59231		-0.432245	-0.018870	-7.819378
59232		-0.430318	-0.018707	-7.819106
59233		-0.427303	-0.019150	-7.819885
59234		-0.425004	-0.017527	-7.819832
59235		-0.422916	-0.016923	-7.817843
59236		-0.416991	-0.015764	-7.817893
59237		-0.415176	-0.017348	-7.817526
59238		-0.416620	-0.016333	-7.817739
59239		-0.415807	-0.015466	-7.816522
59240		-0.415735	-0.014354	-7.817061
59241		-0.415491	-0.012809	-7.815824
59242		-0.414479	-0.012722	-7.818863
59243		-0.415435	-0.012317	-7.816480
59244		-0.413462	-0.013538	-7.814388
59245		-0.412478	-0.010905	-7.816060
59246		-0.411114	-0.010020	-7.815399
59247		-0.408150	-0.007234	-7.815509
59248		-0.402692	-0.004315	-7.815208
59249		-0.397773	-0.003202	-7.816346
59250		-0.390048	0.000939	-7.818799
59251		-0.381492	0.003397	-7.817762
59252		-0.377504	0.003010	-7.817719
59253		-0.374754	0.006106	-7.820561
59254		-0.370806	0.008950	-7.819748
59255		-0.370070	0.011220	-7.820455
59256		-0.370265	0.011991	-7.820040
59257		-0.370482	0.013483	-7.820569
59258		-0.371218	0.014932	-7.819973
59259		-0.372710	0.016688	-7.821275
59260		-0.374038	0.018812	-7.820861
59261		-0.377756	0.020053	-7.822757
59262		-0.380170	0.020331	-7.822803
59263		-0.382291	0.020267	-7.822977
59264		-0.387896	0.019250	-7.823549
59265		-0.394852	0.016699	-7.824752
59266		-0.400160	0.017848	-7.823635
59267		-0.407363	0.014934	-7.823870
59268		-0.412248	0.012493	-7.826127
59269		-0.419128	0.008537	-7.825410
59270		-0.426442	0.003824	-7.825525
59271		-0.431553	0.000331	-7.825974
59272		-0.437769	-0.002505	-7.825340
59273		-0.444972	-0.005420	-7.825575
59274		-0.449641	-0.006336	-7.822544
59275		-0.453689	-0.009783	-7.824950
59276		-0.460608	-0.013030	-7.825036
59277		-0.464123	-0.017826	-7.823758
59278		-0.466601	-0.020043	-7.822703
59279		-0.469105	-0.021563	-7.822716
59280		-0.470419	-0.022644	-7.823051
59281		-0.470127	-0.024326	-7.822486
59282		-0.467971	-0.021914	-7.820501
59283		-0.465925	-0.019234	-7.824138
59284		-0.461188	-0.016659	-7.824241
59285		-0.459046	-0.013554	-7.823368
59286		-0.456643	-0.010791	-7.822442
59287		-0.455395	-0.005968	-7.822504
59288		-0.455789	-0.003020	-7.822048
59289		-0.457585	0.001603	-7.821721
59290		-0.458359	0.003085	-7.821138
59291		-0.459585	0.007030	-7.820829
59292		-0.455971	0.010961	-7.820794
59293		-0.451223	0.016040	-7.819487
59294		-0.446001	0.021163	-7.819213
59295		-0.442281	0.026866	-7.819653
59296		-0.438294	0.032228	-7.819959
59297		-0.434898	0.038971	-7.821353
59298		-0.431511	0.045044	-7.821755
59299		-0.429201	0.049914	-7.823781
59300		-0.426500	0.057388	-7.822424
59301		-0.426036	0.063198	-7.825212
59302		-0.424864	0.068728	-7.826229
59303		-0.424191	0.074229	-7.826285
59304		-0.425106	0.080369	-7.826917
59305		-0.426279	0.086810	-7.827735
59306		-0.426292	0.091219	-7.827526
59307		-0.426648	0.097345	-7.829332
59308		-0.427252	0.102442	-7.829156
59309		-0.432173	0.108265	-7.830384
59310		-0.435300	0.113870	-7.831692
59311		-0.439765	0.119747	-7.831160
59312		-0.443262	0.123888	-7.832282
59313		-0.447536	0.127630	-7.831603
59314		-0.450369	0.130375	-7.834562
59315		-0.451867	0.132131	-7.835885
59316		-0.452569	0.132214	-7.833501
59317		-0.455150	0.132095	-7.835454
59318		-0.454662	0.131534	-7.836491
59319		-0.454561	0.131988	-7.836080
59320		-0.451870	0.131896	-7.836952
59321		-0.447012	0.130518	-7.836969
59322		-0.442869	0.128070	-7.836741
59323		-0.439419	0.125860	-7.838345
59324		-0.436721	0.121919	-7.835996
59325		-0.438407	0.120082	-7.837008
59326		-0.439956	0.118667	-7.836231
59327		-0.440938	0.117247	-7.836450
59328		-0.440446	0.112771	-7.834659
59329		-0.439390	0.108277	-7.833965
59330		-0.438667	0.104205	-7.833050
59331		-0.437611	0.099711	-7.832356
59332		-0.433391	0.095879	-7.830169
59333		-0.432088	0.091747	-7.830446
59334		-0.428202	0.088944	-7.829327
59335		-0.424427	0.085694	-7.829975
59336		-0.421505	0.082118	-7.828737
59337		-0.415961	0.079332	-7.830551
59338		-0.410663	0.075564	-7.829990
59339		-0.406564	0.071273	-7.829684
59340		-0.403644	0.065866	-7.830991
59341		-0.401183	0.062205	-7.828713
59342		-0.399635	0.057778	-7.828922
59343		-0.399985	0.052450	-7.829817
59344		-0.400767	0.048249	-7.828654
59345		-0.400985	0.044015	-7.828741
59346		-0.401423	0.041288	-7.827956
59347		-0.401393	0.037418	-7.829014
59348		-0.403885	0.035249	-7.827851
59349		-0.403724	0.032473	-7.828102
59350		-0.406006	0.030670	-7.828254
59351		-0.407236	0.028886	-7.827503
59352		-0.407724	0.027546	-7.828574
59353		-0.408004	0.026542	-7.828002
59354		-0.408044	0.025278	-7.827210
59355		-0.410679	0.022661	-7.828046
59356		-0.412670	0.021221	-7.828831
59357		-0.412820	0.021311	-7.827451
59358		-0.413439	0.020699	-7.826921
59359		-0.417086	0.020532	-7.826921
59360		-0.419778	0.020535	-7.825813
59361		-0.425388	0.022038	-7.824798
59362		-0.427709	0.023458	-7.824118
59363		-0.431226	0.024385	-7.823311
59364		-0.430492	0.026706	-7.826803
59365		-0.428742	0.028356	-7.825780
59366		-0.428353	0.031043	-7.826359
59367		-0.428070	0.035089	-7.826267
59368		-0.427921	0.037402	-7.825905
59369		-0.429538	0.039888	-7.825457
59370		-0.434057	0.043304	-7.826591
59371		-0.437575	0.044231	-7.825788
59372		-0.441998	0.046204	-7.825157
59373		-0.442472	0.047336	-7.824738
59374		-0.440426	0.051224	-7.824635
59375		-0.435449	0.056673	-7.824314
59376		-0.429794	0.060052	-7.824786
59377		-0.427484	0.066753	-7.824249
59378		-0.428190	0.067559	-7.825527
59379		-0.432097	0.072755	-7.825033
59380		-0.435778	0.077698	-7.824475
59381		-0.440883	0.081752	-7.822833
59382		-0.447710	0.085356	-7.822745
59383		-0.455611	0.089567	-7.821696
59384		-0.462806	0.091722	-7.821284
59385		-0.468938	0.096398	-7.821400
59386		-0.477393	0.097442	-7.820179
59387		-0.479780	0.102741	-7.819884
59388		-0.483197	0.104123	-7.817377
