// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
18566		35.684232	-19.003286	2.475794
18567		35.036195	-18.347066	3.363133
18568		34.277639	-17.620461	4.628308
18569		33.674131	-17.083469	5.624321
18570		33.435449	-16.832279	6.033366
18571		33.736455	-16.493901	5.967397
18572		34.190510	-16.451742	5.800904
18573		34.549553	-16.709720	6.282348
18574		34.625017	-16.963675	7.061075
18575		34.409178	-16.854470	7.617486
18576		33.963699	-16.457586	7.908771
18577		33.319634	-15.889040	8.106851
18578		32.512167	-15.220802	8.183184
18579		31.639549	-14.448198	8.190725
18580		30.809546	-13.612781	8.147431
18581		30.038171	-12.840936	8.073814
18582		29.345716	-12.151643	8.029724
18583		28.735938	-11.584525	8.042648
18584		28.189170	-11.142244	8.174247
18585		27.659762	-10.743902	8.422192
18586		27.115098	-10.330576	8.672332
18587		26.526084	-9.861009	8.866564
18588		25.870618	-9.325956	8.952963
18589		25.130862	-8.742206	8.903332
18590		24.315061	-8.103161	8.714883
18591		23.433754	-7.424950	8.401062
18592		22.544680	-6.716936	7.997708
18593		21.688577	-6.015216	7.526884
18594		20.874944	-5.364089	7.030640
18595		20.092865	-4.774429	6.574053
18596		19.341471	-4.235735	6.180242
18597		18.601012	-3.755357	5.827103
18598		17.881820	-3.313333	5.505649
18599		17.167136	-2.915432	5.221990
18600		16.443534	-2.570730	4.949053
18601		15.713391	-2.248949	4.681761
18602		14.991810	-1.946106	4.439380
18603		14.269800	-1.668735	4.185869
18604		13.573358	-1.394254	3.916630
18605		12.896644	-1.145307	3.663922
18606		12.234894	-0.917882	3.426128
18607		11.581515	-0.710294	3.197919
18608		10.952064	-0.521818	3.004326
18609		10.352161	-0.329198	2.857126
18610		9.772609	-0.145535	2.754916
18611		9.198131	0.025164	2.690801
18612		8.633575	0.189857	2.672542
18613		8.083430	0.357350	2.692279
18614		7.557566	0.546866	2.763450
18615		7.054088	0.755161	2.882971
18616		6.582817	0.987730	3.049231
18617		6.135760	1.251190	3.253887
18618		5.712200	1.534163	3.505564
18619		5.288602	1.830146	3.795137
18620		4.862367	2.145408	4.106246
18621		4.428151	2.454538	4.436086
18622		3.991679	2.760940	4.786203
18623		3.542238	3.061706	5.107223
18624		3.085688	3.360369	5.383339
18625		2.624775	3.655946	5.621590
18626		2.158669	3.940485	5.826941
18627		1.678736	4.214927	5.985467
18628		1.195787	4.503829	6.095021
18629		0.709639	4.804900	6.134743
18630		0.237724	5.080751	6.105687
18631		-0.226563	5.327790	5.994013
18632		-0.673106	5.572923	5.821134
18633		-1.103501	5.806976	5.608055
18634		-1.514932	6.005911	5.376471
18635		-1.915294	6.153217	5.101401
18636		-2.300435	6.250066	4.813906
18637		-2.649612	6.314492	4.552166
18638		-2.923744	6.340117	4.329936
18639		-3.089789	6.321179	4.172169
18640		-3.128670	6.259862	4.102276
18641		-3.053072	6.110157	4.108489
18642		-2.885798	5.864478	4.122737
18643		-2.650316	5.525905	4.086011
18644		-2.380099	5.076791	3.957194
18645		-2.076905	4.516890	3.752474
18646		-1.744149	3.844104	3.490124
18647		-1.376115	3.061544	3.178015
18648		-0.968070	2.193670	2.812617
18649		-0.504095	1.274879	2.404601
18650		0.025609	0.317988	1.957755
18651		0.594650	-0.708385	1.456195
18652		1.205187	-1.765265	0.916220
18653		1.851238	-2.825468	0.332411
18654		2.514152	-3.890808	-0.282635
18655		3.193220	-4.938607	-0.919417
18656		3.886846	-5.937834	-1.573782
18657		4.609363	-6.892841	-2.245494
18658		5.363625	-7.816551	-2.895294
18659		6.152531	-8.685842	-3.490680
18660		6.966912	-9.479056	-4.004965
18661		7.796842	-10.243660	-4.495134
18662		8.679306	-10.959702	-5.002453
18663		9.643237	-11.598361	-5.507297
18664		10.661283	-12.165838	-5.979282
18665		11.712845	-12.658011	-6.378878
