// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
47543		26.333395	-9.740077	68.648005
47544		26.555605	-9.665713	68.889324
47545		26.738936	-9.598821	69.102842
47546		26.874627	-9.509499	69.293386
47547		26.943570	-9.405361	69.475435
47548		26.929462	-9.321307	69.658632
47549		26.829080	-9.297445	69.854652
47550		26.663765	-9.348110	70.083645
47551		26.429409	-9.472639	70.367815
47552		26.114013	-9.645486	70.694996
47553		25.727296	-9.821822	71.055785
47554		25.299597	-9.939045	71.475404
47555		24.846720	-9.973043	71.978521
47556		24.396179	-10.003829	72.580755
47557		23.976916	-10.073279	73.262137
47558		23.613762	-10.138213	74.009486
47559		23.312562	-10.197382	74.804097
47560		23.125208	-10.255379	75.571189
47561		23.096902	-10.263463	76.286247
47562		23.251696	-10.175031	76.908663
47563		23.552168	-9.987946	77.413829
47564		23.915029	-9.758976	77.824836
47565		24.270927	-9.505515	78.171556
47566		24.555835	-9.148800	78.438421
47567		24.690181	-8.742439	78.641441
47568		24.724063	-8.305365	78.821665
47569		24.720155	-7.735924	78.958119
47570		24.694943	-7.069270	79.093873
47571		24.643397	-6.667064	79.435434
47572		24.699946	-6.663629	80.079786
47573		25.078073	-6.661230	80.876689
47574		25.683757	-6.466386	81.683883
47575		26.120040	-6.417874	82.348018
47576		26.229213	-6.635946	83.011182
47577		26.053198	-6.785559	83.782202
47578		25.654626	-6.644099	84.508677
47579		25.061443	-6.287524	84.951587
47580		24.326084	-5.825141	85.103954
47581		23.520763	-5.242133	85.016162
47582		22.760110	-4.582837	84.839018
47583		22.060919	-4.016642	84.679009
47584		21.490613	-3.474277	84.470197
47585		21.024650	-2.903357	84.133742
47586		20.609384	-2.360554	83.865893
47587		20.154143	-1.934792	83.744079
47588		19.633168	-1.530783	83.703419
47589		19.037816	-1.096127	83.615517
47590		18.364430	-0.646331	83.424891
47591		17.644494	-0.197586	83.171908
47592		16.901394	0.256905	82.853404
47593		16.188997	0.739743	82.503985
47594		15.526061	1.217379	82.139425
47595		14.880425	1.650430	81.738136
47596		14.222694	2.061387	81.285967
47597		13.550939	2.439056	80.799050
47598		12.847088	2.784214	80.243754
47599		12.114358	3.100536	79.603390
47600		11.360597	3.395081	78.934008
47601		10.613818	3.648314	78.292369
47602		9.900295	3.858193	77.732194
47603		9.239538	4.059443	77.267668
47604		8.633865	4.281706	76.882407
47605		8.089511	4.506880	76.572986
47606		7.603637	4.759699	76.353899
47607		7.166712	5.037591	76.240414
47608		6.772287	5.338384	76.244420
47609		6.407349	5.614049	76.332148
47610		6.062922	5.884472	76.449990
47611		5.739259	6.154695	76.584682
47612		5.427005	6.405300	76.727030
47613		5.104968	6.636231	76.844396
47614		4.760203	6.849305	76.908920
47615		4.402914	7.056699	76.912212
47616		4.038924	7.257469	76.880048
47617		3.663085	7.449757	76.813450
47618		3.260445	7.649436	76.708480
47619		2.830025	7.861452	76.564328
47620		2.374107	8.062503	76.365356
47621		1.904875	8.262862	76.121607
47622		1.424606	8.458252	75.858746
47623		0.934823	8.635452	75.579533
47624		0.434208	8.794930	75.297878
47625		-0.070260	8.936318	75.026230
47626		-0.566968	9.068288	74.773933
47627		-1.041598	9.196493	74.543563
47628		-1.492588	9.324467	74.330617
47629		-1.902033	9.445048	74.152571
47630		-2.248333	9.555689	74.017093
47631		-2.523533	9.630370	73.925481
47632		-2.746819	9.668270	73.834296
47633		-2.940542	9.654873	73.678006
47634		-3.118038	9.580988	73.439333
47635		-3.284176	9.455286	73.134275
47636		-3.438439	9.272614	72.780203
47637		-3.536233	9.003530	72.421105
47638		-3.505630	8.633334	72.174733
47639		-3.360305	8.138640	72.015828
47640		-3.128978	7.486820	71.853303
47641		-2.807257	6.690485	71.630521
47642		-2.398846	5.750397	71.316804
47643		-1.917011	4.726341	70.951999
