// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
18566		13.254671	-10.286541	5.929009
18567		12.430767	-10.022616	5.182442
18568		11.453427	-10.126706	4.851395
18569		10.128630	-10.336133	5.918442
18570		8.940272	-9.872215	7.569841
18571		7.869298	-9.286463	9.440716
18572		6.660487	-8.748839	11.444264
18573		5.365942	-8.028359	13.082518
18574		4.147294	-7.326147	14.364975
18575		3.179283	-6.834111	15.742834
18576		2.537654	-6.395438	17.086125
18577		2.212891	-5.670148	18.154266
18578		1.865566	-4.880182	18.492110
18579		1.201937	-4.326206	18.111425
18580		0.421701	-3.915631	17.645911
18581		-0.254729	-3.495334	17.077739
18582		-0.726729	-3.106701	16.656048
18583		-1.107764	-2.796127	16.417828
18584		-1.349456	-2.448168	16.471778
18585		-1.501345	-2.106136	16.902573
18586		-1.601028	-1.743117	17.571038
18587		-1.697614	-1.374963	18.326153
18588		-1.773129	-0.966489	19.046997
18589		-1.833272	-0.582870	19.587611
18590		-1.925446	-0.281079	19.699070
18591		-2.076287	-0.025261	19.383560
18592		-2.283351	0.159626	18.768429
18593		-2.538281	0.327061	18.070146
18594		-2.774228	0.491543	17.430358
18595		-2.960128	0.660027	16.987077
18596		-3.104824	0.856193	16.750221
18597		-3.173091	1.131101	16.779229
18598		-3.220516	1.417084	16.945044
18599		-3.311239	1.693624	17.073475
18600		-3.411865	1.901154	17.158988
18601		-3.582344	2.076898	17.012111
18602		-3.797660	2.242894	16.624743
18603		-4.029802	2.407695	16.170617
18604		-4.242094	2.596324	15.730100
18605		-4.464041	2.804529	15.354446
18606		-4.674384	3.024174	15.093112
18607		-4.905867	3.221928	14.966210
18608		-5.139545	3.407832	14.884878
18609		-5.346773	3.627441	14.843208
18610		-5.575961	3.843758	14.708526
18611		-5.859614	4.073733	14.479144
18612		-6.166277	4.278964	14.206494
18613		-6.472147	4.488481	13.952600
18614		-6.756496	4.716597	13.804861
18615		-7.054498	4.978454	13.783783
18616		-7.367134	5.254349	13.863113
18617		-7.704431	5.514421	13.968439
18618		-8.035048	5.764606	14.067046
18619		-8.375305	6.021644	14.120092
18620		-8.733704	6.287129	14.136228
18621		-9.118023	6.575172	14.143939
18622		-9.534338	6.849354	14.113099
18623		-9.977240	7.104280	14.039993
18624		-10.430945	7.352070	13.956464
18625		-10.911298	7.626326	13.835772
18626		-11.429988	7.883805	13.658543
18627		-11.983266	8.140478	13.415260
18628		-12.559335	8.385354	13.159543
18629		-13.182678	8.612446	12.894012
18630		-13.836404	8.838078	12.672590
18631		-14.543282	9.100939	12.464073
18632		-15.286104	9.377981	12.222050
18633		-16.087117	9.630663	11.912704
18634		-16.926260	9.887306	11.559798
18635		-17.871561	10.144322	11.103879
18636		-18.920288	10.326327	10.544309
18637		-20.013932	10.489183	9.992219
18638		-21.153778	10.702795	9.491815
18639		-22.339507	10.961425	8.996383
18640		-23.565713	11.176504	8.471825
18641		-24.829616	11.332470	7.882969
18642		-26.123902	11.466349	7.183827
18643		-27.464492	11.531513	6.350388
18644		-28.856784	11.489994	5.364370
18645		-30.299610	11.364219	4.231824
18646		-31.777665	11.195755	3.019408
18647		-33.278840	11.022070	1.835475
