// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
47543		-9.242034	-2.609407	69.417475
47544		-6.935078	-3.246804	69.309358
47545		-4.575026	-3.769020	69.299101
47546		-2.209487	-4.176591	69.378874
47547		0.156658	-4.517164	69.560963
47548		2.493002	-4.801797	69.806027
47549		4.803936	-5.043886	70.053490
47550		7.055808	-5.255036	70.234011
47551		9.252933	-5.456085	70.313023
47552		11.378851	-5.655355	70.359960
47553		13.475575	-5.814695	70.512124
47554		15.409856	-6.002321	70.655197
47555		17.159593	-6.107757	70.743380
47556		18.706845	-6.168734	70.882952
47557		19.996786	-6.218396	70.992314
47558		20.996012	-6.164839	71.140574
47559		21.647219	-6.088861	71.306661
47560		21.880771	-6.020143	71.541187
47561		21.666792	-6.036921	71.909476
47562		21.024105	-6.102539	72.486635
47563		19.991720	-6.168722	73.262131
47564		18.614214	-6.200684	74.205958
47565		16.979715	-6.104557	75.365142
47566		15.366929	-5.729357	76.416093
47567		14.353505	-5.480997	76.780789
47568		13.887163	-5.181976	76.977791
47569		13.075989	-5.204368	77.542627
47570		11.790147	-5.178943	78.021216
47571		10.282864	-4.744668	78.601762
47572		8.694038	-4.578599	79.817928
47573		7.267277	-4.463063	81.428985
47574		6.032063	-4.041452	83.115202
47575		4.913370	-3.669472	84.923286
47576		3.976162	-3.413591	86.788580
47577		3.359294	-2.933031	88.698395
47578		2.882416	-2.232756	90.259821
47579		2.246484	-1.559603	91.093610
47580		1.387458	-1.028391	91.223797
47581		0.501257	-0.518956	90.827568
47582		-0.264009	-0.082159	90.248115
47583		-0.971766	0.276265	89.518919
47584		-1.618211	0.631842	88.672803
47585		-2.159854	0.932549	87.987095
47586		-2.586983	1.186476	87.719263
47587		-2.943916	1.515595	87.916459
47588		-3.190885	1.956063	88.666140
47589		-3.363247	2.456363	89.777505
47590		-3.531532	2.940533	90.856296
47591		-3.720784	3.417112	91.740927
47592		-3.926217	3.832410	92.301562
47593		-4.212502	4.099496	92.327065
47594		-4.485537	4.311926	92.040918
47595		-4.789049	4.576203	91.454848
47596		-5.115951	4.834299	90.721142
47597		-5.454327	5.059831	90.028138
47598		-5.729263	5.298298	89.593753
47599		-5.985354	5.555160	89.347006
47600		-6.194398	5.819516	89.295996
47601		-6.381051	6.113553	89.350566
47602		-6.613559	6.413080	89.341438
47603		-6.927634	6.678196	89.190093
47604		-7.280027	6.900685	88.957669
47605		-7.644191	7.133111	88.710235
47606		-8.029285	7.362544	88.485826
47607		-8.455576	7.590267	88.304688
47608		-8.903713	7.817999	88.177305
47609		-9.374314	8.077181	88.097098
47610		-9.878956	8.337161	88.037075
47611		-10.422027	8.599126	88.000165
47612		-11.001080	8.849590	87.935246
47613		-11.578161	9.122670	87.922737
47614		-12.139296	9.426389	87.967730
47615		-12.705321	9.757510	88.040684
47616		-13.294576	10.104449	88.084072
47617		-13.948053	10.459005	88.034929
47618		-14.641448	10.767820	87.868559
47619		-15.332490	11.078587	87.652738
47620		-16.015956	11.409984	87.371160
47621		-16.751698	11.722881	86.992201
47622		-17.526383	11.979523	86.559486
47623		-18.317570	12.240164	86.119824
47624		-19.099144	12.537734	85.710685
47625		-19.914234	12.842492	85.329133
47626		-20.778615	13.154342	84.935235
47627		-21.685026	13.465341	84.563223
47628		-22.637537	13.777331	84.204622
47629		-23.638748	14.123013	83.872408
47630		-24.720771	14.474571	83.514537
47631		-25.860680	14.853230	83.158863
47632		-27.057365	15.241454	82.759278
47633		-28.337219	15.615072	82.254182
47634		-29.711969	15.959907	81.592764
47635		-31.242765	16.085208	80.611256
47636		-32.783297	16.105350	79.574895
47637		-34.430178	15.985931	78.354262
47638		-36.234161	15.696619	76.823512
47639		-38.109704	15.141654	75.164259
47640		-39.933168	14.492456	73.578752
47641		-41.716035	13.877969	71.981052
47642		-43.615756	13.103134	70.307906
47643		-45.649251	12.035175	68.724551
47644		-47.643845	10.985588	67.409753
47645		-49.370893	10.298784	66.395959
47646		-50.852658	9.992028	65.596960
47647		-52.215264	9.726383	64.818677
47648		-53.530908	9.331116	64.043332
47649		-54.755793	8.879537	63.356464
47650		-55.865342	8.606584	62.841830
47651		-56.618660	8.801392	62.620309
47652		-57.067102	9.274888	62.568578
47653		-57.322218	9.774905	62.691897
47654		-57.443996	10.286391	62.896244
47655		-57.318768	10.842935	63.130226
47656		-57.013685	11.353699	63.399412
47657		-56.544384	11.446334	63.280618
47658		-55.860103	11.319111	62.956785
47659		-54.964830	11.220423	62.918204
47660		-53.911280	11.221110	63.368623
47661		-52.555773	11.345841	64.154174
47662		-50.962512	11.315297	64.935239
47663		-49.237292	10.781107	65.605544
47664		-47.473048	9.748417	65.884378
47665		-45.583103	8.633651	65.791485
47666		-43.638626	7.573472	65.678628
47667		-41.637742	6.447964	65.658742
47668		-39.543837	5.318157	65.599775
47669		-37.322687	4.260787	65.485264
47670		-35.030510	3.337014	65.395125
47671		-32.636298	2.540112	65.365342
47672		-30.133340	1.855238	65.451550
47673		-27.449685	1.271839	65.708952
47674		-24.599984	0.811791	66.189407
47675		-21.601025	0.457752	66.918351
47676		-18.593632	0.132622	67.828904
47677		-15.642427	-0.277972	68.793086
47678		-12.807731	-0.788439	69.690380
47679		-10.070374	-1.404080	70.420426
47680		-7.453823	-2.175953	70.857142
47681		-4.836485	-3.033669	71.059105
47682		-2.182213	-3.861028	71.214219
47683		0.541688	-4.636183	71.414279
47684		3.284172	-5.280807	71.653555
47685		5.983520	-5.832021	71.855279
47686		8.546743	-6.367863	71.927925
47687		11.076816	-6.794402	71.916326
47688		13.586180	-7.057159	71.940848
47689		15.969261	-7.195560	71.805630
47690		18.134199	-7.096460	71.464675
47691		19.993723	-6.890679	71.040219
47692		21.439187	-6.589676	70.511689
47693		22.440534	-6.273580	70.046048
47694		22.941432	-6.061470	69.718740
47695		22.927679	-6.001050	69.803021
