// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
43031	-1.585985	0.132747	-0.749569
43032	-1.581377	0.104892	-0.787132
43033	-1.577911	0.076614	-0.813182
43034	-1.574688	0.045034	-0.844697
43035	-1.570025	0.012890	-0.872765
43036	-1.565018	-0.018055	-0.891329
43037	-1.561306	-0.049098	-0.913679
43038	-1.555073	-0.073587	-0.938465
43039	-1.551917	-0.098258	-0.957451
43040	-1.547251	-0.122803	-0.969617
43041	-1.540837	-0.147608	-0.987014
43042	-1.537131	-0.172037	-1.012875
43043	-1.532349	-0.197423	-1.035603
43044	-1.525086	-0.225795	-1.058285
43045	-1.517625	-0.256754	-1.088385
43046	-1.510853	-0.287886	-1.107823
43047	-1.500578	-0.316206	-1.137419
43048	-1.490159	-0.344328	-1.166836
43049	-1.479641	-0.371466	-1.201424
43050	-1.470197	-0.397645	-1.224302
43051	-1.460459	-0.420387	-1.258768
43052	-1.451437	-0.440140	-1.292958
43053	-1.446651	-0.456292	-1.321488
43054	-1.443508	-0.468396	-1.356216
43055	-1.441744	-0.478168	-1.384384
43056	-1.441099	-0.484463	-1.407359
43057	-1.444516	-0.489638	-1.432833
43058	-1.447623	-0.496807	-1.474521
43059	-1.451485	-0.503489	-1.499769
43060	-1.455682	-0.510640	-1.523920
43061	-1.456249	-0.519094	-1.546114
43062	-1.457526	-0.532464	-1.570839
43063	-1.458430	-0.543570	-1.590526
43064	-1.457184	-0.554823	-1.620369
43065	-1.457206	-0.565543	-1.640700
43066	-1.457806	-0.576365	-1.656176
43067	-1.457132	-0.588671	-1.680426
43068	-1.456238	-0.599018	-1.695685
43069	-1.458343	-0.605421	-1.723063
43070	-1.462241	-0.609726	-1.746415
43071	-1.469052	-0.609552	-1.770495
43072	-1.475532	-0.609655	-1.802720
43073	-1.484934	-0.612778	-1.824246
43074	-1.493185	-0.617528	-1.829892
43075	-1.500302	-0.624285	-1.850180
43076	-1.506733	-0.630593	-1.868144
43077	-1.514681	-0.635114	-1.887622
43078	-1.522295	-0.642008	-1.882434
43079	-1.530757	-0.651158	-1.902681
43080	-1.538898	-0.662601	-1.923027
43081	-1.547161	-0.673205	-1.948433
43082	-1.556439	-0.680054	-1.965683
43083	-1.567534	-0.685261	-1.995039
43084	-1.580967	-0.687569	-2.025331
43085	-1.596256	-0.689773	-2.058594
43086	-1.612468	-0.691319	-2.080557
43087	-1.626870	-0.688390	-2.114946
43088	-1.642508	-0.685962	-2.151611
43089	-1.656550	-0.685996	-2.178331
43090	-1.666774	-0.685151	-2.196943
43091	-1.673476	-0.683253	-2.211185
43092	-1.675081	-0.681574	-2.221809
43093	-1.676923	-0.683472	-2.227805
43094	-1.673578	-0.684024	-2.225753
43095	-1.671744	-0.685376	-2.220634
43096	-1.667697	-0.683926	-2.214409
43097	-1.662331	-0.679320	-2.201758
43098	-1.657762	-0.672581	-2.206709
43099	-1.651713	-0.666139	-2.189540
43100	-1.644668	-0.659614	-2.159193
43101	-1.639755	-0.654384	-2.146964
43102	-1.634316	-0.648946	-2.114436
43103	-1.631030	-0.645641	-2.098647
43104	-1.627998	-0.640463	-2.086860
43105	-1.626941	-0.633039	-2.071500
43106	-1.628402	-0.624485	-2.052267
43107	-1.631709	-0.614727	-2.035011
43108	-1.636873	-0.605239	-1.995663
43109	-1.641964	-0.594608	-1.978605
43110	-1.645217	-0.586850	-1.961480
43111	-1.647672	-0.580666	-1.936161
43112	-1.646844	-0.576428	-1.903931
43113	-1.643237	-0.573644	-1.873724
43114	-1.637486	-0.570323	-1.817467
43115	-1.631787	-0.565458	-1.782171
43116	-1.623905	-0.563089	-1.733040
43117	-1.618841	-0.559566	-1.701453
43118	-1.614060	-0.554468	-1.662025
43119	-1.608991	-0.548812	-1.631098
43120	-1.605422	-0.541887	-1.598847
43121	-1.599309	-0.537296	-1.573709
43122	-1.593042	-0.536324	-1.559726
43123	-1.588024	-0.537500	-1.545648
43124	-1.580931	-0.538686	-1.531268
43125	-1.578778	-0.539202	-1.520660
43126	-1.575985	-0.538820	-1.512081
43127	-1.574902	-0.538766	-1.496525
43128	-1.575123	-0.540186	-1.470993
43129	-1.577144	-0.540355	-1.446546
43130	-1.579548	-0.538806	-1.445422
43131	-1.583104	-0.533500	-1.417725
43132	-1.584520	-0.529801	-1.382084
43133	-1.584634	-0.527723	-1.356479
43134	-1.581877	-0.528817	-1.340602
43135	-1.583213	-0.530558	-1.320095
43136	-1.585445	-0.535361	-1.305464
43137	-1.589973	-0.542300	-1.300900
43138	-1.594891	-0.548229	-1.299157
43139	-1.599607	-0.548889	-1.307802
43140	-1.604680	-0.543883	-1.306717
43141	-1.608796	-0.535163	-1.315046
43142	-1.612169	-0.529428	-1.282901
43143	-1.615044	-0.521156	-1.284874
43144	-1.619228	-0.516652	-1.284864
43145	-1.624587	-0.512809	-1.282037
43146	-1.629554	-0.511356	-1.269821
43147	-1.635101	-0.508692	-1.262053
43148	-1.639702	-0.505482	-1.241284
43149	-1.639400	-0.501040	-1.225605
43150	-1.640431	-0.496987	-1.205755
43151	-1.639792	-0.495999	-1.183280
43152	-1.640339	-0.494445	-1.151491
43153	-1.642292	-0.492459	-1.127769
43154	-1.642284	-0.491279	-1.101721
43155	-1.643450	-0.490187	-1.087657
43156	-1.644981	-0.488629	-1.070577
43157	-1.646342	-0.489794	-1.067165
43158	-1.645021	-0.495243	-1.066366
43159	-1.644058	-0.497727	-1.068925
43160	-1.644832	-0.500278	-1.068536
