// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
37482	-0.265743	0.032018	0.121345
37483	-0.264133	0.032726	0.120679
37484	-0.259916	0.032281	0.123058
37485	-0.256382	0.031673	0.124400
37486	-0.257067	0.030609	0.126204
37487	-0.258774	0.030484	0.127180
37488	-0.261888	0.028139	0.126883
37489	-0.264659	0.028498	0.125418
37490	-0.268191	0.028668	0.129354
37491	-0.270292	0.029643	0.127858
37492	-0.272802	0.027422	0.130287
37493	-0.274509	0.027297	0.131264
37494	-0.275387	0.027705	0.133930
37495	-0.274664	0.028786	0.135493
37496	-0.274553	0.030710	0.137093
37497	-0.276870	0.032677	0.137794
37498	-0.280250	0.031145	0.139228
37499	-0.281705	0.032280	0.139494
37500	-0.284119	0.033249	0.140182
37501	-0.288005	0.033178	0.139864
37502	-0.288724	0.031939	0.140269
37503	-0.286923	0.031197	0.139204
37504	-0.284643	0.031642	0.137224
37505	-0.279995	0.031462	0.137424
37506	-0.276182	0.034295	0.134786
37507	-0.272204	0.033498	0.135018
37508	-0.269836	0.034123	0.136700
37509	-0.267365	0.033998	0.135604
37510	-0.266917	0.033469	0.136873
37511	-0.265308	0.034175	0.136211
37512	-0.265517	0.033440	0.135235
37513	-0.263289	0.033848	0.138128
37514	-0.262679	0.030938	0.141421
37515	-0.262358	0.031326	0.137236
37516	-0.262295	0.031008	0.138334
37517	-0.260267	0.031070	0.138352
37518	-0.255684	0.029598	0.140493
37519	-0.250591	0.029232	0.139582
37520	-0.242654	0.028230	0.140849
37521	-0.237501	0.030573	0.139633
37522	-0.232603	0.030752	0.136925
37523	-0.230158	0.030170	0.137623
37524	-0.228884	0.028715	0.138500
37525	-0.227980	0.026555	0.136383
37526	-0.223849	0.026048	0.135655
37527	-0.217223	0.025469	0.134281
37528	-0.207162	0.025048	0.132602
37529	-0.198614	0.023151	0.133235
37530	-0.190869	0.021769	0.135606
37531	-0.184662	0.021834	0.133554
37532	-0.181610	0.020870	0.133204
37533	-0.179610	0.020473	0.135015
37534	-0.180088	0.017815	0.133486
37535	-0.181352	0.017502	0.133349
37536	-0.182718	0.017520	0.132349
37537	-0.185488	0.017880	0.130885
37538	-0.185013	0.017242	0.129853
37539	-0.185634	0.017087	0.131479
