// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B437E8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
10544	-0.049728	0.037245	-0.095367
10545	-0.048071	0.038599	-0.096416
10546	-0.047694	0.038822	-0.093684
10547	-0.049313	0.039630	-0.094973
10548	-0.048467	0.040289	-0.095450
10549	-0.049177	0.041373	-0.095433
10550	-0.048501	0.041391	-0.095107
10551	-0.048800	0.041264	-0.094971
10552	-0.049013	0.040367	-0.095393
10553	-0.049542	0.041357	-0.096601
10554	-0.048071	0.042802	-0.096358
10555	-0.047961	0.041464	-0.096103
10556	-0.049294	0.041226	-0.095846
10557	-0.048206	0.040629	-0.096184
10558	-0.048335	0.039725	-0.096780
10559	-0.048340	0.038946	-0.097198
10560	-0.047696	0.039490	-0.097785
10561	-0.050866	0.037606	-0.097770
10562	-0.050036	0.037604	-0.097628
10563	-0.050750	0.038688	-0.097610
10564	-0.050460	0.039901	-0.097487
10565	-0.050582	0.039681	-0.098577
10566	-0.050725	0.038961	-0.097825
10567	-0.051211	0.038927	-0.096464
10568	-0.057946	0.037295	-0.097202
10569	-0.057579	0.038561	-0.097105
10570	-0.057079	0.039690	-0.098234
10571	-0.056071	0.038627	-0.096676
10572	-0.056516	0.039550	-0.098066
10573	-0.055919	0.039698	-0.096626
10574	-0.054952	0.039038	-0.096969
10575	-0.054059	0.038533	-0.096083
10576	-0.053563	0.039688	-0.097146
10577	-0.054792	0.039287	-0.098315
10578	-0.054002	0.038151	-0.096659
10579	-0.055413	0.037841	-0.096603
10580	-0.055223	0.039109	-0.095549
10581	-0.055542	0.038982	-0.095414
10582	-0.055792	0.038868	-0.095298
10583	-0.055133	0.039483	-0.095754
10584	-0.054337	0.040014	-0.097306
10585	-0.054426	0.038768	-0.095828
10586	-0.054298	0.037466	-0.095456
10587	-0.053754	0.038641	-0.096583
10588	-0.055457	0.038785	-0.097222
10589	-0.056871	0.038476	-0.097166
10590	-0.057370	0.039036	-0.096442
10591	-0.057395	0.038258	-0.096861
10592	-0.057440	0.037545	-0.096221
10593	-0.057401	0.037235	-0.098538
10594	-0.057902	0.037151	-0.097233
10595	-0.056899	0.036086	-0.095677
10596	-0.057263	0.035944	-0.095477
10597	-0.056492	0.036000	-0.095263
