// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4387C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
37482	-0.000310	0.001356	0.007332
37483	-0.001415	0.002745	0.005529
37484	-0.000218	0.001644	0.008103
37485	-0.000043	0.002027	0.008101
37486	-0.000283	-0.000064	0.007000
37487	-0.000441	0.000620	0.009145
37488	0.000199	0.001430	0.008285
37489	0.002145	0.001489	0.009377
37490	0.001729	0.001561	0.008802
37491	0.002804	-0.000760	0.010830
37492	0.001970	0.000268	0.010259
37493	0.002031	0.000090	0.010974
37494	0.002543	0.000180	0.012234
37495	0.002692	0.000745	0.010865
37496	0.002671	0.001304	0.009488
37497	0.001900	0.001421	0.010907
37498	0.000847	-0.000200	0.010611
37499	0.003185	0.000307	0.010904
37500	0.003407	0.002072	0.010048
37501	0.003370	0.001132	0.009455
37502	0.004034	0.000501	0.009391
37503	0.004687	0.001311	0.008550
37504	0.004272	0.001384	0.007974
37505	0.005478	0.002332	0.007587
37506	0.006433	0.000024	0.009639
37507	0.006952	0.001344	0.007601
37508	0.006409	0.000695	0.009146
37509	0.006795	0.001003	0.009095
37510	0.005323	0.000338	0.008804
37511	0.005780	0.000790	0.008781
37512	0.004576	-0.000110	0.009808
37513	0.006655	-0.000337	0.010688
37514	0.005403	0.001646	0.010122
37515	0.004435	-0.000169	0.009702
37516	0.005737	0.000894	0.009358
37517	0.005213	0.001047	0.008845
37518	0.005459	0.001372	0.008786
37519	0.005195	0.001365	0.008146
37520	0.005290	0.002410	0.009411
37521	0.003993	-0.000431	0.008609
37522	0.004263	-0.001547	0.009346
37523	0.003684	-0.000736	0.010113
37524	0.003930	-0.000411	0.010054
37525	0.003728	-0.000527	0.010856
37526	0.003974	-0.000202	0.010797
37527	0.003635	-0.000221	0.010168
37528	0.002256	0.001041	0.011723
37529	0.002308	-0.001273	0.011954
37530	0.002043	-0.001919	0.010054
37531	0.002711	-0.000642	0.011827
37532	0.002690	-0.000082	0.010449
37533	0.002628	-0.000950	0.009890
37534	0.002480	-0.001111	0.010632
37535	0.002321	-0.001310	0.011358
37536	0.001486	-0.000281	0.010788
37537	0.001700	-0.002641	0.010973
37538	0.000647	-0.004260	0.010676
37539	0.002227	-0.002641	0.009593
37540	0.003008	-0.002785	0.012170
37541	0.004251	-0.003017	0.012718
37542	0.004253	-0.003897	0.012136
37543	0.005120	-0.003375	0.012582
37544	0.005273	-0.004975	0.010677
37545	0.004960	-0.002933	0.011968
37546	0.005716	-0.001636	0.013749
37547	0.005305	-0.004566	0.014687
37548	0.005283	-0.004005	0.013310
37549	0.004734	-0.003152	0.014112
37550	0.004980	-0.002827	0.014052
37551	0.006001	-0.003669	0.015316
37552	0.005584	-0.003595	0.014740
37553	0.007034	-0.005494	0.015927
37554	0.005980	-0.007111	0.015630
37555	0.005736	-0.006810	0.015198
37556	0.005982	-0.006484	0.015139
37557	0.006597	-0.005550	0.014370
37558	0.006181	-0.005475	0.013794
37559	0.006060	-0.005678	0.014520
37560	0.007536	-0.006775	0.013647
37561	0.006042	-0.005401	0.013791
37562	0.005674	-0.008207	0.014805
37563	0.005709	-0.006436	0.013986
37564	0.006373	-0.007065	0.013920
37565	0.005185	-0.006332	0.014273
37566	0.006511	-0.006709	0.014724
37567	0.005741	-0.007153	0.014931
37568	0.005174	-0.006358	0.015679
37569	0.006525	-0.008290	0.016877
37570	0.007583	-0.008432	0.016010
37571	0.007586	-0.005927	0.016505
37572	0.006775	-0.006338	0.016730
37573	0.007131	-0.007644	0.017343
37574	0.005903	-0.007100	0.017574
37575	0.006595	-0.007826	0.017457
37576	0.006596	-0.008705	0.016874
37577	0.005109	-0.007163	0.017123
37578	0.005578	-0.011877	0.018123
37579	0.007201	-0.009430	0.018418
37580	0.007053	-0.009589	0.019159
37581	0.007708	-0.008837	0.018254
37582	0.007315	-0.010201	0.018472
37583	0.007314	-0.009674	0.017084
37584	0.006622	-0.009599	0.019950
37585	0.004390	-0.003441	0.000808
37586	0.004809	-0.005267	0.000205
37587	0.004272	-0.005113	-0.000328
37588	0.005204	-0.005970	0.000909
37589	0.005548	-0.005687	0.000826
37590	0.005374	-0.004399	0.000759
37591	0.006218	-0.005052	0.000667
37592	0.005895	-0.003045	0.001924
37593	0.006735	-0.004159	0.000680
37594	0.006805	-0.001666	0.001136
37595	0.006329	-0.004422	0.002190
37596	0.006304	-0.003854	0.000799
37597	0.005807	-0.003652	0.000302
37598	0.006321	-0.003554	0.001545
37599	0.005912	-0.003520	0.000943
37600	0.006575	-0.004141	0.000862
37601	0.007618	-0.005351	0.003370
37602	0.007151	-0.002388	0.001191
37603	0.007478	-0.002700	0.003255
37604	0.007454	-0.002131	0.001863
37605	0.006815	-0.002678	0.001988
37606	0.007722	-0.002094	0.002430
37607	0.007610	-0.003209	0.001678
37608	0.007706	-0.002156	0.002928
37609	0.007891	-0.002354	0.000200
37610	0.008160	-0.003461	0.000919
37611	0.008744	-0.005290	0.000302
37612	0.007908	-0.004252	-0.000282
37613	0.008839	-0.003706	0.000148
37614	0.009083	-0.003372	0.000074
37615	0.009680	-0.003919	0.000050
37616	0.009804	-0.004069	-0.002666
37617	0.010077	-0.003943	-0.001359
37618	0.011132	-0.004078	-0.002242
37619	0.009197	-0.003771	-0.002515
37620	0.009466	-0.004877	-0.001796
37621	0.009017	-0.004795	-0.002398
37622	0.009262	-0.004461	-0.002472
37623	0.009678	-0.004845	-0.003883
37624	0.010978	-0.003775	-0.004243
37625	0.010817	-0.005297	-0.002663
37626	0.010250	-0.004494	-0.001928
37627	0.010510	-0.003357	-0.004063
37628	0.011442	-0.004212	-0.002828
37629	0.011730	-0.003893	-0.002913
37630	0.012393	-0.004513	-0.002995
37631	0.012394	-0.004680	-0.002283
37632	0.012394	-0.005550	-0.002881
37633	0.011573	-0.005848	-0.002577
37634	0.011303	-0.006482	-0.004492
37635	0.010819	-0.008525	-0.002144
37636	0.012119	-0.007455	-0.002503
37637	0.011974	-0.007540	-0.001714
37638	0.011407	-0.006737	-0.000980
37639	0.011445	-0.006963	-0.000303
37640	0.010878	-0.006160	0.000432
37641	0.012211	-0.005977	-0.001332
37642	0.011006	-0.006863	-0.000320
37643	0.011299	-0.005945	-0.002591
37644	0.011961	-0.006564	-0.002673
37645	0.012089	-0.006304	-0.002791
37646	0.012088	-0.007173	-0.003389
37647	0.012187	-0.006000	-0.002042
37648	0.012039	-0.006150	-0.001316
37649	0.011229	-0.006504	-0.001080
37650	0.012137	-0.005919	-0.000639
37651	0.011858	-0.005693	-0.001137
37652	0.010899	-0.005375	0.000398
37653	0.011204	-0.003463	-0.000378
37654	0.011031	-0.002174	-0.000445
37655	0.011071	-0.001789	-0.000458
37656	0.011708	-0.000969	-0.001334
37657	0.009591	-0.001818	-0.002134
37658	0.009713	-0.002204	-0.000091
37659	0.010588	-0.002319	-0.000948
37660	0.010415	-0.001029	-0.001015
37661	0.009977	-0.000925	-0.001585
37662	0.008920	-0.002529	-0.001899
37663	0.009742	-0.003081	-0.001928
37664	0.010945	-0.004171	0.000623
37665	0.010307	-0.002229	-0.001951
37666	0.010577	-0.003332	-0.001234
37667	0.008730	-0.003046	-0.001543
37668	0.010326	-0.003650	0.000206
37669	0.010130	-0.003851	0.000921
37670	0.010792	-0.004469	0.000837
37671	0.010783	-0.005412	0.000192
37672	0.011002	-0.003637	-0.000676
37673	0.010030	-0.003187	0.000952
37674	0.008973	-0.004789	0.000638
37675	0.011217	-0.004306	0.000880
37676	0.009717	-0.003516	-0.000218
37677	0.010318	-0.004156	-0.000311
37678	0.010170	-0.004306	0.000415
37679	0.010754	-0.004803	0.000426
37680	0.011390	-0.003982	-0.000450
37681	0.010493	-0.004437	-0.000281
37682	0.010712	-0.002662	-0.001149
37683	0.010144	-0.001829	-0.000394
37684	0.010806	-0.002446	-0.000478
37685	0.010003	-0.001600	-0.001177
37686	0.010247	-0.001264	-0.001252
37687	0.010562	-0.000914	-0.001308
37688	0.010413	-0.001063	-0.000583
37689	0.010563	-0.000593	-0.002059
37690	0.009997	0.000211	-0.001325
37691	0.007858	0.000450	-0.001661
37692	0.008790	-0.000403	-0.000428
37693	0.008042	0.000592	-0.001059
