// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
55847	6.062225	-70.062917	-16.128506
55848	8.104515	-69.530613	-18.337517
55849	9.125530	-67.892388	-19.178550
55850	9.954481	-66.324111	-19.746425
55851	10.463802	-64.779812	-20.183775
55852	10.434852	-63.081681	-20.258622
55853	9.786798	-61.007212	-19.752043
55854	8.731811	-58.584178	-18.750747
55855	7.455990	-55.828662	-17.444712
55856	6.130035	-52.824829	-16.117065
55857	4.791292	-49.561924	-14.899060
55858	3.508673	-46.084103	-13.868998
55859	2.312693	-42.365387	-13.033758
55860	1.263965	-38.487729	-12.405281
55861	0.341130	-34.492491	-11.958177
55862	-0.491163	-30.473341	-11.691557
55863	-1.289523	-26.379174	-11.600421
55864	-2.022768	-22.266692	-11.656398
55865	-2.636319	-18.084942	-11.742713
55866	-3.157276	-13.898153	-11.762108
55867	-3.675957	-9.702659	-11.605096
55868	-4.244192	-5.638170	-11.172005
55869	-4.849791	-1.786076	-10.416255
55870	-5.405126	1.750478	-9.338257
55871	-5.948592	4.996386	-8.013319
55872	-6.502602	7.793933	-6.629796
55873	-6.969850	10.007779	-5.317715
55874	-7.241731	11.584544	-4.125474
55875	-7.213102	12.655162	-3.099554
55876	-7.054400	13.258861	-2.371218
55877	-7.021437	13.364509	-2.060351
55878	-7.020330	12.910628	-2.086961
55879	-6.521847	11.793475	-2.059938
55880	-5.806386	9.890166	-1.830577
55881	-4.896272	8.211608	-1.591738
55882	-3.695699	6.642828	-1.404153
55883	-2.789633	4.942703	-1.320348
55884	-2.221782	4.088252	-1.513033
55885	-1.688022	3.893771	-1.867531
55886	-1.193739	3.506399	-2.168642
55887	-0.885868	3.299099	-2.394659
55888	-0.767649	3.204948	-2.551845
55889	-0.658491	3.111471	-2.629564
55890	-0.557552	3.108048	-2.684777
55891	-0.463715	3.148955	-2.730989
55892	-0.340297	3.237615	-2.768400
55893	-0.189413	3.339882	-2.809140
55894	-0.033878	3.466104	-2.854500
55895	0.102745	3.563617	-2.904631
55896	0.216075	3.662643	-2.943868
55897	0.307111	3.735188	-2.980271
55898	0.364367	3.786820	-2.998985
55899	0.384024	3.787282	-3.004834
55900	0.349842	3.757102	-2.988506
55901	0.275758	3.671044	-2.956626
55902	0.180056	3.576740	-2.915249
55903	0.081542	3.439254	-2.877284
55904	-0.025961	3.295603	-2.841909
55905	-0.140742	3.109032	-2.806457
55906	-0.261573	2.919349	-2.770939
55907	-0.377506	2.719502	-2.745363
55908	-0.480296	2.530513	-2.725867
55909	-0.567649	2.311458	-2.719229
55910	-0.636655	2.089483	-2.721940
55911	-0.683676	1.839536	-2.734392
55912	-0.710385	1.604724	-2.755756
55913	-0.709082	1.353259	-2.792422
55914	-0.684319	1.106991	-2.845433
55915	-0.646797	0.826728	-2.915006
55916	-0.610069	0.545738	-2.994898
55917	-0.574795	0.251561	-3.085115
55918	-0.574881	-0.037985	-3.185231
55919	-0.592789	-0.373675	-3.287573
55920	-0.629649	-0.731093	-3.392100
55921	-0.665696	-1.132940	-3.498022
55922	-0.696431	-1.530250	-3.603000
55923	-0.721891	-1.975196	-3.702941
55924	-0.765433	-2.464875	-3.793825
55925	-0.812314	-3.060492	-3.872106
55926	-0.880960	-3.735136	-3.941064
