// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4387C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
20321	0.004166	-0.013537	-0.052218
20322	0.004195	-0.012763	-0.053594
20323	0.003824	-0.012933	-0.053340
20324	0.004967	-0.013968	-0.052677
20325	0.004182	-0.014721	-0.051692
20326	0.004082	-0.014234	-0.051722
20327	0.004188	-0.014963	-0.053344
20328	0.003960	-0.014763	-0.052027
20329	0.004741	-0.016332	-0.052413
20330	0.002214	-0.014555	-0.052813
20331	0.001049	-0.016024	-0.051524
20332	0.002449	-0.016486	-0.053553
20333	0.003779	-0.017153	-0.051915
20334	0.003055	-0.017704	-0.052400
20335	0.003263	-0.016595	-0.052839
20336	0.002787	-0.016770	-0.052423
20337	0.002600	-0.016657	-0.051330
20338	0.002558	-0.017924	-0.050346
20339	-0.000438	-0.016661	-0.051610
20340	-0.000234	-0.017553	-0.049724
20341	0.000348	-0.017609	-0.049699
20342	0.002115	-0.017607	-0.048579
20343	0.001885	-0.017475	-0.049599
20344	0.001785	-0.016988	-0.049628
20345	0.001784	-0.016333	-0.049380
20346	0.003359	-0.018460	-0.048148
20347	0.003765	-0.017229	-0.048601
20348	0.003289	-0.017405	-0.048185
20349	0.002994	-0.017322	-0.049237
20350	0.003142	-0.016460	-0.048364
20351	0.003138	-0.016481	-0.048376
20352	0.003848	-0.016424	-0.048281
20353	0.003001	-0.017341	-0.047591
20354	0.005329	-0.018144	-0.047248
20355	0.007230	-0.017883	-0.047509
20356	0.006001	-0.019383	-0.046204
20357	0.006536	-0.019425	-0.048295
20358	0.006684	-0.018562	-0.047422
20359	0.006285	-0.018522	-0.048412
20360	0.007804	-0.018895	-0.048193
20361	0.008697	-0.018544	-0.047224
20362	0.007716	-0.019669	-0.045018
20363	0.006502	-0.019189	-0.046145
20364	0.007903	-0.019650	-0.048174
20365	0.009169	-0.020543	-0.047368
20366	0.009447	-0.019393	-0.047841
20367	0.010919	-0.019784	-0.047583
20368	0.011005	-0.020765	-0.047945
20369	0.010305	-0.021457	-0.048868
20370	0.008902	-0.021291	-0.050824
20371	0.008206	-0.021982	-0.047591
20372	0.010101	-0.021692	-0.047816
20373	0.009433	-0.022285	-0.048406
20374	0.008958	-0.022460	-0.047990
20375	0.007869	-0.021953	-0.049187
20376	0.008017	-0.021091	-0.048313
20377	0.007861	-0.022502	-0.049680
20378	0.008571	-0.022445	-0.049584
20379	0.008881	-0.021345	-0.050214
20380	0.010023	-0.022380	-0.049550
20381	0.009792	-0.021903	-0.049359
20382	0.009316	-0.022079	-0.048943
20383	0.009298	-0.021270	-0.047942
20384	0.008822	-0.021446	-0.047525
20385	0.009025	-0.020365	-0.048027
20386	0.008982	-0.021634	-0.047043
20387	0.009141	-0.022514	-0.045040
20388	0.008739	-0.020648	-0.046981
20389	0.008838	-0.021802	-0.045947
20390	0.008739	-0.021315	-0.045974
20391	0.007007	-0.021717	-0.045067
20392	0.008470	-0.020335	-0.045859
20393	0.008485	-0.019856	-0.046049
20394	0.008750	-0.018906	-0.042927
20395	0.009011	-0.017736	-0.043242
20396	0.007364	-0.017946	-0.046098
20397	0.007919	-0.018290	-0.044846
20398	0.007820	-0.017803	-0.044874
20399	0.007527	-0.017669	-0.045787
20400	0.008238	-0.017612	-0.045690
20401	0.008421	-0.016841	-0.045043
20402	0.009132	-0.016784	-0.044946
20403	0.009567	-0.015474	-0.045253
20404	0.007660	-0.016259	-0.045418
20405	0.008482	-0.016186	-0.045418
20406	0.008138	-0.016075	-0.046347
20407	0.007683	-0.016270	-0.046004
20408	0.007339	-0.016159	-0.046933
20409	0.007866	-0.016449	-0.047759
20410	0.006958	-0.015533	-0.047910
20411	0.007589	-0.015880	-0.049071
20412	0.008546	-0.015448	-0.048073
20413	0.007547	-0.014799	-0.049098
20414	0.008011	-0.015117	-0.049902
20415	0.007993	-0.014526	-0.049758
20416	0.008327	-0.015132	-0.049218
20417	0.009547	-0.016117	-0.048525
20418	0.008826	-0.016668	-0.049010
20419	0.009383	-0.016964	-0.049877
20420	0.008230	-0.016423	-0.050930
20421	0.009293	-0.017556	-0.050366
20422	0.009627	-0.018162	-0.049826
20423	0.009933	-0.017064	-0.050458
20424	0.009835	-0.016577	-0.050485
20425	0.009493	-0.016744	-0.050288
20426	0.010204	-0.016687	-0.050191
20427	0.009620	-0.015318	-0.049336
20428	0.008468	-0.014777	-0.050389
20429	0.009535	-0.015899	-0.049752
20430	0.009061	-0.016075	-0.049336
20431	0.009665	-0.016145	-0.049355
20432	0.009377	-0.017789	-0.049273
20433	0.009775	-0.018144	-0.050076
20434	0.009284	-0.018521	-0.046068
20435	0.009352	-0.019570	-0.048745
20436	0.009630	-0.018420	-0.049214
20437	0.011070	-0.018890	-0.049094
20438	0.010972	-0.018403	-0.049121
20439	0.011716	-0.018267	-0.048835
20440	0.012673	-0.017835	-0.047836
20441	0.012149	-0.018076	-0.047507
20442	0.012674	-0.016551	-0.047074
20443	0.011021	-0.018785	-0.047579
20444	0.011978	-0.018352	-0.046580
20445	0.011157	-0.017231	-0.048164
20446	0.011491	-0.017836	-0.047623
20447	0.011096	-0.017741	-0.048503
20448	0.010998	-0.017255	-0.048530
20449	0.011079	-0.018473	-0.047602
20450	0.011112	-0.017699	-0.048973
20451	0.010502	-0.017888	-0.048341
20452	0.011459	-0.017456	-0.047341
20453	0.011358	-0.016768	-0.048738
20454	0.011358	-0.016768	-0.048738
20455	0.010837	-0.016785	-0.049642
20456	0.010117	-0.017337	-0.050127
20457	0.010756	-0.019214	-0.051406
20458	0.011018	-0.018265	-0.048284
20459	0.012900	-0.017972	-0.048439
20460	0.011748	-0.017431	-0.049490
20461	0.010378	-0.019055	-0.048258
20462	0.010280	-0.018569	-0.048284
20463	0.010073	-0.018212	-0.048429
20464	0.010162	-0.019193	-0.048790
20465	0.008959	-0.018834	-0.048322
20466	0.011288	-0.019635	-0.047975
20467	0.010938	-0.019784	-0.047678
20468	0.008846	-0.019102	-0.047510
20469	0.009304	-0.019275	-0.049794
20470	0.009206	-0.018789	-0.049819
20471	0.009316	-0.018046	-0.049097
20472	0.009651	-0.018651	-0.048557
20473	0.008221	-0.018712	-0.046927
20474	0.010550	-0.019513	-0.046580
20475	0.010070	-0.019580	-0.045819
20476	0.009596	-0.019757	-0.045402
20477	0.010203	-0.019802	-0.045360
20478	0.009860	-0.019691	-0.046288
20479	0.010484	-0.020017	-0.047340
20480	0.011063	-0.020248	-0.045897
20481	0.010862	-0.020126	-0.044808
20482	0.010896	-0.019351	-0.046178
20483	0.006094	-0.014301	-0.054605
20484	0.007233	-0.015331	-0.053947
20485	0.006904	-0.015449	-0.053631
20486	0.007180	-0.014294	-0.054106
20487	0.006519	-0.014878	-0.054730
20488	0.005664	-0.015713	-0.053878
20489	0.005735	-0.016741	-0.054324
20490	0.004561	-0.016398	-0.051792
20491	0.004419	-0.016004	-0.054254
