// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
24544	-0.304411	-0.377802	-0.597286
24545	-0.318058	-0.387454	-0.568141
24546	-0.327583	-0.393355	-0.538094
24547	-0.339639	-0.400451	-0.510476
24548	-0.348194	-0.407910	-0.487138
24549	-0.359962	-0.414946	-0.469880
24550	-0.372142	-0.421323	-0.458980
24551	-0.384691	-0.426531	-0.452998
24552	-0.397355	-0.427109	-0.451852
24553	-0.408156	-0.424099	-0.453499
24554	-0.415948	-0.413792	-0.453421
24555	-0.424942	-0.406158	-0.450634
24556	-0.435526	-0.401204	-0.441151
24557	-0.442694	-0.402466	-0.422716
24558	-0.450928	-0.401027	-0.393298
24559	-0.457212	-0.402023	-0.349144
24560	-0.462369	-0.397204	-0.296375
24561	-0.466551	-0.395931	-0.236680
24562	-0.471705	-0.392924	-0.179973
24563	-0.475603	-0.394639	-0.124267
24564	-0.478612	-0.392391	-0.080846
24565	-0.480462	-0.391006	-0.050792
24566	-0.479919	-0.390430	-0.034425
24567	-0.476684	-0.388026	-0.029760
24568	-0.469186	-0.383032	-0.034147
24569	-0.461491	-0.377264	-0.043609
24570	-0.452553	-0.368283	-0.054895
24571	-0.443376	-0.361319	-0.064150
24572	-0.431781	-0.354061	-0.070581
24573	-0.415174	-0.350795	-0.065595
24574	-0.400672	-0.347565	-0.054165
24575	-0.386008	-0.348024	-0.036931
24576	-0.371828	-0.351568	-0.017298
24577	-0.356629	-0.353799	0.002138
24578	-0.338379	-0.354112	0.016243
24579	-0.323903	-0.352513	0.022054
24580	-0.309044	-0.353396	0.016523
24581	-0.293639	-0.355364	0.003056
24582	-0.281382	-0.356776	-0.018601
24583	-0.267750	-0.358583	-0.045512
24584	-0.254858	-0.357812	-0.073637
24585	-0.238463	-0.358891	-0.098666
24586	-0.226550	-0.355602	-0.123558
24587	-0.212818	-0.352619	-0.140771
24588	-0.202042	-0.351149	-0.155612
24589	-0.190201	-0.350010	-0.166816
24590	-0.180957	-0.345589	-0.176350
24591	-0.175968	-0.342954	-0.177977
24592	-0.173355	-0.343023	-0.176405
24593	-0.174623	-0.347631	-0.167854
24594	-0.175267	-0.349134	-0.161186
24595	-0.175873	-0.352206	-0.156977
24596	-0.172985	-0.355885	-0.157164
24597	-0.168487	-0.359942	-0.156906
24598	-0.163657	-0.363665	-0.158184
24599	-0.158711	-0.367477	-0.162388
24600	-0.152290	-0.373327	-0.169432
24601	-0.143084	-0.379581	-0.176605
24602	-0.136706	-0.385340	-0.185161
24603	-0.131595	-0.391446	-0.198664
24604	-0.121129	-0.393032	-0.214703
24605	-0.111866	-0.396112	-0.230011
24606	-0.102209	-0.399521	-0.245631
24607	-0.092472	-0.405903	-0.258230
24608	-0.082332	-0.411467	-0.273505
24609	-0.073234	-0.417633	-0.286817
24610	-0.067020	-0.423018	-0.301422
24611	-0.059053	-0.428551	-0.309383
24612	-0.052432	-0.433851	-0.312359
24613	-0.042216	-0.442607	-0.306527
24614	-0.033320	-0.449594	-0.296547
24615	-0.024573	-0.456813	-0.278838
24616	-0.015275	-0.463733	-0.257230
24617	-0.005612	-0.470992	-0.230862
24618	0.004277	-0.481278	-0.202418
24619	0.012591	-0.496775	-0.175210
24620	0.022823	-0.512904	-0.159828
24621	0.033700	-0.528384	-0.154136
24622	0.044222	-0.539630	-0.162738
24623	0.057396	-0.550234	-0.180768
24624	0.070219	-0.558638	-0.207496
24625	0.082650	-0.566640	-0.235170
24626	0.091166	-0.570059	-0.265945
24627	0.096278	-0.572010	-0.291941
24628	0.101334	-0.573469	-0.312828
24629	0.104833	-0.576059	-0.322845
24630	0.108601	-0.577088	-0.323909
24631	0.113666	-0.584845	-0.314644
24632	0.120218	-0.596632	-0.302385
24633	0.126284	-0.610092	-0.287005
24634	0.132991	-0.620347	-0.274143
24635	0.138541	-0.629378	-0.266003
24636	0.143592	-0.640358	-0.261224
24637	0.146876	-0.651829	-0.257379
24638	0.151445	-0.658719	-0.258374
24639	0.156548	-0.661434	-0.263442
24640	0.160832	-0.660861	-0.273527
24641	0.165524	-0.665538	-0.284525
24642	0.169276	-0.670396	-0.295978
24643	0.173116	-0.678492	-0.303849
24644	0.180982	-0.683002	-0.311904
24645	0.188486	-0.690083	-0.310214
24646	0.195125	-0.697309	-0.307780
24647	0.199996	-0.704789	-0.303388
24648	0.204452	-0.715252	-0.298055
24649	0.207379	-0.730247	-0.293755
24650	0.207927	-0.744457	-0.296624
24651	0.208533	-0.758316	-0.306337
24652	0.207797	-0.768322	-0.319993
24653	0.207501	-0.781009	-0.339502
24654	0.209356	-0.789742	-0.358745
24655	0.211997	-0.793958	-0.374872
24656	0.215754	-0.797789	-0.389799
24657	0.220513	-0.801776	-0.400729
24658	0.224523	-0.805287	-0.408558
24659	0.227926	-0.804820	-0.413081
24660	0.231032	-0.805123	-0.416594
24661	0.233648	-0.807714	-0.414435
24662	0.238851	-0.810397	-0.407575
24663	0.243690	-0.813613	-0.397997
24664	0.249163	-0.815064	-0.385998
24665	0.253663	-0.815747	-0.372631
24666	0.255780	-0.818474	-0.358557
24667	0.256888	-0.821761	-0.342783
24668	0.255096	-0.823395	-0.329985
24669	0.253243	-0.828141	-0.318895
24670	0.252312	-0.832876	-0.311925
24671	0.252239	-0.837298	-0.308183
24672	0.252272	-0.842467	-0.311410
24673	0.249017	-0.846948	-0.322347
24674	0.248555	-0.852731	-0.339773
24675	0.247137	-0.857686	-0.355308
24676	0.246859	-0.861011	-0.374083
24677	0.249114	-0.863558	-0.384766
24678	0.247653	-0.868810	-0.393505
24679	0.247044	-0.875922	-0.397197
24680	0.245330	-0.879627	-0.397206
24681	0.244136	-0.881200	-0.394859
24682	0.240744	-0.883643	-0.388630
24683	0.236173	-0.886893	-0.381818
24684	0.232795	-0.890366	-0.372120
24685	0.231138	-0.893277	-0.358675
24686	0.229186	-0.896470	-0.346486
24687	0.226614	-0.901369	-0.336350
24688	0.224551	-0.904252	-0.328690
24689	0.224244	-0.910738	-0.323192
24690	0.220427	-0.915947	-0.322714
24691	0.219496	-0.920293	-0.323147
24692	0.214316	-0.924962	-0.325609
24693	0.211272	-0.928836	-0.331626
24694	0.210109	-0.931936	-0.337183
24695	0.209237	-0.939488	-0.346750
24696	0.209573	-0.946309	-0.357198
24697	0.208743	-0.952045	-0.371245
24698	0.209018	-0.949924	-0.388631
24699	0.209296	-0.952868	-0.399293
24700	0.209500	-0.953526	-0.410804
24701	0.209232	-0.954690	-0.421087
24702	0.207948	-0.952660	-0.424236
24703	0.207451	-0.954419	-0.418624
24704	0.206967	-0.955502	-0.407860
24705	0.206707	-0.958775	-0.390295
24706	0.207681	-0.962679	-0.366637
24707	0.207430	-0.966981	-0.345536
24708	0.205022	-0.976878	-0.328250
24709	0.199701	-0.988874	-0.319539
24710	0.189526	-0.997459	-0.322580
24711	0.179630	-1.003403	-0.331296
24712	0.166964	-1.005552	-0.348943
24713	0.152297	-1.003004	-0.367304
24714	0.137994	-1.001027	-0.386096
24715	0.124016	-0.997517	-0.405984
24716	0.106004	-0.993028	-0.423927
24717	0.093233	-0.994597	-0.433440
24718	0.079827	-1.001821	-0.438767
24719	0.064146	-1.017643	-0.435075
24720	0.045258	-1.032602	-0.423512
24721	0.022730	-1.055164	-0.408519
24722	-0.005032	-1.077777	-0.405721
24723	-0.029964	-1.095460	-0.417631
