// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4387C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
24544	-0.014772	-0.004862	0.011139
24545	-0.012647	-0.004123	0.009851
24546	-0.012739	-0.003228	0.013143
24547	-0.011657	-0.000637	0.012127
24548	-0.013712	0.000027	0.012373
24549	-0.013338	-0.000570	0.010789
24550	-0.012655	-0.000694	0.010180
24551	-0.013302	-0.001220	0.009752
24552	-0.012728	-0.001421	0.009138
24553	-0.013036	-0.001228	0.010537
24554	-0.012277	-0.001128	0.010772
24555	-0.011974	0.000084	0.010507
24556	-0.012695	0.001370	0.011427
24557	-0.012782	0.001893	0.011538
24558	-0.012280	0.001658	0.010916
24559	-0.011977	0.002870	0.010651
24560	-0.012077	0.003429	0.010834
24561	-0.010342	0.003479	0.009922
24562	-0.010574	0.003816	0.011443
24563	-0.010272	0.005029	0.011179
24564	-0.011359	0.005532	0.010222
24565	-0.011836	0.005366	0.010708
24566	-0.011374	0.005034	0.009992
24567	-0.011461	0.005557	0.010103
24568	-0.012174	0.005081	0.009816
24569	-0.012261	0.005604	0.009927
24570	-0.013072	0.006493	0.009847
24571	-0.014329	0.004948	0.011083
24572	-0.011810	0.004562	0.012447
24573	-0.010464	0.003922	0.011912
24574	-0.010417	0.004992	0.011659
24575	-0.009703	0.005113	0.011904
24576	-0.010469	0.004241	0.012758
24577	-0.010776	0.004434	0.014157
24578	-0.008765	0.003123	0.012935
24579	-0.008463	0.004335	0.012671
24580	-0.009614	0.004789	0.011714
24581	-0.009290	0.004221	0.012334
24582	-0.009567	0.004391	0.011582
24583	-0.009243	0.003823	0.012202
24584	-0.009251	0.002563	0.013187
24585	-0.010529	0.002798	0.013539
