// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4387C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
06061	-0.011976	0.005440	-0.076980
06062	-0.010612	0.004856	-0.077391
06063	-0.011269	0.004852	-0.077252
06064	-0.010748	0.004960	-0.077568
06065	-0.011058	0.003999	-0.078132
06066	-0.013095	0.007082	-0.077230
06067	-0.011415	0.005589	-0.078224
06068	-0.013114	0.006351	-0.079792
06069	-0.013251	0.006744	-0.078820
06070	-0.012676	0.006727	-0.079427
06071	-0.012466	0.006164	-0.079158
06072	-0.012981	0.006649	-0.079728
06073	-0.014150	0.005471	-0.078210
06074	-0.011928	0.004401	-0.078330
06075	-0.012164	0.007113	-0.079555
06076	-0.011115	0.005883	-0.079299
06077	-0.010129	0.006304	-0.078887
06078	-0.011234	0.006450	-0.080091
06079	-0.011116	0.007430	-0.079809
06080	-0.021700	0.006088	-0.082100
06081	-0.023235	0.006639	-0.082091
06082	-0.023502	0.007020	-0.080971
06083	-0.024170	0.007013	-0.080833
06084	-0.024829	0.005417	-0.080664
06085	-0.024374	0.005437	-0.081085
06086	-0.024482	0.005844	-0.080094
06087	-0.023770	0.006450	-0.081204
06088	-0.024313	0.006451	-0.081162
06089	-0.023595	0.006282	-0.080061
06090	-0.024843	0.005882	-0.080635
06091	-0.023777	0.004757	-0.080237
06092	-0.022879	0.005059	-0.079939
06093	-0.023547	0.005051	-0.079801
06094	-0.022840	0.004907	-0.078638
06095	-0.024375	0.005458	-0.078629
06096	-0.024973	0.007109	-0.078445
06097	-0.024602	0.007897	-0.076641
06098	-0.025930	0.007438	-0.077217
06099	-0.023222	0.006739	-0.076545
06100	-0.024596	0.006881	-0.075269
06101	-0.025007	0.007460	-0.075819
06102	-0.024946	0.008447	-0.075437
06103	-0.025094	0.008837	-0.074466
06104	-0.024576	0.008862	-0.074937
06105	-0.025335	0.010397	-0.074784
06106	-0.024104	0.010061	-0.076785
06107	-0.023641	0.009306	-0.074995
06108	-0.022494	0.008259	-0.074525
06109	-0.024547	0.008412	-0.075348
06110	-0.024008	0.008391	-0.075913
06111	-0.023552	0.008411	-0.076333
