// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B437E8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
55847	-0.059427	0.033203	-0.017978
55848	-0.059620	0.033134	-0.017787
55849	-0.057990	0.031791	-0.017350
55850	-0.059852	0.030849	-0.018020
55851	-0.061071	0.032004	-0.017849
55852	-0.057610	0.031780	-0.017315
55853	-0.059836	0.031751	-0.016882
55854	-0.059015	0.032824	-0.017030
55855	-0.058944	0.032973	-0.017664
55856	-0.058473	0.032641	-0.016265
55857	-0.058696	0.032600	-0.016095
55858	-0.057077	0.031347	-0.015426
55859	-0.058012	0.030314	-0.015796
55860	-0.060384	0.030268	-0.015468
55861	-0.059307	0.031604	-0.016365
55862	-0.059990	0.031405	-0.015388
55863	-0.059919	0.031557	-0.016022
55864	-0.060244	0.030969	-0.017819
55865	-0.058901	0.031822	-0.016839
55866	-0.059539	0.031988	-0.017773
55867	-0.060474	0.030957	-0.018142
55868	-0.060998	0.030743	-0.017099
55869	-0.061071	0.031992	-0.017462
55870	-0.061207	0.031999	-0.017091
55871	-0.061137	0.032154	-0.017724
55872	-0.061037	0.032209	-0.018502
55873	-0.061972	0.031179	-0.018871
55874	-0.058948	0.031809	-0.017383
55875	-0.061175	0.031785	-0.016949
55876	-0.059344	0.031661	-0.017127
55877	-0.060129	0.031918	-0.018030
55878	-0.060017	0.033084	-0.018387
55879	-0.060658	0.032246	-0.019559
55880	-0.059861	0.031970	-0.019259
55881	-0.060675	0.031553	-0.017481
55882	-0.060904	0.030482	-0.017513
55883	-0.059831	0.031826	-0.018409
55884	-0.058109	0.030900	-0.019715
55885	-0.058185	0.032154	-0.020077
55886	-0.058105	0.031286	-0.020893
55887	-0.057621	0.032249	-0.020182
55888	-0.058204	0.030964	-0.019500
55889	-0.058302	0.033927	-0.017446
55890	-0.059643	0.030789	-0.018516
55891	-0.059160	0.031753	-0.017804
55892	-0.057243	0.031642	-0.017881
55893	-0.058762	0.032615	-0.016907
55894	-0.058087	0.032541	-0.016260
55895	-0.057870	0.033990	-0.017426
55896	-0.059021	0.034063	-0.017514
55897	-0.059248	0.034033	-0.017341
55898	-0.061029	0.032926	-0.018307
55899	-0.060962	0.033089	-0.018937
55900	-0.061546	0.032755	-0.018191
55901	-0.062040	0.033210	-0.019896
55902	-0.061496	0.033046	-0.019540
55903	-0.061579	0.031922	-0.019636
55904	-0.060879	0.032988	-0.019931
55905	-0.062525	0.030968	-0.020837
55906	-0.062318	0.030630	-0.019663
55907	-0.061837	0.031600	-0.018951
55908	-0.061974	0.031739	-0.019730
55909	-0.061348	0.031613	-0.019286
55910	-0.060894	0.032577	-0.018559
55911	-0.061683	0.032842	-0.019461
55912	-0.061487	0.032940	-0.020097
55913	-0.062570	0.033014	-0.020195
55914	-0.061546	0.033080	-0.020426
55915	-0.061654	0.033669	-0.018106
55916	-0.061544	0.033793	-0.018751
55917	-0.061628	0.032672	-0.018846
55918	-0.061800	0.032586	-0.018710
55919	-0.061883	0.031466	-0.018804
55920	-0.062211	0.031486	-0.018570
55921	-0.061998	0.032942	-0.019734
55922	-0.062284	0.034120	-0.018966
55923	-0.062808	0.033906	-0.017989
55924	-0.061526	0.033035	-0.019503
55925	-0.061902	0.034109	-0.019061
55926	-0.061712	0.035396	-0.019136
55927	-0.061942	0.035375	-0.018962
55928	-0.062455	0.035214	-0.017816
55929	-0.063245	0.035483	-0.018716
55930	-0.062860	0.032489	-0.016327
55931	-0.062675	0.035660	-0.015078
55932	-0.063498	0.034602	-0.015395
55933	-0.064289	0.034872	-0.016296
55934	-0.063704	0.036004	-0.016547
55935	-0.063227	0.036983	-0.015832
55936	-0.063265	0.036915	-0.015581
55937	-0.062909	0.034895	-0.016743
55938	-0.063570	0.038186	-0.015663
55939	-0.062801	0.036973	-0.015482
55940	-0.063065	0.036351	-0.017322
55941	-0.063737	0.037237	-0.016077
55942	-0.063542	0.036240	-0.017094
55943	-0.063066	0.037222	-0.016380
55944	-0.063002	0.036102	-0.016321
55945	-0.062233	0.034891	-0.016140
55946	-0.061820	0.034495	-0.014960
55947	-0.063052	0.035673	-0.014791
55948	-0.061186	0.035631	-0.014809
55949	-0.062272	0.035713	-0.014906
55950	-0.062515	0.035767	-0.014546
55951	-0.062747	0.035751	-0.014370
55952	-0.063337	0.035481	-0.013515
55953	-0.063570	0.035467	-0.013339
55954	-0.063062	0.035026	-0.012200
55955	-0.062294	0.033818	-0.012018
55956	-0.064376	0.033691	-0.011678
55957	-0.062607	0.033676	-0.011759
55958	-0.062763	0.033537	-0.011757
55959	-0.063555	0.033812	-0.012656
55960	-0.063353	0.033909	-0.013311
55961	-0.062998	0.034281	-0.014741
55962	-0.061353	0.035069	-0.013692
55963	-0.061881	0.034864	-0.012713
55964	-0.062188	0.037162	-0.012978
55965	-0.061862	0.036861	-0.011725
55966	-0.062001	0.036883	-0.011365
55967	-0.062087	0.035774	-0.011454
55968	-0.061213	0.035889	-0.011710
55969	-0.061036	0.036686	-0.010192
55970	-0.060598	0.035837	-0.012147
55971	-0.060538	0.036020	-0.012773
55972	-0.060976	0.035778	-0.011778
55973	-0.061505	0.035576	-0.010798
55974	-0.061744	0.035482	-0.010738
55975	-0.061126	0.035377	-0.010288
55976	-0.060004	0.036040	-0.008484
55977	-0.059386	0.035935	-0.008034
55978	-0.057953	0.036398	-0.010006
55979	-0.059600	0.036774	-0.011179
55980	-0.060540	0.035734	-0.011564
55981	-0.059776	0.036921	-0.011650
55982	-0.060452	0.035688	-0.012248
55983	-0.059539	0.035779	-0.012599
55984	-0.062563	0.033827	-0.017040
55985	-0.063803	0.032621	-0.016606
55986	-0.064120	0.033595	-0.016341
55987	-0.063359	0.032392	-0.016163
55988	-0.062147	0.033690	-0.017047
55989	-0.063242	0.033776	-0.017152
55990	-0.062357	0.033977	-0.017209
55991	-0.062598	0.033968	-0.017039
55992	-0.062319	0.034167	-0.017439
55993	-0.060296	0.033681	-0.015645
55994	-0.062152	0.034899	-0.015669
55995	-0.063396	0.036083	-0.015509
55996	-0.064152	0.034908	-0.016068
55997	-0.063246	0.034999	-0.016426
55998	-0.063424	0.036183	-0.017019
55999	-0.063666	0.036176	-0.016848
56000	-0.063077	0.036100	-0.016336
56001	-0.063728	0.035283	-0.017506
56002	-0.062582	0.036070	-0.016827
56003	-0.063529	0.035060	-0.017195
56004	-0.064359	0.036963	-0.015839
56005	-0.063599	0.035766	-0.015658
56006	-0.062318	0.035948	-0.016942
56007	-0.061708	0.035849	-0.016497
