// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B437E8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
20321	0.005605	0.008605	0.043100
20322	0.007666	0.007848	0.043618
20323	0.007743	0.007495	0.044905
20324	0.007746	0.007757	0.044587
20325	0.007939	0.007962	0.044199
20326	0.009056	0.008016	0.044896
20327	0.008428	0.008378	0.043535
20328	0.007598	0.008148	0.043838
20329	0.009052	0.008113	0.041694
20330	0.008455	0.008440	0.044156
20331	0.006889	0.008401	0.043496
20332	0.007535	0.009983	0.042692
20333	0.007056	0.008866	0.042790
20334	0.006462	0.009204	0.041407
20335	0.006595	0.009132	0.041856
20336	0.006498	0.009387	0.041549
20337	0.006689	0.009594	0.041160
20338	0.005995	0.009037	0.042241
20339	0.006857	0.010569	0.041365
20340	0.008121	0.009559	0.041477
20341	0.007374	0.009365	0.041791
20342	0.006499	0.009241	0.042257
20343	0.006689	0.009449	0.041868
20344	0.006892	0.009356	0.042293
20345	0.007903	0.009409	0.042878
20346	0.008945	0.009744	0.042633
20347	0.007261	0.009149	0.043648
20348	0.006378	0.010376	0.042458
20349	0.007655	0.009509	0.042828
20350	0.007877	0.009718	0.042560
20351	0.007188	0.009804	0.042035
20352	0.006389	0.009891	0.041528
20353	0.006903	0.009459	0.040087
20354	0.007917	0.009856	0.040013
20355	0.007990	0.009509	0.041300
20356	0.006234	0.009469	0.040668
20357	0.006365	0.009402	0.041117
20358	0.006988	0.008391	0.041348
20359	0.006909	0.009524	0.041173
20360	0.006747	0.010523	0.040840
20361	0.008198	0.010494	0.038697
20362	0.008044	0.011314	0.039384
20363	0.008115	0.010969	0.040671
20364	0.009018	0.012492	0.039864
20365	0.009357	0.011226	0.040937
20366	0.008618	0.010978	0.041211
20367	0.008747	0.010912	0.041660
20368	0.009372	0.012074	0.041458
20369	0.008681	0.012163	0.040933
20370	0.007696	0.011789	0.042256
20371	0.006562	0.011964	0.044458
20372	0.007327	0.013445	0.043514
20373	0.007664	0.012180	0.044587
20374	0.007845	0.012313	0.044102
20375	0.007973	0.012248	0.044550
20376	0.007240	0.011998	0.044817
20377	0.007159	0.013134	0.044640
20378	0.007070	0.013372	0.046951
20379	0.007256	0.013586	0.046561
20380	0.007548	0.013853	0.046350
20381	0.007139	0.015633	0.047225
20382	0.006845	0.014834	0.046606
20383	0.006763	0.015971	0.046429
20384	0.007330	0.015467	0.044965
20385	0.006579	0.015279	0.045277
20386	0.008108	0.016416	0.046236
20387	0.006537	0.016382	0.045573
20388	0.007156	0.017413	0.046535
20389	0.007609	0.016708	0.045933
20390	0.007695	0.016901	0.045577
20391	0.007880	0.017118	0.045187
20392	0.007906	0.017303	0.044752
20393	0.008032	0.017242	0.045200
20394	0.009111	0.017416	0.044747
20395	0.007539	0.017383	0.044084
20396	0.006674	0.018644	0.042899
20397	0.007947	0.017787	0.043272
20398	0.007310	0.017870	0.042768
20399	0.006557	0.017684	0.043079
20400	0.006616	0.017801	0.042513
20401	0.005863	0.017616	0.042824
20402	0.006655	0.017374	0.044205
20403	0.006288	0.016823	0.042627
20404	0.007425	0.016010	0.043083
20405	0.005852	0.015977	0.042419
20406	0.004944	0.015699	0.042648
20407	0.004132	0.015236	0.043798
20408	0.004537	0.015138	0.044261
20409	0.005047	0.014714	0.042821
20410	0.003551	0.016116	0.044425
20411	0.004271	0.014492	0.043611
20412	0.004854	0.015453	0.044364
20413	0.004100	0.015269	0.044675
20414	0.004427	0.015433	0.044225
20415	0.003673	0.015249	0.044536
20416	0.003638	0.015393	0.043998
20417	0.002275	0.014161	0.043960
20418	0.002459	0.016374	0.044144
20419	0.001307	0.013943	0.044733
20420	0.002277	0.014893	0.045550
20421	0.002458	0.015115	0.045159
20422	0.002363	0.015071	0.045640
20423	0.000788	0.015039	0.044975
20424	-0.000066	0.015081	0.044348
20425	-0.000494	0.014254	0.043608
20426	-0.001369	0.016197	0.043621
20427	-0.000766	0.014021	0.044486
20428	-0.000585	0.014227	0.044124
20429	-0.001400	0.013767	0.045273
20430	-0.000266	0.013800	0.045855
20431	-0.000964	0.013897	0.045326
20432	-0.001651	0.014062	0.044922
20433	-0.000104	0.014907	0.046694
20434	-0.000477	0.013185	0.045744
20435	-0.002593	0.014999	0.045499
20436	-0.000951	0.014989	0.047165
20437	-0.002198	0.014314	0.045449
20438	-0.001818	0.014519	0.045099
20439	-0.001969	0.015388	0.045757
20440	-0.001318	0.016694	0.045708
20441	-0.001410	0.017841	0.045527
20442	-0.001403	0.018636	0.046154
20443	-0.000683	0.017018	0.045342
20444	-0.000111	0.018114	0.046257
20445	-0.000810	0.018212	0.045729
20446	-0.001644	0.018350	0.045358
20447	-0.001525	0.018299	0.045805
20448	-0.001444	0.018517	0.045497
20449	-0.000996	0.017822	0.044896
20450	0.006114	0.021322	0.041597
20451	0.006843	0.019704	0.040781
20452	0.007413	0.020793	0.041717
20453	0.005787	0.020485	0.041885
20454	0.005092	0.020578	0.041345
20455	0.005008	0.021726	0.041159
20456	0.004251	0.021019	0.043268
20457	0.005043	0.022297	0.043220
20458	0.006471	0.020261	0.044265
20459	0.005993	0.019160	0.044361
20460	0.005147	0.019987	0.045067
20461	0.005003	0.020859	0.045720
20462	0.004210	0.020924	0.045127
20463	0.004667	0.020230	0.044522
20464	0.005757	0.020567	0.044284
20465	0.005007	0.020389	0.044590
20466	0.004702	0.018116	0.045408
20467	0.004345	0.020188	0.045431
20468	0.006932	0.018818	0.044910
20469	0.005422	0.019066	0.043399
20470	0.005185	0.019931	0.044048
20471	0.004706	0.018831	0.044144
20472	0.003597	0.019872	0.043836
20473	0.003781	0.020102	0.043441
20474	0.004020	0.018582	0.045314
20475	0.003661	0.020656	0.045336
20476	0.003302	0.019996	0.043718
20477	0.003974	0.020724	0.045347
20478	0.005150	0.019954	0.045803
20479	0.004671	0.018856	0.045900
20480	0.005674	0.018992	0.046625
20481	0.005858	0.019224	0.046229
20482	0.005727	0.016903	0.047004
20483	0.007117	0.016619	0.045698
20484	0.006000	0.017342	0.046237
20485	0.005911	0.018495	0.046049
20486	0.005275	0.018533	0.045465
20487	0.005458	0.018765	0.045068
20488	0.004777	0.018855	0.044440
20489	0.005564	0.020140	0.044390
20490	0.005546	0.017921	0.045342
20491	0.006391	0.019483	0.044453
20492	0.005135	0.019372	0.043703
20493	0.006135	0.019459	0.044284
20494	0.005400	0.018952	0.045345
20495	0.005523	0.018909	0.045788
20496	0.005604	0.018801	0.046146
20497	0.005513	0.019957	0.045957
20498	0.004307	0.019381	0.044371
20499	0.004917	0.017217	0.045237
20500	0.005000	0.017470	0.044853
20501	0.005064	0.017151	0.046135
20502	0.005542	0.016472	0.045686
20503	0.004788	0.016300	0.045990
20504	0.003260	0.015782	0.047143
20505	0.003654	0.017439	0.048979
20506	0.003458	0.015636	0.047942
20507	0.001340	0.017454	0.047684
20508	0.002599	0.017097	0.046208
