// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
46963	0.644196	0.724105	0.884973
46964	0.648282	0.724364	0.875494
46965	0.652331	0.721044	0.868329
46966	0.651050	0.715498	0.860299
46967	0.651336	0.713509	0.854354
46968	0.652610	0.712490	0.852093
46969	0.655818	0.709986	0.852141
46970	0.657242	0.706256	0.850488
46971	0.660364	0.703375	0.843434
46972	0.665782	0.702801	0.845433
46973	0.670695	0.700376	0.841773
46974	0.676473	0.696694	0.831312
46975	0.681806	0.696275	0.817862
46976	0.684988	0.696569	0.804780
46977	0.687580	0.693515	0.794615
46978	0.691104	0.692614	0.790584
46979	0.697828	0.692800	0.792395
46980	0.698586	0.694929	0.791158
46981	0.702206	0.697870	0.794988
46982	0.701603	0.699152	0.797432
46983	0.698915	0.700710	0.799835
46984	0.699750	0.702325	0.810568
46985	0.702215	0.703152	0.827010
46986	0.704939	0.705489	0.847482
46987	0.711046	0.709792	0.872024
46988	0.713562	0.713111	0.889467
46989	0.716442	0.719854	0.901052
46990	0.715885	0.728995	0.905079
46991	0.714141	0.740552	0.910664
46992	0.710878	0.748349	0.920694
46993	0.707577	0.754506	0.937181
46994	0.706801	0.759185	0.953437
46995	0.704114	0.761989	0.975206
46996	0.704150	0.765323	0.996635
46997	0.705405	0.768462	1.014101
46998	0.706837	0.772045	1.030615
46999	0.710244	0.778969	1.045315
47000	0.716264	0.787272	1.067778
47001	0.719995	0.790543	1.086590
47002	0.722875	0.793266	1.100914
47003	0.727246	0.795803	1.118444
47004	0.729974	0.798740	1.131135
47005	0.727277	0.804236	1.138468
47006	0.724234	0.809545	1.141941
47007	0.720170	0.820047	1.149669
47008	0.716462	0.827528	1.158633
47009	0.714155	0.838527	1.161884
47010	0.707011	0.844394	1.161221
47011	0.700591	0.847759	1.164063
47012	0.699361	0.857454	1.171639
47013	0.697016	0.865830	1.181452
47014	0.692165	0.868527	1.187569
47015	0.684419	0.866843	1.194600
47016	0.679746	0.872840	1.203700
47017	0.678097	0.878694	1.217252
47018	0.678582	0.878819	1.228752
47019	0.680349	0.874342	1.239457
47020	0.682110	0.873301	1.255379
47021	0.689880	0.871618	1.269210
47022	0.694705	0.867677	1.277957
47023	0.698391	0.863201	1.279022
47024	0.700300	0.856966	1.277905
47025	0.704724	0.852588	1.276146
47026	0.705735	0.846269	1.270187
47027	0.711330	0.835215	1.271106
47028	0.715146	0.823412	1.274493
47029	0.722670	0.807938	1.277349
47030	0.732254	0.794932	1.279426
47031	0.741516	0.781691	1.280658
47032	0.752951	0.772633	1.287317
47033	0.768075	0.767035	1.293133
47034	0.781773	0.759637	1.298858
47035	0.792863	0.747249	1.302710
47036	0.798806	0.738369	1.304237
47037	0.803770	0.730208	1.308514
47038	0.807719	0.725243	1.312516
47039	0.810547	0.719894	1.310062
47040	0.812515	0.716783	1.310967
47041	0.815268	0.712752	1.312140
47042	0.817203	0.709030	1.307695
47043	0.823127	0.704799	1.308157
47044	0.827370	0.695193	1.312009
47045	0.830262	0.686309	1.311711
47046	0.834946	0.682783	1.307971
47047	0.840663	0.676945	1.303633
47048	0.846908	0.667802	1.301423
47049	0.854413	0.658507	1.295533
47050	0.860824	0.647156	1.285563
47051	0.868664	0.638574	1.280072
47052	0.879793	0.631133	1.277022
47053	0.888819	0.624132	1.275445
47054	0.896081	0.613044	1.272237
47055	0.900234	0.604505	1.264343
47056	0.903130	0.595678	1.256282
47057	0.905719	0.584355	1.252712
47058	0.911259	0.577416	1.252645
47059	0.916961	0.569356	1.254082
47060	0.920228	0.562974	1.257617
47061	0.925050	0.555776	1.258401
47062	0.927141	0.547340	1.257839
47063	0.927063	0.540338	1.255170
47064	0.926367	0.534186	1.250461
47065	0.925714	0.530484	1.250405
47066	0.925680	0.525288	1.251263
47067	0.923460	0.518883	1.247655
47068	0.923790	0.511662	1.241231
47069	0.923059	0.509352	1.236930
47070	0.922194	0.505031	1.232474
47071	0.919584	0.501459	1.226313
47072	0.919502	0.498718	1.219405
47073	0.917810	0.498578	1.218085
47074	0.912343	0.496969	1.218604
47075	0.906525	0.495325	1.216022
47076	0.901344	0.493610	1.209989
47077	0.892639	0.492540	1.201418
47078	0.884013	0.494094	1.186414
47079	0.875927	0.494104	1.171543
47080	0.868595	0.494772	1.159075
47081	0.864035	0.497438	1.145986
47082	0.858479	0.499381	1.136133
47083	0.853897	0.499899	1.120950
47084	0.847205	0.502425	1.100462
47085	0.839729	0.503516	1.079290
47086	0.832227	0.504303	1.060370
47087	0.826525	0.505814	1.042596
47088	0.822712	0.507683	1.027464
47089	0.818520	0.511474	1.014011
47090	0.814137	0.513289	1.005551
47091	0.805166	0.516301	0.992122
47092	0.795354	0.517599	0.985152
47093	0.791371	0.518927	0.987292
47094	0.789018	0.522592	0.994038
47095	0.789061	0.524587	0.998978
47096	0.786314	0.527995	1.001004
47097	0.783329	0.531543	0.996480
47098	0.776433	0.533986	0.989210
47099	0.770066	0.536049	0.988471
47100	0.762639	0.540327	0.987695
47101	0.758870	0.545490	0.988857
47102	0.754464	0.551613	0.989530
47103	0.747947	0.558526	0.990271
47104	0.740789	0.563293	0.992611
47105	0.732717	0.563544	0.992713
47106	0.723274	0.566857	0.997990
47107	0.720499	0.574059	1.008235
47108	0.715970	0.583632	1.023307
47109	0.713546	0.593605	1.043925
47110	0.711028	0.602350	1.062866
47111	0.706935	0.608788	1.081464
47112	0.700649	0.611243	1.092751
47113	0.692757	0.616984	1.102610
47114	0.686557	0.625859	1.115614
47115	0.680153	0.635700	1.124783
47116	0.672588	0.645776	1.134049
47117	0.668249	0.656328	1.147789
47118	0.662732	0.665150	1.156533
47119	0.656335	0.671038	1.168615
47120	0.649292	0.679794	1.175797
47121	0.641932	0.687948	1.182981
47122	0.634183	0.697463	1.183315
47123	0.621774	0.706806	1.183559
47124	0.612869	0.713630	1.178149
47125	0.604390	0.722872	1.174859
47126	0.600812	0.732260	1.170233
47127	0.599458	0.737141	1.173496
47128	0.599915	0.737640	1.184601
47129	0.603974	0.740227	1.200219
47130	0.604388	0.740356	1.212643
47131	0.602006	0.740882	1.220472
47132	0.602034	0.745095	1.224053
47133	0.601790	0.753032	1.219119
47134	0.601271	0.760174	1.212718
47135	0.598336	0.766329	1.209507
47136	0.593974	0.770982	1.208955
47137	0.587414	0.775800	1.207581
47138	0.575073	0.785348	1.205024
47139	0.564819	0.796344	1.200423
47140	0.553145	0.807141	1.201514
47141	0.543770	0.817185	1.205438
47142	0.533971	0.827612	1.211043
47143	0.526616	0.837858	1.228185
47144	0.518094	0.844627	1.250417
47145	0.508593	0.851527	1.269527
47146	0.502229	0.862984	1.288692
47147	0.496762	0.874506	1.307700
47148	0.489655	0.887074	1.318950
47149	0.481364	0.897879	1.328323
47150	0.472288	0.907297	1.333544
47151	0.463266	0.920238	1.339956
47152	0.452923	0.927353	1.352428
47153	0.442666	0.930378	1.361512
47154	0.433715	0.936292	1.369091
47155	0.428846	0.942796	1.382613
47156	0.424108	0.947515	1.397005
47157	0.418303	0.954474	1.410640
47158	0.412653	0.960133	1.416198
47159	0.407987	0.968326	1.426647
47160	0.400911	0.972268	1.428167
47161	0.392593	0.973175	1.425511
47162	0.385432	0.973987	1.420724
47163	0.378435	0.975571	1.417593
47164	0.372251	0.977729	1.415820
47165	0.367146	0.980642	1.406683
47166	0.363651	0.988158	1.396930
47167	0.363442	0.996537	1.391218
47168	0.364389	1.001129	1.384770
47169	0.364989	1.002097	1.381298
47170	0.364958	0.999600	1.380207
47171	0.367166	1.001453	1.385312
