// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
30848	-1.032534	2.387448	0.975044
30849	-1.042820	2.408973	1.020372
30850	-1.046381	2.424592	1.066903
30851	-1.045392	2.431820	1.113985
30852	-1.035345	2.432272	1.156891
30853	-1.023775	2.425813	1.194308
30854	-1.003722	2.415222	1.227415
30855	-0.977320	2.404158	1.258769
30856	-0.951925	2.393141	1.286506
30857	-0.923800	2.376296	1.319500
30858	-0.894517	2.355110	1.358009
30859	-0.862988	2.333871	1.392468
30860	-0.835027	2.308269	1.414703
30861	-0.806315	2.281532	1.425169
30862	-0.775116	2.251580	1.432380
30863	-0.745039	2.221563	1.438726
30864	-0.714555	2.192464	1.445065
30865	-0.686491	2.165902	1.448544
30866	-0.657877	2.137463	1.462229
30867	-0.628939	2.110179	1.484831
30868	-0.602211	2.082389	1.505864
30869	-0.579217	2.056505	1.522580
30870	-0.558013	2.031348	1.529667
30871	-0.539467	2.006442	1.529277
30872	-0.525466	1.982777	1.524414
30873	-0.515716	1.960740	1.516379
30874	-0.507037	1.942078	1.508054
30875	-0.501631	1.927019	1.503708
30876	-0.493378	1.918259	1.509391
30877	-0.483206	1.911965	1.512966
30878	-0.468907	1.913048	1.495171
30879	-0.453435	1.910562	1.470675
30880	-0.440847	1.901838	1.449789
30881	-0.428748	1.892655	1.433755
30882	-0.416967	1.880010	1.425565
30883	-0.405096	1.867929	1.423433
30884	-0.394232	1.855536	1.426568
30885	-0.382097	1.840336	1.440459
30886	-0.367215	1.826801	1.460534
30887	-0.349503	1.817829	1.470985
30888	-0.328622	1.813992	1.472296
30889	-0.304890	1.809352	1.469606
30890	-0.284575	1.806733	1.460673
30891	-0.268278	1.806154	1.452396
30892	-0.260643	1.800755	1.443796
30893	-0.256525	1.800283	1.421545
30894	-0.257982	1.801287	1.409007
30895	-0.263341	1.806448	1.402942
30896	-0.269978	1.812549	1.399499
30897	-0.277424	1.820183	1.389249
30898	-0.283352	1.825661	1.373313
30899	-0.287462	1.829463	1.337781
30900	-0.288565	1.836027	1.292894
30901	-0.291814	1.839091	1.248236
30902	-0.295183	1.843337	1.212422
