// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B437E8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
49574	0.007529	0.014399	0.012945
49575	0.007296	0.014802	0.012179
49576	0.008636	0.014107	0.013006
49577	0.008132	0.013967	0.012997
49578	0.006626	0.013839	0.012909
49579	0.008225	0.016228	0.013066
49580	0.007487	0.015548	0.013788
49581	0.009059	0.015391	0.013884
49582	0.006514	0.015269	0.013743
49583	0.008085	0.015111	0.013839
49584	0.008782	0.015420	0.015049
49585	0.009044	0.014727	0.015850
49586	0.010011	0.015579	0.016302
49587	0.009107	0.014438	0.015858
49588	0.010984	0.014826	0.015171
49589	0.010476	0.014683	0.015162
49590	0.009095	0.015005	0.016266
49591	0.011702	0.014839	0.016415
49592	0.011501	0.015241	0.015622
49593	0.011762	0.014546	0.016423
49594	0.011290	0.014405	0.016387
49595	0.013127	0.014787	0.015727
49596	0.011221	0.013655	0.015203
49597	0.012670	0.015952	0.017309
49598	0.011571	0.016447	0.014514
49599	0.010792	0.015757	0.015262
49600	0.011881	0.017061	0.016906
49601	0.010333	0.016921	0.016844
49602	0.009732	0.016322	0.015616
49603	0.011321	0.018705	0.015773
49604	0.011489	0.017557	0.015355
49605	0.008902	0.017422	0.015240
49606	0.010504	0.017264	0.015310
49607	0.008953	0.017122	0.015248
49608	0.008338	0.016892	0.017162
49609	0.008863	0.016736	0.017206
49610	0.008784	0.017589	0.017605
49611	0.011781	0.018416	0.018189
49612	0.011037	0.017729	0.018911
49613	0.012600	0.017565	0.019008
49614	0.013034	0.016955	0.017833
49615	0.013021	0.015714	0.019392
49616	0.013851	0.016102	0.018652
49617	0.014000	0.017489	0.018320
49618	0.014561	0.017335	0.018337
49619	0.016913	0.019166	0.019304
49620	0.014747	0.017112	0.016396
49621	0.013695	0.015876	0.017901
49622	0.016083	0.017711	0.018841
49623	0.015299	0.017016	0.019589
49624	0.015484	0.018407	0.019230
49625	0.014699	0.017711	0.019979
49626	0.013953	0.017020	0.020700
49627	0.014098	0.018405	0.020368
49628	0.013887	0.018796	0.019574
49629	0.012834	0.017559	0.021080
49630	0.012354	0.017408	0.021044
49631	0.012734	0.017163	0.023038
49632	0.012253	0.017012	0.023001
49633	0.011735	0.016856	0.022992
49634	0.012292	0.016698	0.023009
49635	0.012810	0.016535	0.023053
49636	0.013761	0.017375	0.023505
49637	0.013242	0.017218	0.023495
49638	0.014459	0.018598	0.023189
49639	0.013545	0.017442	0.022746
49640	0.014100	0.017282	0.022763
49641	0.014884	0.017658	0.022049
49642	0.014401	0.017504	0.022013
49643	0.016349	0.018332	0.022545
49644	0.013524	0.017649	0.023159
49645	0.014167	0.017942	0.024395
49646	0.014848	0.018240	0.025604
49647	0.015630	0.018614	0.024891
49648	0.016056	0.017994	0.023716
49649	0.015533	0.017833	0.023707
49650	0.016086	0.017671	0.023724
49651	0.015562	0.017510	0.023715
49652	0.017418	0.017882	0.023028
49653	0.016894	0.017720	0.023018
49654	0.016031	0.019107	0.022605
49655	0.016921	0.017394	0.023026
49656	0.016435	0.017236	0.022990
49657	0.016175	0.017613	0.022223
49658	0.016726	0.017449	0.022240
49659	0.016200	0.017285	0.022231
49660	0.015069	0.018130	0.022574
49661	0.016239	0.019500	0.022295
49662	0.016916	0.019794	0.023504
49663	0.016124	0.019090	0.024252
49664	0.015370	0.018390	0.024974
49665	0.014843	0.018224	0.024964
49666	0.015785	0.019058	0.025415
49667	0.015257	0.018892	0.025406
49668	0.017108	0.019260	0.024719
49669	0.016580	0.019094	0.024710
49670	0.015181	0.019397	0.025811
49671	0.015689	0.019225	0.025856
49672	0.016501	0.019597	0.025115
49673	0.016743	0.018885	0.025918
49674	0.016645	0.019722	0.026315
49675	0.016115	0.019553	0.026306
49676	0.016798	0.019463	0.024374
49677	0.016268	0.019294	0.024364
49678	0.016561	0.021130	0.025195
49679	0.016030	0.020960	0.025186
49680	0.016447	0.020330	0.024012
49681	0.016308	0.021160	0.024436
49682	0.016588	0.020451	0.025212
49683	0.015411	0.021285	0.025582
49684	0.017256	0.021649	0.024895
49685	0.014650	0.021486	0.024778
49686	0.015321	0.021777	0.025987
49687	0.017125	0.022135	0.025328
49688	0.016896	0.022507	0.024533
49689	0.017791	0.023330	0.025012
49690	0.017688	0.024162	0.025409
49691	0.018455	0.024523	0.024696
49692	0.016531	0.023359	0.024171
49693	0.015996	0.023186	0.024162
49694	0.014717	0.021017	0.023258
49695	0.014966	0.022843	0.024116
49696	0.016151	0.021666	0.023754
49697	0.015234	0.023033	0.023366
49698	0.013701	0.022868	0.023275
49699	0.014856	0.024227	0.022995
49700	0.014096	0.023519	0.023716
49701	0.014468	0.022877	0.022570
49702	0.013062	0.023172	0.023670
49703	0.014988	0.023989	0.024203
49704	0.013717	0.024359	0.023354
49705	0.014344	0.024641	0.024591
49706	0.013845	0.024470	0.024553
49707	0.015643	0.024823	0.023895
49708	0.012808	0.024120	0.024507
49709	0.014868	0.025010	0.023091
49710	0.012296	0.024844	0.022945
49711	0.014092	0.025196	0.022286
49712	0.012946	0.026027	0.022628
49713	0.013442	0.025844	0.022674
49714	0.013978	0.025667	0.022691
49715	0.014865	0.026484	0.023169
49716	0.012554	0.026854	0.022265
49717	0.014085	0.026667	0.022365
49718	0.013059	0.025418	0.023845
49719	0.013042	0.026311	0.022319
49720	0.014229	0.027670	0.022011
49721	0.014723	0.027486	0.022057
49722	0.015385	0.027770	0.023265
49723	0.014452	0.026587	0.022823
49724	0.016284	0.026941	0.022137
49725	0.017685	0.029222	0.024240
49726	0.016401	0.027042	0.023336
49727	0.016247	0.027860	0.023760
49728	0.017304	0.028752	0.022261
49729	0.017795	0.028565	0.022306
49730	0.018717	0.029385	0.022757
49731	0.019470	0.029734	0.022044
49732	0.018703	0.029018	0.022765
49733	0.018158	0.028833	0.022756
49734	0.016874	0.026651	0.021853
49735	0.018661	0.026996	0.021194
49736	0.018545	0.027817	0.021590
49737	0.018772	0.027091	0.022394
49738	0.018266	0.026910	0.022356
49739	0.019406	0.028258	0.022076
49740	0.016566	0.027546	0.022688
49741	0.018090	0.027353	0.022789
49742	0.015511	0.027176	0.022642
49743	0.016260	0.027522	0.021929
49744	0.016788	0.027337	0.021946
49745	0.017275	0.027146	0.021992
49746	0.016767	0.026963	0.021954
49747	0.018031	0.028775	0.022865
49748	0.017262	0.028055	0.023586
49749	0.015548	0.027402	0.022331
49750	0.016203	0.027681	0.023540
49751	0.016302	0.029028	0.023205
49752	0.016828	0.028841	0.023222
49753	0.016277	0.028651	0.023213
49754	0.015767	0.028465	0.023175
49755	0.016640	0.029274	0.023654
49756	0.016521	0.027151	0.020856
49757	0.016489	0.028030	0.019329
49758	0.018306	0.028773	0.021784
49759	0.016329	0.027580	0.021288
49760	0.017889	0.027389	0.021360
49761	0.017983	0.026192	0.020973
49762	0.018506	0.026003	0.020990
49763	0.018340	0.026810	0.021414
49764	0.017568	0.026087	0.022134
49765	0.017921	0.025424	0.020989
49766	0.017408	0.025235	0.020951
49767	0.017241	0.026042	0.021375
49768	0.018023	0.026386	0.020633
49769	0.017467	0.026190	0.020624
49770	0.017988	0.025999	0.020641
49771	0.017820	0.026805	0.021064
49772	0.019636	0.027147	0.020377
49773	0.019080	0.026950	0.020368
49774	0.018565	0.026759	0.020330
49775	0.018136	0.027029	0.021512
