// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
21046	24.081510	-1.840525	11.500521
21047	24.995291	-2.881279	13.025227
21048	25.417557	-3.451956	14.142116
21049	25.182293	-3.260794	14.538793
21050	24.264643	-2.369472	14.389291
21051	22.903357	-1.141470	13.935136
21052	21.293643	0.293415	13.215157
21053	19.627071	1.881397	12.223546
21054	18.251883	3.279132	10.689013
21055	17.506655	4.301456	7.859359
21056	17.172727	5.660442	4.379608
21057	16.914628	6.941777	2.125821
21058	16.655366	7.347476	1.600266
21059	16.140344	7.138163	2.460763
21060	15.222251	6.964389	3.753104
21061	14.148915	7.036677	5.464898
21062	13.066481	7.340229	7.506508
21063	12.023770	7.728051	9.622123
21064	11.115001	7.863486	11.555733
21065	10.400418	7.865906	13.059545
21066	9.776720	7.996915	14.273539
21067	9.232137	7.738912	15.517147
21068	8.713727	7.444361	16.637999
21069	8.257667	7.316839	17.492486
21070	7.920132	7.364313	18.093382
21071	7.750883	7.589493	18.540459
21072	7.653111	7.770261	18.646885
21073	7.499254	7.947162	18.153438
21074	7.207797	8.293629	17.012927
21075	6.747134	8.716064	15.166689
21076	6.157294	9.103905	12.915148
21077	5.491179	9.461444	10.758747
21078	4.803454	9.753813	9.015266
21079	4.144643	9.937515	7.663662
21080	3.644514	9.971427	6.815113
21081	3.351079	9.897879	6.579002
21082	3.234628	9.705939	6.832066
21083	3.176773	9.424816	7.366810
21084	3.080909	9.190719	8.008945
21085	2.893940	9.049642	8.661698
21086	2.639879	8.962692	9.272777
21087	2.323331	8.965931	9.697027
21088	1.941929	9.025020	9.874014
21089	1.485341	9.121435	9.812822
21090	0.957609	9.244869	9.515171
21091	0.370674	9.379139	9.097803
21092	-0.241921	9.539158	8.651931
21093	-0.872748	9.715638	8.201381
21094	-1.504951	9.915429	7.785685
21095	-2.141466	10.111365	7.444206
21096	-2.745708	10.287416	7.208461
21097	-3.339779	10.451751	7.083589
21098	-3.922222	10.604131	7.077302
21099	-4.512248	10.755508	7.132859
21100	-5.111872	10.911169	7.193524
21101	-5.749095	11.078291	7.214537
21102	-6.421784	11.244710	7.199212
21103	-7.155217	11.404119	7.119780
21104	-7.957489	11.576077	6.965699
21105	-8.824057	11.752370	6.754781
21106	-9.741718	11.955304	6.533548
21107	-10.709581	12.175767	6.343028
21108	-11.716774	12.414308	6.207959
21109	-12.779864	12.665237	6.127949
21110	-13.896399	12.927162	6.078093
21111	-15.067352	13.181038	6.037603
21112	-16.295298	13.433729	5.987356
21113	-17.586789	13.664891	5.885528
21114	-18.935398	13.845714	5.709545
21115	-20.347238	13.989104	5.434928
21116	-21.841427	14.075804	5.063744
21117	-23.468016	14.073568	4.561529
21118	-25.247584	13.936988	3.911224
21119	-27.184153	13.732640	3.027637
21120	-29.166844	13.531741	2.124339
21121	-31.161232	13.422083	1.230517
21122	-33.161385	13.408393	0.360608
21123	-35.093691	13.458747	-0.444768
21124	-36.956285	13.543921	-1.317487
21125	-38.670031	13.658985	-2.255320
21126	-40.145042	13.981315	-3.075856
21127	-41.436336	14.703480	-3.765219
21128	-42.705893	15.741445	-4.334669
21129	-43.893683	16.718210	-4.898748
21130	-44.921602	17.323620	-5.373749
21131	-45.691927	17.460497	-5.716431
21132	-46.220554	17.119563	-5.964405
21133	-46.526978	16.554891	-6.055383
21134	-46.779068	15.921547	-6.188609
