// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
49574	0.105566	0.116139	-0.028219
49575	0.106591	0.117915	-0.027592
49576	0.107595	0.119474	-0.031465
49577	0.109064	0.121336	-0.031629
49578	0.110832	0.122389	-0.032021
49579	0.113006	0.124510	-0.031697
49580	0.113672	0.123480	-0.031203
49581	0.113552	0.123904	-0.031518
49582	0.114022	0.122675	-0.033153
49583	0.114425	0.122435	-0.032152
49584	0.113652	0.120860	-0.026169
49585	0.113615	0.119527	-0.025622
49586	0.111956	0.116726	-0.021907
49587	0.112179	0.115565	-0.020079
49588	0.111525	0.112933	-0.024945
49589	0.109106	0.112668	-0.024653
49590	0.107197	0.110712	-0.022072
49591	0.104341	0.108345	-0.023479
49592	0.104606	0.106051	-0.026920
49593	0.103605	0.104288	-0.028142
49594	0.101633	0.101163	-0.031159
49595	0.099742	0.099226	-0.030797
49596	0.097530	0.097061	-0.027699
49597	0.094234	0.093601	-0.029560
49598	0.092779	0.090913	-0.024694
49599	0.089483	0.087452	-0.026554
49600	0.088000	0.085724	-0.021100
49601	0.087440	0.085054	-0.021868
49602	0.087236	0.083561	-0.027025
49603	0.087557	0.085078	-0.026886
49604	0.087659	0.083532	-0.029260
49605	0.088420	0.086143	-0.028667
49606	0.089183	0.086605	-0.033720
49607	0.090208	0.088380	-0.033092
49608	0.091501	0.089264	-0.030963
49609	0.093494	0.090462	-0.029812
49610	0.094527	0.091192	-0.031039
49611	0.096261	0.092218	-0.031169
49612	0.098200	0.094136	-0.034951
49613	0.099489	0.095076	-0.034289
49614	0.101073	0.097827	-0.032221
49615	0.103953	0.100205	-0.031408
49616	0.107148	0.101795	-0.031030
49617	0.109059	0.104751	-0.030741
49618	0.111587	0.106877	-0.030050
49619	0.113058	0.108739	-0.030215
49620	0.112612	0.109956	-0.028627
49621	0.116195	0.112592	-0.027324
49622	0.115487	0.114620	-0.024079
49623	0.118107	0.116827	-0.024546
49624	0.119968	0.119788	-0.021801
49625	0.122847	0.122166	-0.020987
49626	0.125058	0.124328	-0.022021
49627	0.126969	0.127283	-0.021731
49628	0.129913	0.126930	-0.018657
49629	0.131555	0.131728	-0.017156
49630	0.133713	0.132580	-0.021078
49631	0.136592	0.134957	-0.020264
49632	0.138355	0.136948	-0.020792
49633	0.141234	0.139326	-0.019978
49634	0.143496	0.142187	-0.019869
49635	0.145143	0.145978	-0.019614
49636	0.148469	0.147491	-0.017105
49637	0.148703	0.151772	-0.016583
49638	0.148606	0.153143	-0.017295
49639	0.150340	0.154170	-0.017425
49640	0.151122	0.155111	-0.012152
49641	0.152152	0.155880	-0.012771
49642	0.151523	0.156185	-0.009932
49643	0.150434	0.157188	-0.010774
49644	0.149672	0.155610	-0.009309
49645	0.148142	0.155520	-0.010604
49646	0.147858	0.156741	-0.004975
49647	0.147479	0.156995	-0.006572
49648	0.146125	0.156248	-0.007948
49649	0.144591	0.157163	-0.007998
49650	0.144733	0.156572	-0.010266
49651	0.143909	0.156739	-0.011072
49652	0.144096	0.157153	-0.014946
49653	0.143980	0.156572	-0.016509
49654	0.142459	0.158403	-0.018655
49655	0.142334	0.159833	-0.017726
49656	0.142009	0.161373	-0.013511
