// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
08389	-0.025208	-0.010805	-0.060731
08390	-0.026883	-0.010927	-0.060776
08391	-0.023722	-0.012936	-0.055980
08392	-0.019655	-0.012048	-0.056300
08393	-0.021361	-0.010997	-0.053898
08394	-0.023211	-0.012107	-0.055619
08395	-0.022736	-0.013213	-0.052264
08396	-0.022204	-0.012904	-0.055522
08397	-0.025504	-0.011668	-0.059989
08398	-0.025182	-0.010091	-0.063064
08399	-0.028300	-0.009844	-0.061960
08400	-0.029108	-0.009917	-0.062578
08401	-0.030069	-0.010017	-0.065728
08402	-0.029327	-0.010978	-0.069173
08403	-0.030558	-0.010928	-0.072181
08404	-0.031231	-0.010201	-0.073739
08405	-0.029997	-0.007743	-0.076610
08406	-0.029553	-0.008047	-0.076310
08407	-0.028829	-0.007470	-0.072069
08408	-0.025442	-0.005645	-0.070139
08409	-0.026495	-0.003174	-0.066367
08410	-0.026990	-0.001459	-0.066248
08411	-0.027549	-0.001003	-0.068509
08412	-0.028653	-0.000184	-0.074179
08413	-0.028292	0.001162	-0.079194
08414	-0.026862	-0.000737	-0.084891
08415	-0.028499	-0.002046	-0.085328
08416	-0.027278	-0.002677	-0.090840
08417	-0.025449	-0.003475	-0.090091
08418	-0.024736	-0.002179	-0.091672
08419	-0.021876	-0.001323	-0.094715
08420	-0.020820	-0.000496	-0.097423
08421	-0.019816	0.001123	-0.102036
08422	-0.018805	0.001762	-0.107362
08423	-0.018828	0.002401	-0.111614
08424	-0.021738	0.002506	-0.112570
08425	-0.023156	0.002597	-0.105832
08426	-0.024076	0.001485	-0.096708
08427	-0.022798	-0.000123	-0.089118
08428	-0.022348	-0.003111	-0.084501
08429	-0.023440	-0.004936	-0.082954
08430	-0.022659	-0.008156	-0.088261
08431	-0.020832	-0.011537	-0.094888
08432	-0.018537	-0.013387	-0.101161
08433	-0.018907	-0.014470	-0.106712
08434	-0.019017	-0.015484	-0.109579
08435	-0.017948	-0.016899	-0.112458
08436	-0.017845	-0.019182	-0.115511
08437	-0.016002	-0.021582	-0.121584
08438	-0.019733	-0.023787	-0.123823
08439	-0.018602	-0.026244	-0.127803
08440	-0.017246	-0.028760	-0.129940
08441	-0.019761	-0.031764	-0.137530
08442	-0.020904	-0.033819	-0.141498
08443	-0.020377	-0.034918	-0.148801
08444	-0.018661	-0.035458	-0.147585
08445	-0.017669	-0.035142	-0.143288
08446	-0.016423	-0.036015	-0.140003
08447	-0.015611	-0.037525	-0.136654
08448	-0.016656	-0.039206	-0.135385
08449	-0.014750	-0.041271	-0.136289
08450	-0.014882	-0.042715	-0.132978
08451	-0.014399	-0.045080	-0.131272
08452	-0.014452	-0.045910	-0.131522
08453	-0.013191	-0.046127	-0.129374
08454	-0.012723	-0.046439	-0.129074
08455	-0.015236	-0.045074	-0.132621
08456	-0.015081	-0.044489	-0.137373
08457	-0.015989	-0.043676	-0.141706
08458	-0.017375	-0.042204	-0.143625
08459	-0.016629	-0.041018	-0.146229
08460	-0.018142	-0.040348	-0.147207
08461	-0.020852	-0.038243	-0.146412
08462	-0.023669	-0.037529	-0.150922
08463	-0.024559	-0.039564	-0.150265
08464	-0.024332	-0.036350	-0.147916
08465	-0.023952	-0.034160	-0.142405
08466	-0.025411	-0.033304	-0.140763
08467	-0.028310	-0.033556	-0.132919
08468	-0.030681	-0.032937	-0.133318
08469	-0.030664	-0.031579	-0.130014
08470	-0.034446	-0.029272	-0.128520
08471	-0.033523	-0.026369	-0.122096
08472	-0.036082	-0.022036	-0.117826
08473	-0.035521	-0.022001	-0.112462
08474	-0.033666	-0.021747	-0.112189
08475	-0.034984	-0.022940	-0.118478
08476	-0.036658	-0.022831	-0.127310
08477	-0.039029	-0.022271	-0.138024
08478	-0.042995	-0.022968	-0.148868
08479	-0.044880	-0.024821	-0.157251
08480	-0.047229	-0.023776	-0.163828
08481	-0.051008	-0.024579	-0.171544
08482	-0.054878	-0.025335	-0.170972
08483	-0.058101	-0.023530	-0.166762
08484	-0.059527	-0.020232	-0.160639
08485	-0.059646	-0.017897	-0.160778
08486	-0.060236	-0.016994	-0.159716
08487	-0.065725	-0.016028	-0.157534
08488	-0.072468	-0.013592	-0.155796
08489	-0.075207	-0.015038	-0.149746
08490	-0.078438	-0.014902	-0.143387
08491	-0.079634	-0.015207	-0.139867
08492	-0.081049	-0.016614	-0.140088
08493	-0.083953	-0.017631	-0.140135
08494	-0.086767	-0.016921	-0.144643
08495	-0.089009	-0.017560	-0.146702
08496	-0.092534	-0.018786	-0.147256
08497	-0.090217	-0.017665	-0.143009
08498	-0.088755	-0.017561	-0.138053
08499	-0.087839	-0.018761	-0.131633
08500	-0.087630	-0.018425	-0.127588
08501	-0.085443	-0.019591	-0.125683
08502	-0.085749	-0.019345	-0.128367
08503	-0.082732	-0.021669	-0.130217
08504	-0.082576	-0.021091	-0.134970
08505	-0.082726	-0.023979	-0.135864
08506	-0.083277	-0.025338	-0.136663
08507	-0.083008	-0.025625	-0.137774
08508	-0.084231	-0.026047	-0.136317
08509	-0.086097	-0.026620	-0.130751
08510	-0.086495	-0.029867	-0.128175
08511	-0.088304	-0.030236	-0.121700
08512	-0.088638	-0.032867	-0.122684
08513	-0.091428	-0.036181	-0.126149
08514	-0.090260	-0.037442	-0.128107
08515	-0.089246	-0.037401	-0.126277
08516	-0.087831	-0.037058	-0.130118
08517	-0.085631	-0.036947	-0.137724
08518	-0.087674	-0.034545	-0.137382
08519	-0.083330	-0.034254	-0.138823
08520	-0.082250	-0.033873	-0.135357
08521	-0.081542	-0.032475	-0.135809
08522	-0.080216	-0.030489	-0.134227
08523	-0.079519	-0.028183	-0.134887
08524	-0.078592	-0.025914	-0.134795
08525	-0.077909	-0.025431	-0.134158
08526	-0.078208	-0.025188	-0.136839
08527	-0.076880	-0.026356	-0.146335
08528	-0.078006	-0.028422	-0.150299
08529	-0.080257	-0.028908	-0.161943
08530	-0.080340	-0.029938	-0.164812
08531	-0.081370	-0.031254	-0.170198
08532	-0.082251	-0.031716	-0.176046
08533	-0.084036	-0.032435	-0.183932
08534	-0.084174	-0.034083	-0.183240
08535	-0.083645	-0.031889	-0.187749
08536	-0.083968	-0.034525	-0.188735
08537	-0.082662	-0.034117	-0.193607
08538	-0.080195	-0.033170	-0.190178
08539	-0.079289	-0.034317	-0.193320
08540	-0.077472	-0.034260	-0.195676
08541	-0.076660	-0.032523	-0.200883
08542	-0.074172	-0.033404	-0.205496
08543	-0.075524	-0.035464	-0.210550
08544	-0.076272	-0.035557	-0.211162
