// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
43337	0.287248	3.473554	2.757187
43338	1.269384	2.488959	2.817185
43339	2.611637	1.462571	3.014624
43340	4.287994	0.366017	3.304650
43341	6.110589	-0.703838	3.545232
43342	7.892607	-1.869541	3.530362
43343	9.431610	-3.191343	3.119334
43344	10.667692	-4.521562	2.417821
43345	11.717848	-5.498306	1.822370
43346	12.800448	-6.129430	1.313334
43347	14.052924	-6.625398	0.666322
43348	15.401088	-6.947249	-0.116949
43349	16.720173	-6.987845	-1.043159
43350	18.078652	-6.738016	-2.202173
43351	19.546384	-6.233934	-3.608313
43352	21.074720	-5.521755	-5.157130
43353	22.560686	-4.708911	-6.660045
43354	23.939663	-3.906918	-7.983527
43355	25.200519	-3.145478	-9.071783
43356	26.366916	-2.391418	-9.903477
43357	27.441024	-1.664726	-10.460563
43358	28.418114	-1.019397	-10.740602
43359	29.284346	-0.511642	-10.765054
43360	30.025093	-0.152937	-10.545375
43361	30.634375	0.055940	-10.092412
43362	31.081256	0.069508	-9.431055
43363	31.320649	-0.099405	-8.641854
43364	31.327429	-0.374149	-7.736597
43365	31.100542	-0.837128	-6.609165
43366	30.677487	-1.696745	-5.049053
43367	30.168600	-2.871383	-3.065784
43368	29.616077	-4.155379	-0.978055
43369	28.974801	-5.623852	1.011885
43370	28.169055	-7.243224	3.054524
43371	27.111003	-8.631428	5.245360
43372	25.821186	-9.609778	7.420298
43373	24.483675	-10.161252	9.538028
43374	23.144249	-10.586220	11.591745
43375	21.938172	-10.783800	13.420296
43376	21.265897	-10.102673	14.583667
43377	21.438961	-8.567193	14.140389
43378	22.075907	-6.565805	12.220389
43379	22.617053	-4.736306	9.857606
43380	22.775316	-3.290800	7.503002
43381	22.403822	-2.066407	5.149115
43382	21.675492	-1.328193	3.198933
43383	20.932030	-1.068560	1.659168
43384	20.249404	-0.701395	-0.210684
43385	19.611229	-0.199190	-2.292990
43386	19.154773	0.459954	-3.694608
43387	18.954852	0.869604	-4.447813
43388	18.782342	1.050350	-4.822771
43389	18.474345	1.338449	-4.840020
43390	18.159141	1.714311	-4.648193
43391	17.742383	1.991935	-4.346332
43392	17.088139	2.254403	-4.005629
43393	16.229341	2.457480	-3.514644
43394	15.201878	2.574901	-2.685274
43395	14.063539	2.730278	-1.462231
43396	13.080403	2.874137	-0.080966
43397	12.349081	2.839084	1.242284
43398	11.695102	2.873406	2.589546
43399	11.035895	3.085810	3.946903
43400	10.282294	3.304500	5.208640
43401	9.409811	3.531525	6.255655
43402	8.447302	3.826181	7.016148
43403	7.434929	4.189478	7.442901
43404	6.365822	4.568158	7.537818
43405	5.214546	4.905923	7.302736
43406	3.969846	5.183052	6.747250
43407	2.700914	5.401516	5.937060
43408	1.494771	5.563547	5.001600
43409	0.453059	5.639802	4.124301
43410	-0.358635	5.562094	3.421404
43411	-0.939023	5.366774	2.910541
43412	-1.356280	5.231716	2.560494
43413	-1.642200	5.318143	2.348353
43414	-1.790346	5.583729	2.235664
43415	-1.792702	5.898133	2.248625
43416	-1.694975	6.183996	2.374498
43417	-1.542753	6.383537	2.568265
43418	-1.380255	6.488241	2.748288
43419	-1.218439	6.510014	2.876813
43420	-1.020851	6.460569	2.967647
43421	-0.744459	6.353081	3.059110
43422	-0.350260	6.170252	3.192126
43423	0.176501	5.841353	3.349340
43424	0.850277	5.277375	3.491676
43425	1.674884	4.388156	3.598006
43426	2.683369	3.337367	3.728177
43427	3.992334	2.237960	3.909053
43428	5.617231	1.056468	4.092400
43429	7.429665	-0.076586	4.254684
43430	9.276857	-1.239349	4.302684
43431	10.942015	-2.470660	4.098741
43432	12.264067	-3.804287	3.597699
43433	13.338183	-4.866406	3.100597
43434	14.354476	-5.572379	2.737371
43435	15.472343	-6.145164	2.286483
43436	16.701394	-6.594175	1.642693
43437	17.887147	-6.749120	0.837111
43438	19.033542	-6.589074	-0.187118
43439	20.250233	-6.185899	-1.450853
43440	21.580060	-5.584959	-2.879995
43441	22.959701	-4.905016	-4.359206
43442	24.313559	-4.216651	-5.769817
43443	25.573904	-3.552313	-7.004759
43444	26.716083	-2.889210	-8.005372
43445	27.723805	-2.231431	-8.733072
43446	28.606208	-1.658071	-9.171255
43447	29.376791	-1.230375	-9.343051
43448	30.046705	-0.938685	-9.275136
43449	30.607581	-0.734862	-8.985213
43450	31.037996	-0.607507	-8.506775
43451	31.294095	-0.595202	-7.888786
43452	31.350038	-0.699396	-7.160267
43453	31.202291	-1.004974	-6.259415
43454	30.878917	-1.676842	-4.976378
43455	30.433927	-2.651088	-3.195398
43456	29.919912	-3.738242	-1.167287
43457	29.328024	-5.052847	0.815824
43458	28.569647	-6.674724	2.765474
43459	27.569926	-8.162719	4.850506
43460	26.279703	-9.065100	7.050156
43461	24.880461	-9.621972	9.172863
43462	23.521123	-10.068437	11.232257
43463	22.204184	-10.502209	13.215325
43464	21.110506	-10.309530	14.821193
43465	20.834831	-9.209331	14.896910
43466	21.364402	-7.612154	12.844772
43467	22.101452	-5.897464	9.831173
43468	22.547205	-4.165800	7.096406
43469	22.421087	-2.809238	4.622281
43470	21.791156	-2.154600	2.350130
43471	20.880091	-1.593486	0.321732
43472	19.874873	-1.134852	-1.723825
43473	18.964405	-0.530394	-3.415487
43474	18.296492	0.160692	-4.487594
43475	17.813706	0.693737	-5.264269
43476	17.363967	1.193642	-5.686425
43477	16.835640	1.629752	-5.952705
43478	16.428415	1.954654	-5.912848
43479	15.935977	2.046066	-5.444409
43480	15.210028	2.120865	-4.689898
43481	14.250773	2.206542	-3.600595
43482	13.128184	2.248438	-2.128582
43483	12.043334	2.278650	-0.294301
43484	11.290283	2.269475	1.582378
43485	10.796879	2.086948	3.265130
43486	10.297283	2.102514	4.839264
43487	9.686465	2.295718	6.244288
43488	8.955617	2.547881	7.392546
43489	8.094565	2.804759	8.196003
43490	7.126863	3.136094	8.582353
43491	6.117902	3.517099	8.524889
43492	5.096739	3.874281	8.087518
43493	4.062296	4.140561	7.337059
43494	2.995477	4.308602	6.370626
43495	1.940136	4.424607	5.330007
43496	0.946972	4.489865	4.368952
43497	0.079871	4.467633	3.591372
43498	-0.633938	4.363455	3.031966
43499	-1.198426	4.259406	2.647939
43500	-1.655095	4.220726	2.424317
43501	-2.003363	4.260625	2.349007
43502	-2.247892	4.393168	2.378476
43503	-2.384196	4.618248	2.466134
43504	-2.405502	4.883218	2.609468
43505	-2.326529	5.127280	2.831607
43506	-2.157326	5.308822	3.161262
43507	-1.913942	5.403986	3.566452
43508	-1.597616	5.400940	3.996613
43509	-1.205713	5.273337	4.420164
43510	-0.709132	4.974169	4.776610
43511	-0.087047	4.428985	5.013224
43512	0.688379	3.623801	5.128496
43513	1.678097	2.733496	5.207368
43514	3.012899	1.688993	5.358616
43515	4.643889	0.604106	5.503435
43516	6.481437	-0.513159	5.503390
43517	8.375138	-1.621807	5.227850
43518	10.100986	-2.771454	4.670067
43519	11.461798	-4.025206	3.998970
43520	12.625475	-5.063230	3.450401
43521	13.778719	-5.737380	3.010146
43522	15.085498	-6.302541	2.456543
43523	16.431438	-6.718835	1.822707
43524	17.720211	-6.879793	1.079677
43525	19.100461	-6.740101	0.042504
43526	20.675060	-6.251495	-1.376634
43527	22.352690	-5.489133	-3.006964
43528	24.019504	-4.655991	-4.633794
43529	25.561338	-3.860550	-6.147564
43530	26.938235	-3.059795	-7.470416
43531	28.128829	-2.200938	-8.546443
43532	29.150867	-1.330848	-9.352414
43533	30.032480	-0.560132	-9.889371
43534	30.796840	0.070495	-10.181626
43535	31.418373	0.580282	-10.220482
43536	31.855010	0.940904	-9.964268
43537	32.069972	1.068073	-9.425108
43538	32.059035	0.899186	-8.633558
43539	31.835821	0.380473	-7.458682
43540	31.430881	-0.560892	-5.762890
43541	30.940165	-1.837103	-3.669453
43542	30.426548	-3.121608	-1.452189
43543	29.816400	-4.396179	0.735133
43544	29.017269	-5.996948	2.984742
43545	27.963832	-7.801344	5.488969
43546	26.598310	-9.290407	7.995742
43547	25.124817	-10.060090	10.300349
43548	23.663774	-10.569750	12.444837
43549	22.292422	-10.926195	14.445325
43550	21.529655	-10.352933	15.884906
43551	21.831396	-8.893931	15.731213
43552	22.630920	-7.095529	14.190236
43553	23.300808	-5.519926	12.253456
43554	23.646903	-4.270150	10.301325
43555	23.538283	-3.189042	8.348060
43556	23.158537	-2.503880	6.555021
43557	22.680344	-1.884385	4.820893
43558	22.124507	-1.322092	2.736536
43559	21.604573	-0.667242	0.782141
43560	21.277310	0.110700	-0.347839
43561	21.028829	0.540192	-1.036524
43562	20.589844	0.891819	-1.455857
43563	19.946550	1.383933	-1.658556
43564	19.386099	1.999940	-1.834871
43565	18.794865	2.473937	-1.863726
43566	18.032862	2.769626	-1.699377
43567	17.145516	2.983272	-1.205406
43568	16.166018	3.042285	-0.285582
43569	15.158437	3.081341	1.096022
43570	14.389925	3.046099	2.624219
43571	13.868510	2.833301	4.098781
43572	13.394253	2.675798	5.657310
43573	12.856416	2.661490	7.283406
43574	12.185399	2.734929	8.808926
43575	11.364272	2.889582	10.051420
43576	10.426892	3.148284	10.902893
43577	9.421911	3.511114	11.307472
43578	8.359016	3.958219	11.299929
43579	7.231720	4.438442	10.937595
43580	6.037635	4.897310	10.291340
43581	4.811715	5.306580	9.463694
43582	3.585955	5.635987	8.569086
43583	2.383092	5.868209	7.673266
43584	1.232784	6.012667	6.822449
43585	0.198483	6.066936	6.099146
43586	-0.673467	6.010538	5.581802
43587	-1.342663	5.881783	5.272413
43588	-1.835886	5.776714	5.059975
43589	-2.172348	5.793807	4.839387
43590	-2.332860	5.997765	4.590743
43591	-2.326681	6.219597	4.431528
43592	-2.171211	6.355600	4.352162
43593	-1.892210	6.390134	4.307877
43594	-1.514789	6.301444	4.258491
43595	-1.050534	6.110475	4.187832
43596	-0.479732	5.813188	4.109392
43597	0.204719	5.388452	4.016575
43598	1.020168	4.774180	3.914939
43599	1.973188	3.877868	3.801111
43600	3.133524	2.808639	3.714598
43601	4.613515	1.654980	3.716295
43602	6.401527	0.417917	3.768108
43603	8.326473	-0.781623	3.787624
43604	10.210371	-2.057784	3.576252
43605	11.855844	-3.479592	2.934852
43606	13.238078	-4.762250	1.965367
43607	14.457121	-5.580919	1.027071
43608	15.678020	-6.115735	0.150851
43609	17.001824	-6.581334	-0.667276
43610	18.389024	-6.992168	-1.432849
43611	19.720583	-7.100869	-2.274326
43612	21.035895	-6.755725	-3.378447
43613	22.407887	-6.027345	-4.796430
43614	23.809834	-5.088168	-6.409718
43615	25.179988	-4.125465	-8.021564
43616	26.478325	-3.295012	-9.484986
43617	27.689963	-2.573653	-10.720536
43618	28.798483	-1.881611	-11.701826
43619	29.768336	-1.200783	-12.397751
43620	30.590086	-0.571054	-12.801092
43621	31.264348	-0.046051	-12.942067
43622	31.778322	0.365515	-12.857196
43623	32.095025	0.670327	-12.539816
43624	32.169784	0.825425	-11.991971
43625	31.996774	0.780677	-11.283705
43626	31.607830	0.394836	-10.293011
43627	31.092196	-0.499834	-8.788602
43628	30.515272	-1.737670	-6.782819
43629	29.867270	-2.996371	-4.534060
43630	29.074633	-4.444195	-2.252636
43631	28.078353	-6.261925	0.196286
43632	26.759852	-7.959512	2.863232
43633	25.240857	-9.142033	5.539063
43634	23.766703	-9.929290	8.251894
43635	22.447319	-10.597773	10.803733
43636	21.444348	-10.620190	12.877084
