// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
62821	0.383354	-0.060898	-0.062980
62822	0.387094	-0.055394	-0.064498
62823	0.388343	-0.049953	-0.065125
62824	0.390109	-0.045005	-0.065302
62825	0.392532	-0.040226	-0.066416
62826	0.395364	-0.035898	-0.068887
62827	0.396494	-0.034159	-0.069676
62828	0.399876	-0.033037	-0.068215
62829	0.403127	-0.029551	-0.068483
62830	0.406373	-0.025870	-0.070531
62831	0.410799	-0.023045	-0.071285
62832	0.411658	-0.019272	-0.072416
62833	0.410789	-0.015573	-0.073566
62834	0.410849	-0.013021	-0.073842
62835	0.411154	-0.009984	-0.075478
62836	0.410535	-0.004945	-0.074739
62837	0.411335	-0.000086	-0.075845
62838	0.413368	0.003024	-0.077462
62839	0.413328	0.005428	-0.077767
62840	0.414480	0.004846	-0.078637
62841	0.415571	0.005355	-0.079481
62842	0.415536	0.001685	-0.078217
62843	0.417227	-0.002760	-0.080182
62844	0.417084	-0.006385	-0.080728
62845	0.419297	-0.011522	-0.080461
62846	0.420328	-0.015810	-0.081492
62847	0.422433	-0.020902	-0.083035
62848	0.425132	-0.024030	-0.084020
62849	0.427732	-0.027299	-0.085032
62850	0.431793	-0.028664	-0.084587
62851	0.433755	-0.028213	-0.084530
62852	0.438550	-0.027076	-0.086694
62853	0.441032	-0.027319	-0.084405
62854	0.442572	-0.026032	-0.086552
62855	0.444426	-0.025535	-0.088304
62856	0.444405	-0.025453	-0.088689
62857	0.444247	-0.026749	-0.089154
62858	0.444333	-0.026714	-0.087730
62859	0.444455	-0.026093	-0.091282
62860	0.445220	-0.028543	-0.090874
62861	0.446608	-0.032380	-0.091455
62862	0.446772	-0.036606	-0.093388
62863	0.449334	-0.041104	-0.094454
62864	0.449646	-0.044141	-0.094524
62865	0.449862	-0.047313	-0.094619
62866	0.450974	-0.049130	-0.095544
62867	0.452857	-0.051143	-0.095594
62868	0.456771	-0.053698	-0.097012
62869	0.457520	-0.053813	-0.096523
62870	0.458980	-0.054996	-0.098779
62871	0.461624	-0.057023	-0.099738
62872	0.465685	-0.058388	-0.099293
62873	0.469541	-0.059841	-0.100683
62874	0.471173	-0.062352	-0.099376
62875	0.472950	-0.064317	-0.101235
62876	0.472889	-0.065471	-0.101675
62877	0.474999	-0.070553	-0.103220
62878	0.475270	-0.074825	-0.103346
62879	0.475032	-0.078581	-0.103921
62880	0.475756	-0.082266	-0.103569
62881	0.475559	-0.084786	-0.104089
62882	0.476324	-0.087236	-0.103682
62883	0.476555	-0.086653	-0.105423
62884	0.475773	-0.086557	-0.104899
62885	0.476313	-0.086574	-0.108028
62886	0.477531	-0.088437	-0.107144
62887	0.476613	-0.089706	-0.106700
62888	0.476123	-0.093965	-0.105918
62889	0.474219	-0.098876	-0.106538
62890	0.473665	-0.101852	-0.107510
62891	0.473816	-0.103732	-0.109360
62892	0.472232	-0.104857	-0.107983
62893	0.473704	-0.106212	-0.108457
62894	0.474056	-0.108014	-0.108474
62895	0.478369	-0.108871	-0.109387
62896	0.483540	-0.109616	-0.111181
62897	0.486742	-0.111092	-0.109853
62898	0.489977	-0.111161	-0.110254
62899	0.491139	-0.111912	-0.109339
62900	0.492787	-0.110671	-0.109677
62901	0.495165	-0.110848	-0.109195
62902	0.497041	-0.112678	-0.111030
62903	0.498512	-0.114029	-0.111498
62904	0.499998	-0.117729	-0.112057
62905	0.500936	-0.122135	-0.113121
62906	0.502875	-0.125247	-0.113202
62907	0.503052	-0.129640	-0.113350
62908	0.505340	-0.132118	-0.114762
62909	0.504487	-0.134660	-0.112567
62910	0.505910	-0.137076	-0.114880
62911	0.506025	-0.140185	-0.116775
62912	0.507098	-0.143236	-0.117757
62913	0.508491	-0.147052	-0.118351
62914	0.511915	-0.151427	-0.120304
62915	0.512999	-0.154644	-0.119522
62916	0.515472	-0.154699	-0.119015
62917	0.520201	-0.156198	-0.119504
62918	0.522181	-0.158076	-0.119530
