// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
15342		-41.448149	17.542866	-3.540861
15343		-39.902760	17.516895	-2.653870
15344		-38.265181	17.289948	-1.892217
15345		-36.540022	16.850969	-1.332685
15346		-34.754707	16.200339	-0.942267
15347		-32.856857	15.399906	-0.632155
15348		-30.853878	14.488571	-0.361500
15349		-28.730624	13.509290	-0.072950
15350		-26.519449	12.525176	0.247928
15351		-24.244520	11.555511	0.569964
15352		-21.927436	10.611327	0.821396
15353		-19.619328	9.593682	1.028558
15354		-17.340031	8.510668	1.184409
15355		-15.047333	7.387745	1.239756
15356		-12.734385	6.218749	1.263028
15357		-10.381638	5.042118	1.312159
15358		-7.963723	3.957409	1.355751
15359		-5.507475	2.891506	1.415868
15360		-3.040805	1.841532	1.612266
15361		-0.570227	0.813385	1.965992
15362		1.789252	-0.276168	2.584824
15363		4.032419	-1.364360	3.443183
15364		6.190455	-2.385587	4.300333
15365		8.200154	-3.473812	4.943731
15366		10.035205	-4.574274	5.341161
15367		11.682170	-5.513419	5.541696
15368		13.091013	-6.247001	5.571611
15369		14.239823	-6.793000	5.459882
15370		15.128238	-7.071253	5.217648
15371		15.730853	-7.104451	4.849347
15372		16.030410	-7.000531	4.484235
15373		16.042395	-6.772961	4.267869
15374		15.765059	-6.459491	4.210625
15375		15.198067	-6.133911	4.307812
15376		14.390501	-5.718969	4.689314
15377		13.380220	-5.188715	5.495235
15378		12.393268	-4.434928	6.778625
15379		11.779082	-3.497976	8.275025
15380		11.763712	-2.484060	8.771604
15381		11.101834	-2.394845	8.606974
15382		9.543021	-3.284667	9.167785
15383		7.953160	-3.505132	10.704528
15384		6.600820	-2.724553	12.799436
15385		5.505701	-1.562993	14.548625
15386		4.624536	-0.813708	15.431628
15387		3.880471	-0.299763	16.007873
15388		3.371295	0.439304	16.475412
15389		3.042609	1.138213	16.026959
