// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
24599		0.190788	0.621401	8.828733
24600		0.194757	0.628246	8.826088
24601		0.196617	0.635212	8.823024
24602		0.198164	0.641362	8.821129
24603		0.197177	0.645570	8.818855
24604		0.199974	0.645901	8.818666
24605		0.202277	0.638459	8.814789
24606		0.205831	0.626792	8.811414
24607		0.205276	0.615026	8.810295
24608		0.202292	0.602596	8.810694
24609		0.199958	0.593079	8.812973
24610		0.198800	0.580955	8.816876
24611		0.203685	0.569119	8.817397
24612		0.211748	0.554877	8.816861
24613		0.221761	0.542135	8.819417
24614		0.235372	0.529052	8.820874
24615		0.248805	0.516323	8.822322
24616		0.258010	0.505471	8.823265
24617		0.265007	0.493493	8.823429
24618		0.271936	0.477141	8.824846
24619		0.279507	0.462419	8.824694
24620		0.285336	0.447093	8.824136
24621		0.292270	0.429130	8.826752
24622		0.297297	0.414097	8.825786
24623		0.304491	0.401724	8.825183
24624		0.309663	0.390761	8.826057
24625		0.313285	0.383178	8.826834
24626		0.317017	0.378435	8.826769
24627		0.318753	0.373442	8.828617
24628		0.323761	0.374882	8.828431
24629		0.332489	0.373993	8.829906
24630		0.338803	0.375584	8.828963
24631		0.345597	0.382044	8.828698
24632		0.349761	0.389803	8.828743
24633		0.352755	0.398598	8.829141
24634		0.353499	0.406341	8.830295
24635		0.351828	0.412076	8.827982
24636		0.350775	0.411922	8.826965
24637		0.348403	0.408727	8.824452
24638		0.349150	0.407607	8.823486
24639		0.350018	0.406092	8.824080
24640		0.352791	0.406451	8.823885
24641		0.355509	0.408378	8.824046
24642		0.358935	0.413247	8.824535
24643		0.359685	0.419381	8.826892
24644		0.358005	0.426432	8.828799
24645		0.352387	0.430134	8.830719
24646		0.347778	0.436044	8.834537
24647		0.341358	0.440036	8.836051
24648		0.337800	0.440808	8.836907
24649		0.336867	0.440266	8.837450
24650		0.337808	0.438759	8.835722
24651		0.336958	0.436600	8.835143
24652		0.338878	0.432845	8.835026
24653		0.343713	0.425761	8.832714
24654		0.346682	0.416869	8.829634
24655		0.349781	0.407571	8.828114
24656		0.351243	0.398918	8.826549
24657		0.351428	0.390046	8.824973
24658		0.354609	0.382038	8.824581
24659		0.353825	0.376691	8.824846
24660		0.353124	0.372634	8.826239
24661		0.352256	0.368904	8.827627
24662		0.349411	0.362141	8.827886
24663		0.347514	0.356249	8.828145
24664		0.345895	0.351260	8.828772
24665		0.344602	0.345467	8.830198
24666		0.345982	0.338434	8.829758
24667		0.345887	0.331569	8.830067
24668		0.349473	0.324055	8.831603
24669		0.350311	0.319697	8.830713
24670		0.353634	0.315762	8.832167
24671		0.356303	0.313275	8.832811
24672		0.357220	0.310212	8.833049
24673		0.358890	0.308407	8.834049
24674		0.360985	0.302701	8.835136
24675		0.361221	0.298244	8.833078
24676		0.362577	0.289644	8.834601
24677		0.367708	0.281824	8.833851
24678		0.370175	0.273769	8.835379
24679		0.372880	0.265250	8.835378
