// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
00554		-5.605577	13.540414	179.206032
00555		-5.567339	11.984930	179.155063
00556		-5.504107	10.599831	179.129229
00557		-5.388350	9.386312	179.131433
00558		-5.239012	8.424273	179.116260
00559		-5.162191	7.776682	179.116529
00560		-5.089712	7.146504	179.102644
00561		-4.986021	6.562761	179.068398
00562		-4.839455	6.069193	179.031649
00563		-4.684915	5.625219	178.990376
00564		-4.513675	5.203721	178.938126
00565		-4.324133	4.824330	178.876875
00566		-4.133226	4.499518	178.807987
00567		-3.964284	4.236154	178.712906
00568		-3.842544	4.015249	178.616321
00569		-3.759422	3.823790	178.532719
00570		-3.691247	3.656495	178.486223
00571		-3.653514	3.490640	178.453741
00572		-3.613598	3.347144	178.434790
00573		-3.560999	3.247621	178.417681
00574		-3.479334	3.160411	178.391214
00575		-3.350167	3.104100	178.357663
00576		-3.183048	3.073334	178.321743
00577		-2.999946	3.077167	178.288887
00578		-2.819231	3.096003	178.263429
00579		-2.653221	3.128979	178.250552
00580		-2.487193	3.144998	178.251741
00581		-2.337169	3.163200	178.259162
00582		-2.205322	3.163833	178.264012
00583		-2.088253	3.167584	178.262667
00584		-1.971476	3.144989	178.259640
00585		-1.850989	3.110528	178.254605
00586		-1.728165	3.050646	178.245991
00587		-1.607802	2.984993	178.237638
00588		-1.487923	2.894330	178.230504
00589		-1.377078	2.794319	178.222573
00590		-1.260524	2.678448	178.210868
00591		-1.140472	2.563474	178.197380
00592		-1.015473	2.437996	178.177784
00593		-0.886584	2.313496	178.147121
00594		-0.758501	2.175908	178.118485
00595		-0.629807	2.039894	178.086269
00596		-0.511668	1.886594	178.046733
00597		-0.404170	1.727247	177.990238
00598		-0.286796	1.538503	177.929130
00599		-0.180911	1.347803	177.862045
00600		-0.070586	1.126655	177.780100
00601		0.046811	0.870234	177.698994
00602		0.188584	0.524760	177.646286
00603		0.285705	0.105568	177.588268
00604		0.356393	-0.389903	177.549677
00605		0.396599	-0.970162	177.500811
00606		0.425037	-1.651128	177.463423
00607		0.428039	-2.421218	177.432253
00608		0.416237	-3.318343	177.403502
00609		0.346079	-4.323215	177.391529
00610		0.285967	-5.495839	177.379194
00611		0.211868	-6.785493	177.360674
00612		0.157197	-8.235603	177.353308
00613		0.102001	-9.852285	177.327165
00614		0.034679	-11.697802	177.301760
00615		0.032572	-13.802035	177.273666
00616		0.173803	-16.231781	177.170045
00617		0.511679	-19.045282	176.983399
00618		1.139021	-22.283359	176.644604
00619		2.173837	-25.909971	176.122264
00620		3.754199	-29.827624	175.370098
00621		6.072921	-33.973105	174.363881
00622		9.056948	-38.297805	173.121563
00623		12.354204	-42.570384	171.589045
00624		15.484252	-46.495719	169.771500
00625		18.475046	-49.858198	167.574936
00626		21.300129	-52.432358	164.976455
00627		23.292260	-54.158670	162.558563
00628		24.363546	-54.805774	160.233979
00629		24.849088	-54.408195	158.609935
00630		24.903026	-53.455283	157.800489
00631		24.808733	-52.421422	157.669691
00632		24.606767	-51.467038	157.958251
00633		24.315470	-50.649435	158.444362
00634		23.831113	-49.907398	159.068347
00635		23.121649	-49.162329	159.803997
00636		22.190198	-48.317325	160.682476
00637		21.108282	-47.353661	161.692884
00638		19.907183	-46.235168	162.844101
00639		18.628257	-44.957946	164.094157
00640		17.251164	-43.465938	165.413860
00641		15.814625	-41.770568	166.730145
00642		14.314249	-39.853971	168.025591
00643		12.800496	-37.747956	169.270306
00644		11.305098	-35.446017	170.461318
00645		9.890540	-32.997431	171.561039
00646		8.571284	-30.398098	172.555520
00647		7.361395	-27.701377	173.407627
00648		6.233576	-24.881949	174.097179
