// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
15342		17.727063	-6.606470	-6.777994
15343		18.938360	-6.738802	-6.319713
15344		20.113156	-6.847622	-5.927614
15345		21.236165	-6.954622	-5.538260
15346		22.305017	-7.075321	-5.130814
15347		23.343522	-7.229939	-4.691764
15348		24.349529	-7.429666	-4.224000
15349		25.309047	-7.642314	-3.721034
15350		26.217596	-7.836876	-3.192345
15351		27.068318	-8.024147	-2.666655
15352		27.849359	-8.207898	-2.170219
15353		28.555873	-8.385878	-1.732526
15354		29.213709	-8.565642	-1.383848
15355		29.825924	-8.733050	-1.170703
15356		30.388112	-8.812445	-1.146463
15357		30.906158	-8.735917	-1.340896
15358		31.370923	-8.534227	-1.736143
15359		31.770190	-8.212200	-2.313524
15360		32.094161	-7.773536	-3.030975
15361		32.327659	-7.247726	-3.844616
15362		32.477187	-6.623142	-4.709909
15363		32.534076	-5.918493	-5.568113
15364		32.496647	-5.156156	-6.358322
15365		32.392051	-4.378059	-6.969012
15366		32.253649	-3.702886	-7.256174
15367		32.116815	-3.209781	-7.173280
15368		32.021537	-2.901173	-6.830559
15369		32.007909	-2.670658	-6.321160
15370		32.095608	-2.378861	-5.714092
15371		32.243499	-2.064746	-5.123265
15372		32.459033	-1.762339	-4.674002
15373		32.685011	-1.486295	-4.396948
15374		32.841378	-1.210518	-4.262692
15375		32.870995	-0.902707	-4.265322
15376		32.749938	-0.591414	-4.336613
15377		32.453507	-0.481963	-4.449971
15378		31.946200	-0.662182	-4.444662
15379		31.245311	-0.902654	-4.199639
15380		30.494049	-1.079818	-3.923462
15381		30.064265	-1.261248	-3.659986
15382		30.079640	-1.705139	-3.307282
15383		30.444855	-2.404985	-2.894729
15384		30.937752	-2.996880	-2.479033
15385		31.215828	-3.193079	-2.298123
15386		30.904616	-3.000071	-2.567338
15387		30.005584	-2.319887	-3.441952
15388		28.851968	-1.451282	-4.730532
15389		27.691040	-0.829518	-5.848077
15390		26.634808	-0.503732	-6.736490
15391		25.695008	-0.419763	-7.482154
15392		24.848544	-0.413898	-8.000031
15393		24.082348	-0.334613	-8.083786
15394		23.316262	-0.233860	-7.744571
15395		22.565113	-0.170744	-7.162281
15396		21.855345	-0.196866	-6.524736
15397		21.200085	-0.222461	-5.943555
15398		20.543697	-0.289483	-5.420623
15399		19.826873	-0.414802	-4.966984
15400		19.052783	-0.532045	-4.602165
15401		18.241502	-0.616667	-4.335653
15402		17.426076	-0.655851	-4.154813
15403		16.567223	-0.647372	-4.016189
15404		15.701901	-0.629330	-3.859194
15405		14.833253	-0.599154	-3.700613
15406		13.972949	-0.570819	-3.565510
15407		13.105682	-0.524956	-3.464979
15408		12.219240	-0.470009	-3.395444
15409		11.279307	-0.443102	-3.363028
15410		10.296332	-0.438910	-3.336223
15411		9.302268	-0.440070	-3.268632
15412		8.330522	-0.451132	-3.136997
15413		7.396292	-0.473124	-2.944065
15414		6.486712	-0.500077	-2.690256
15415		5.584264	-0.542532	-2.371286
15416		4.676702	-0.586861	-2.004588
15417		3.770338	-0.630078	-1.552195
15418		2.900218	-0.654316	-0.992672
15419		2.058423	-0.642791	-0.349184
15420		1.229959	-0.597393	0.344014
15421		0.422173	-0.510139	1.040081
15422		-0.379233	-0.384556	1.726517
15423		-1.181793	-0.239583	2.385607
15424		-1.985015	-0.082092	3.015181
15425		-2.791706	0.089926	3.599168
15426		-3.595497	0.268212	4.103599
15427		-4.382135	0.447812	4.520848
15428		-5.111623	0.633464	4.894874
15429		-5.760935	0.821069	5.239705
15430		-6.327357	1.026118	5.539414
15431		-6.841519	1.233615	5.818438
15432		-7.308404	1.456963	6.054607
15433		-7.722575	1.676937	6.197301
15434		-8.089473	1.831000	6.298655
15435		-8.428960	1.981661	6.362537
15436		-8.777167	2.112983	6.384522
15437		-9.133923	2.237807	6.366820
15438		-9.494631	2.308680	6.326736
15439		-9.848508	2.366204	6.272660
15440		-10.188686	2.365381	6.195193
15441		-10.514141	2.288413	6.053967
15442		-10.807137	2.136229	5.830421
15443		-11.038318	1.910913	5.537879
15444		-11.187254	1.653303	5.203442
15445		-11.220527	1.335525	4.830488
15446		-11.118670	0.945935	4.433159
15447		-10.853299	0.531732	4.114241
15448		-10.416244	0.134562	3.887998
15449		-9.808193	-0.268635	3.671099
15450		-9.051744	-0.697119	3.374574
15451		-8.143937	-1.134349	2.980014
15452		-7.058372	-1.534089	2.589631
15453		-5.809554	-2.016118	2.203083
15454		-4.423998	-2.632583	1.827853
15455		-2.843437	-3.223556	1.481159
15456		-1.143114	-3.729125	1.228731
15457		0.574936	-4.115142	1.044148
15458		2.162027	-4.369881	0.829471
15459		3.577712	-4.563545	0.525688
