// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
24599		0.856607	-0.485899	-2.098096
24600		0.867546	-0.472490	-2.024935
24601		0.889723	-0.466203	-1.953466
24602		0.915198	-0.468452	-1.903871
24603		0.939649	-0.481656	-1.870450
24604		0.965416	-0.493963	-1.844688
24605		0.988913	-0.509995	-1.828106
24606		1.010088	-0.506620	-1.814040
24607		1.026142	-0.504504	-1.813483
24608		1.028761	-0.506867	-1.847204
24609		1.018289	-0.519347	-1.904764
24610		0.998423	-0.531805	-1.981303
24611		0.970815	-0.542774	-2.066054
24612		0.942505	-0.543957	-2.150827
24613		0.915284	-0.553236	-2.228916
24614		0.887852	-0.568921	-2.302819
24615		0.859740	-0.597130	-2.358037
24616		0.829236	-0.606584	-2.382865
24617		0.800054	-0.612967	-2.367001
24618		0.776557	-0.611052	-2.314493
24619		0.758076	-0.605083	-2.226954
24620		0.739551	-0.595880	-2.101325
24621		0.718131	-0.596275	-1.956291
24622		0.686559	-0.599842	-1.803034
24623		0.652982	-0.587640	-1.662544
24624		0.627599	-0.571731	-1.546023
24625		0.605263	-0.555799	-1.470575
24626		0.589742	-0.554280	-1.426014
24627		0.575715	-0.556716	-1.406965
24628		0.564480	-0.568083	-1.414836
24629		0.553148	-0.600358	-1.442930
24630		0.542640	-0.630917	-1.476077
24631		0.530085	-0.650481	-1.493865
24632		0.515093	-0.669937	-1.485790
24633		0.500883	-0.694433	-1.439968
24634		0.485802	-0.707440	-1.373849
24635		0.479522	-0.722575	-1.277218
24636		0.470753	-0.740532	-1.150324
24637		0.450883	-0.755075	-1.025855
24638		0.422382	-0.753269	-0.915509
24639		0.393157	-0.747934	-0.817068
24640		0.360250	-0.743108	-0.739332
24641		0.331735	-0.758361	-0.695584
24642		0.303107	-0.779991	-0.684575
24643		0.272204	-0.800967	-0.690093
24644		0.241577	-0.830526	-0.698604
24645		0.207219	-0.859463	-0.700307
24646		0.172643	-0.876653	-0.701472
24647		0.140877	-0.883236	-0.683961
24648		0.117359	-0.885412	-0.657483
24649		0.097426	-0.887406	-0.626018
24650		0.078711	-0.894097	-0.597907
24651		0.061851	-0.905356	-0.574582
24652		0.046079	-0.913049	-0.548142
24653		0.027484	-0.919160	-0.507810
24654		0.007107	-0.919280	-0.465664
24655		-0.010207	-0.933704	-0.416665
24656		-0.032268	-0.937009	-0.360946
24657		-0.058700	-0.941952	-0.310151
24658		-0.088646	-0.942846	-0.267183
24659		-0.127708	-0.942195	-0.233874
24660		-0.167405	-0.939930	-0.207098
24661		-0.205650	-0.953741	-0.196743
24662		-0.245872	-0.960512	-0.195648
24663		-0.282122	-0.973593	-0.187851
24664		-0.319630	-0.988513	-0.178107
24665		-0.352899	-0.994247	-0.171598
24666		-0.385020	-1.003363	-0.163811
24667		-0.412015	-1.009255	-0.157035
24668		-0.437617	-1.005820	-0.159051
24669		-0.460944	-1.006448	-0.166848
24670		-0.482568	-1.012624	-0.179046
24671		-0.505824	-1.013232	-0.189878
24672		-0.530312	-1.008689	-0.198465
24673		-0.551672	-1.014184	-0.209075
24674		-0.572681	-1.014244	-0.225075
24675		-0.598188	-1.013247	-0.242838
24676		-0.626455	-1.018497	-0.255751
24677		-0.657415	-1.019260	-0.263772
24678		-0.693527	-1.015014	-0.262833
24679		-0.727159	-1.011668	-0.253385
24680		-0.760161	-1.010879	-0.238553
24681		-0.790611	-1.026240	-0.223435
24682		-0.826408	-1.036925	-0.215038
24683		-0.865497	-1.037002	-0.219180
24684		-0.905117	-1.032706	-0.231259
24685		-0.934933	-1.035226	-0.245965
24686		-0.961695	-1.043210	-0.257515
24687		-0.987882	-1.048619	-0.260852
24688		-1.012908	-1.049053	-0.259517
24689		-1.036460	-1.051458	-0.247653
24690		-1.061865	-1.049332	-0.223445
24691		-1.088945	-1.033290	-0.193015
24692		-1.115991	-1.014811	-0.148385
24693		-1.138972	-1.001135	-0.103048
24694		-1.162025	-0.983940	-0.065211
24695		-1.182329	-0.978615	-0.039027
24696		-1.207520	-0.977798	-0.022493
24697		-1.229155	-0.982308	-0.007273
24698		-1.250571	-0.984263	0.011540
24699		-1.268045	-0.979979	0.040595
24700		-1.292920	-0.973234	0.074534
24701		-1.319397	-0.960880	0.106771
24702		-1.351744	-0.938907	0.144085
24703		-1.380165	-0.917655	0.189864
24704		-1.409135	-0.893434	0.232167
24705		-1.440116	-0.869616	0.262909
24706		-1.469430	-0.854154	0.292231
24707		-1.499966	-0.839532	0.320078
24708		-1.527289	-0.824704	0.345242
24709		-1.549709	-0.810858	0.372255
24710		-1.571256	-0.792504	0.398842
24711		-1.592675	-0.772108	0.434625
24712		-1.610992	-0.753038	0.478296
24713		-1.625829	-0.733794	0.528463
24714		-1.636076	-0.715626	0.580398
24715		-1.646552	-0.695851	0.631928
24716		-1.654778	-0.679657	0.673602
24717		-1.666613	-0.668176	0.702120
24718		-1.677708	-0.665955	0.716085
24719		-1.691389	-0.659070	0.721244
24720		-1.705164	-0.652863	0.720278
24721		-1.716945	-0.646583	0.719782
24722		-1.726519	-0.642678	0.724651
24723		-1.739872	-0.642247	0.731575
24724		-1.752893	-0.644862	0.740372
