// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
33906		-1.192609	3.374299	2.428447
33907		-1.660400	3.753502	2.529921
33908		-2.109094	4.101196	2.577108
33909		-2.572885	4.397442	2.518159
33910		-3.052102	4.653157	2.338145
33911		-3.549614	4.878484	2.002441
33912		-4.028204	5.067013	1.523890
33913		-4.455385	5.191379	1.013435
33914		-4.824792	5.297003	0.561892
33915		-5.173247	5.377857	0.212793
33916		-5.532962	5.415832	-0.049427
33917		-5.883604	5.394318	-0.244276
33918		-6.172509	5.276998	-0.378845
33919		-6.377324	5.022648	-0.426814
33920		-6.484675	4.606730	-0.345668
33921		-6.467336	4.038295	-0.176341
33922		-6.307345	3.281748	0.073174
33923		-5.980808	2.337372	0.425203
33924		-5.486858	1.207077	0.884808
33925		-4.815796	-0.081948	1.377171
33926		-3.985200	-1.452433	1.814037
33927		-2.979359	-2.808436	2.241694
33928		-1.747959	-4.029245	2.731648
33929		-0.313482	-5.029279	3.323927
33930		1.191042	-5.829223	4.105086
33931		2.588083	-6.628334	5.065644
33932		3.749370	-7.528407	6.193820
33933		4.676478	-8.691226	7.342845
33934		5.438522	-10.024904	8.361997
33935		6.152045	-11.276636	9.248778
33936		6.878364	-12.412508	10.022104
33937		7.662781	-13.535778	10.738117
33938		8.535640	-14.684266	11.414843
33939		9.450219	-15.910120	12.107677
33940		10.382118	-17.137183	12.764672
33941		11.362628	-18.280656	13.370033
33942		12.378862	-19.329976	13.926831
33943		13.372232	-20.331574	14.411297
33944		14.307869	-21.262472	14.730605
33945		15.194322	-22.045008	14.746685
33946		16.068330	-22.520453	14.385214
33947		17.000462	-22.643271	13.567721
33948		18.056125	-22.362494	12.224402
33949		19.139839	-21.696418	10.578815
33950		20.107696	-20.730219	8.974434
33951		20.810424	-19.535228	7.752221
33952		21.061911	-18.385072	7.181747
33953		20.825864	-17.471601	7.336470
33954		20.181918	-16.911741	8.226111
33955		19.192603	-16.781716	9.749033
33956		17.951413	-16.951566	11.307345
33957		16.620621	-17.347658	12.481183
33958		15.697376	-17.699239	13.096175
33959		15.622302	-17.526514	13.065661
33960		16.328627	-16.878644	12.223395
33961		17.290797	-16.133898	10.573131
33962		17.880116	-15.595656	8.674099
33963		17.911872	-15.385171	7.036184
33964		17.515738	-15.095087	6.643504
33965		16.524480	-14.683614	8.206994
33966		15.302556	-15.228067	10.008132
33967		15.532051	-15.218888	10.116703
33968		16.368865	-14.924595	8.889358
33969		16.846146	-14.813652	7.782045
33970		16.942205	-14.863263	7.298360
33971		16.948497	-14.723042	7.463911
33972		16.617088	-14.241249	7.726886
33973		15.895376	-13.711034	7.713457
33974		14.963003	-13.028271	7.354255
33975		13.958868	-12.211637	7.021114
33976		13.091809	-11.253528	7.194680
33977		12.200366	-10.260061	7.618510
33978		11.065641	-9.670601	7.646898
33979		10.338128	-8.800255	7.558776
33980		9.896742	-7.730618	7.396017
33981		9.479095	-6.756938	7.112127
33982		8.928416	-5.917273	6.796791
33983		8.135806	-5.160290	6.581720
33984		7.203670	-4.319039	6.423955
33985		6.238940	-3.438773	6.280451
33986		5.308379	-2.636037	6.070699
33987		4.435862	-1.898895	5.756040
33988		3.638334	-1.230145	5.449065
33989		2.951824	-0.541180	5.234227
33990		2.346256	0.160223	5.111457
33991		1.758982	0.828857	5.082494
33992		1.150866	1.410170	5.137639
33993		0.489648	1.923553	5.249777
33994		-0.202110	2.357714	5.331707
33995		-0.862822	2.724854	5.334078
33996		-1.456673	3.040017	5.291163
33997		-1.983031	3.361711	5.233010
33998		-2.467714	3.715571	5.158275
33999		-2.956425	4.097273	5.029317
34000		-3.480046	4.486410	4.796972
34001		-4.023713	4.901376	4.458421
34002		-4.571891	5.279491	4.040465
34003		-5.084128	5.540879	3.627558
34004		-5.508751	5.718771	3.291600
34005		-5.839612	5.862591	3.021247
34006		-6.113174	5.942796	2.725941
34007		-6.364674	5.912200	2.385550
34008		-6.558942	5.731448	2.095843
34009		-6.654919	5.366218	1.915408
34010		-6.656121	4.796817	1.895819
34011		-6.529400	4.036998	1.991288
34012		-6.246879	3.033064	2.216109
34013		-5.767677	1.840214	2.551469
34014		-5.116150	0.457233	2.903581
34015		-4.309140	-1.056151	3.186749
34016		-3.325616	-2.512937	3.447647
34017		-2.086267	-3.793831	3.794604
34018		-0.629084	-4.903108	4.315219
34019		0.819930	-5.950931	5.032685
34020		2.093092	-6.904492	5.976200
34021		3.148629	-7.931816	7.031748
34022		4.017053	-9.091689	8.014002
34023		4.781315	-10.272303	8.831461
34024		5.461964	-11.421298	9.572611
34025		6.130097	-12.549670	10.321776
34026		6.813436	-13.683869	11.129881
34027		7.563576	-14.858331	11.909768
34028		8.409065	-16.073641	12.570558
34029		9.339116	-17.280282	13.088676
34030		10.332766	-18.398314	13.506970
34031		11.378948	-19.395408	13.855787
34032		12.419600	-20.288751	14.132874
34033		13.408429	-21.093358	14.335789
34034		14.324250	-21.744351	14.320575
34035		15.165758	-22.227141	14.066577
34036		15.969681	-22.477195	13.512599
34037		16.793867	-22.445659	12.643936
34038		17.710962	-22.084482	11.381361
34039		18.676725	-21.363933	9.904216
34040		19.565108	-20.359553	8.529469
34041		20.277019	-19.144830	7.424666
34042		20.639474	-17.961892	6.839206
34043		20.550757	-17.078413	6.866938
34044		20.016486	-16.683180	7.494106
34045		19.151289	-16.696692	8.708211
34046		18.089703	-16.856585	10.183219
34047		16.938111	-17.162831	11.466867
34048		16.167172	-17.378684	12.222134
34049		15.997706	-17.181724	12.328848
34050		16.381670	-16.751302	11.636016
34051		17.068897	-16.116510	10.409179
34052		17.691266	-15.320397	9.123668
34053		17.984519	-14.756135	7.878156
34054		17.878569	-14.685649	6.885763
34055		17.479834	-14.671649	6.863092
34056		16.580589	-14.670451	8.360316
34057		15.356700	-15.536765	10.059608
34058		15.385854	-15.979188	10.262288
34059		16.275152	-15.889556	9.004082
34060		16.902269	-15.724759	7.443825
34061		17.068814	-15.519233	6.529357
34062		16.962291	-14.990642	6.239304
34063		16.453499	-14.403007	5.824652
34064		15.711478	-13.759746	5.166985
34065		14.705864	-12.935665	4.343869
34066		13.581585	-12.048178	3.870636
34067		12.622200	-10.908818	4.001166
34068		11.257841	-10.407711	4.070816
34069		10.202022	-9.846704	4.096404
34070		9.614342	-8.865796	4.118157
34071		9.127259	-7.797215	3.951049
34072		8.602909	-6.803182	3.705062
34073		7.932298	-5.922139	3.519130
34074		7.082959	-5.052828	3.410786
34075		6.102306	-4.053451	3.382403
34076		5.081002	-3.000960	3.356665
34077		4.087746	-2.020705	3.296478
34078		3.101925	-1.233473	3.229928
34079		2.176617	-0.520190	3.159625
34080		1.395581	0.203114	3.193337
34081		0.732661	0.884470	3.342541
34082		0.129272	1.481597	3.558282
34083		-0.485618	2.013626	3.824264
34084		-1.114197	2.491416	4.096413
34085		-1.717545	2.950192	4.280797
34086		-2.264189	3.362144	4.373113
34087		-2.755063	3.742306	4.401005
34088		-3.201110	4.161758	4.394145
34089		-3.629529	4.618044	4.371435
34090		-4.084776	5.062326	4.289434
34091		-4.583368	5.479977	4.103010
34092		-5.096566	5.826088	3.813910
34093		-5.586076	6.058752	3.463583
34094		-6.001059	6.191081	3.094106
34095		-6.318519	6.264767	2.769103
34096		-6.566017	6.255857	2.503412
34097		-6.784786	6.147423	2.247474
34098		-6.977399	5.958280	1.990656
34099		-7.091913	5.693161	1.807424
34100		-7.107189	5.271451	1.770091
34101		-7.011189	4.690622	1.866457
34102		-6.801748	3.887317	2.045384
34103		-6.439588	2.831013	2.299789
34104		-5.899719	1.562962	2.641935
34105		-5.181199	0.159653	2.935823
34106		-4.288250	-1.270333	3.098997
34107		-3.180902	-2.579685	3.219025
34108		-1.805197	-3.656147	3.349484
34109		-0.213103	-4.412066	3.662235
34110		1.304750	-4.880947	4.382698
34111		2.474201	-5.601223	5.384487
34112		3.417095	-6.721304	6.399078
34113		4.304986	-7.867784	7.259939
34114		5.089701	-8.973914	7.991137
34115		5.782653	-10.115394	8.618928
34116		6.494376	-11.217990	9.209681
34117		7.288748	-12.294576	9.830879
34118		8.144484	-13.447826	10.469565
34119		9.021948	-14.693464	11.083306
34120		9.913065	-15.924378	11.639066
34121		10.822818	-17.054658	12.084881
34122		11.746196	-18.030031	12.385526
34123		12.617664	-18.836015	12.548898
34124		13.416379	-19.476875	12.604907
34125		14.115415	-19.976038	12.534932
34126		14.746184	-20.379781	12.341676
34127		15.413749	-20.665398	11.959815
34128		16.197750	-20.741936	11.273257
34129		17.026156	-20.606601	10.349943
34130		17.848108	-20.173070	9.153520
34131		18.655413	-19.319297	7.863817
34132		19.291714	-18.094002	6.763616
34133		19.550044	-16.886481	6.036498
34134		19.307974	-16.065927	5.783388
34135		18.608255	-15.693014	6.099807
34136		17.541031	-15.655196	6.950949
34137		16.265632	-15.781164	8.045497
34138		15.152109	-16.005062	8.840513
34139		14.621697	-16.162313	8.916435
34140		14.863233	-16.040071	8.226599
34141		15.590783	-15.690424	7.081949
34142		16.326049	-15.178369	6.141284
34143		16.846509	-14.682044	5.628993
34144		17.073211	-14.473484	5.348694
34145		17.110914	-14.560079	5.120589
34146		17.068066	-14.509770	5.118500
34147		16.831713	-13.799661	5.808418
34148		16.017839	-13.989492	6.399991
34149		15.608565	-14.300349	6.086190
34150		16.090032	-13.968407	5.225764
34151		16.431355	-13.647255	4.488887
34152		16.424333	-13.495938	3.987361
34153		16.211999	-13.330899	3.865648
34154		15.757059	-13.025718	4.046416
34155		14.998589	-12.530608	4.262255
34156		13.925594	-11.875401	4.303908
34157		12.806445	-11.166349	4.222438
34158		11.926038	-10.298158	4.245062
34159		11.135371	-9.371962	4.402070
34160		10.305261	-8.549449	4.451017
34161		9.620413	-7.594188	4.243024
34162		9.035334	-6.585383	3.853721
34163		8.433709	-5.608521	3.405951
34164		7.760774	-4.729754	3.179061
34165		6.921838	-3.983137	3.200555
34166		5.962916	-3.288865	3.443710
34167		4.984152	-2.587436	3.830237
34168		4.079978	-1.888967	4.146290
34169		3.294077	-1.228860	4.366295
34170		2.612983	-0.648814	4.555853
34171		2.014941	-0.059449	4.726797
34172		1.445611	0.531117	4.856639
34173		0.864642	1.091384	4.947387
34174		0.255828	1.608901	5.010161
34175		-0.393249	2.086368	5.028566
34176		-1.039859	2.519518	4.980985
34177		-1.654249	2.927197	4.881038
34178		-2.231831	3.324543	4.782260
34179		-2.777830	3.757255	4.713545
34180		-3.302005	4.220182	4.628959
34181		-3.817278	4.694843	4.469773
34182		-4.307501	5.142208	4.246420
34183		-4.758285	5.493135	4.001725
34184		-5.146140	5.755521	3.742962
34185		-5.475601	5.944212	3.453313
34186		-5.755960	6.052620	3.145901
34187		-5.973154	6.080112	2.841250
34188		-6.117805	6.018677	2.572164
34189		-6.207328	5.857877	2.365474
34190		-6.247783	5.559349	2.219348
34191		-6.230319	5.122567	2.158548
34192		-6.118415	4.501000	2.157028
34193		-5.881704	3.635717	2.231058
34194		-5.497669	2.542049	2.397534
