// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
65369		-1.253878	0.820953	2.912273
65370		-1.243942	0.816904	2.912179
65371		-1.233942	0.814108	2.911929
65372		-1.227122	0.810915	2.910232
65373		-1.219594	0.807061	2.907309
65374		-1.214941	0.802189	2.906846
65375		-1.209606	0.801446	2.904288
65376		-1.203947	0.800031	2.903532
65377		-1.197305	0.796753	2.902099
65378		-1.186983	0.794956	2.901834
65379		-1.175886	0.794255	2.900306
65380		-1.162457	0.795048	2.900521
65381		-1.148510	0.795679	2.898243
65382		-1.136714	0.795254	2.897755
65383		-1.122885	0.794325	2.891927
65384		-1.111642	0.795245	2.889559
65385		-1.101591	0.794658	2.889856
65386		-1.089796	0.794236	2.889365
65387		-1.074741	0.797016	2.888125
65388		-1.059765	0.798292	2.887227
65389		-1.043168	0.798055	2.880841
65390		-1.022526	0.802415	2.880147
65391		-1.002672	0.803052	2.876261
65392		-0.982258	0.805014	2.876648
65393		-0.963496	0.805944	2.874920
65394		-0.943009	0.807017	2.874416
65395		-0.918176	0.810095	2.876753
65396		-0.891951	0.813367	2.875567
65397		-0.862167	0.819109	2.873622
65398		-0.833778	0.824080	2.871202
65399		-0.806295	0.827194	2.873782
65400		-0.783262	0.832231	2.871887
65401		-0.766447	0.832947	2.875511
65402		-0.752173	0.833935	2.875619
65403		-0.742938	0.832686	2.872645
65404		-0.736268	0.831299	2.872695
65405		-0.729860	0.832483	2.871998
65406		-0.725683	0.833159	2.870327
65407		-0.718635	0.830903	2.876301
65408		-0.711429	0.835068	2.876011
65409		-0.702385	0.836931	2.871775
65410		-0.693624	0.838129	2.871484
65411		-0.684260	0.841450	2.872479
65412		-0.675808	0.844584	2.873049
65413		-0.667206	0.848756	2.875466
65414		-0.658520	0.850847	2.876066
65415		-0.653810	0.856908	2.871126
65416		-0.647213	0.861495	2.873664
65417		-0.645197	0.866694	2.873267
65418		-0.644430	0.871794	2.873563
65419		-0.644231	0.875836	2.878404
65420		-0.646483	0.879077	2.880020
65421		-0.650262	0.882558	2.882527
65422		-0.655542	0.882311	2.882759
65423		-0.659260	0.885320	2.880274
65424		-0.661823	0.885416	2.881151
65425		-0.665087	0.887880	2.884895
65426		-0.665250	0.888625	2.884575
65427		-0.665105	0.888074	2.885008
65428		-0.663477	0.889888	2.886317
65429		-0.660669	0.891353	2.889919
65430		-0.658198	0.891704	2.888432
65431		-0.655423	0.892518	2.891050
65432		-0.652867	0.893606	2.891376
65433		-0.649776	0.892593	2.894209
65434		-0.647998	0.892625	2.893736
65435		-0.645241	0.893270	2.890001
65436		-0.643464	0.893302	2.889527
65437		-0.641414	0.892376	2.889552
65438		-0.642037	0.891759	2.890274
65439		-0.638554	0.892107	2.888474
65440		-0.638023	0.893173	2.887139
65441		-0.638017	0.893163	2.888309
65442		-0.639033	0.893744	2.888079
65443		-0.638464	0.894793	2.889764
65444		-0.639873	0.896574	2.888582
65445		-0.641310	0.897503	2.890617
65446		-0.641933	0.896886	2.891339
65447		-0.643752	0.896412	2.893456
65448		-0.646174	0.898183	2.891443
65449		-0.648104	0.899710	2.892492
65450		-0.649739	0.899082	2.892384
65451		-0.649797	0.899463	2.892056
65452		-0.649801	0.900057	2.892656
65453		-0.649795	0.900570	2.891956
65454		-0.647642	0.901230	2.888626
65455		-0.647528	0.901072	2.889242
65456		-0.642020	0.901458	2.890246
65457		-0.638903	0.901558	2.891831
65458		-0.634407	0.901933	2.892005
65459		-0.632974	0.902999	2.895461
65460		-0.630578	0.904243	2.894865
65461		-0.630784	0.906263	2.898483
65462		-0.634359	0.906351	2.898524
65463		-0.635689	0.904002	2.900410
65464		-0.637332	0.906832	2.899195
65465		-0.640591	0.904457	2.894014
65466		-0.643473	0.904865	2.893042
65467		-0.646211	0.905154	2.892291
65468		-0.647921	0.905419	2.893071
65469		-0.648250	0.904594	2.892861
65470		-0.649977	0.906687	2.889832
65471		-0.650588	0.906713	2.891607
65472		-0.651763	0.907452	2.890453
65473		-0.654302	0.907366	2.885748
65474		-0.657100	0.908512	2.886587
65475		-0.658580	0.908738	2.887056
65476		-0.661997	0.908673	2.888016
65477		-0.665375	0.907854	2.888559
65478		-0.666149	0.909022	2.891059
65479		-0.666235	0.908948	2.892409
65480		-0.668799	0.909050	2.893277
65481		-0.669852	0.907696	2.893909
65482		-0.671487	0.907071	2.893796
65483		-0.672194	0.906700	2.893468
65484		-0.673829	0.906075	2.893355
65485		-0.674766	0.906184	2.893797
65486		-0.676167	0.904513	2.893714
65487		-0.677749	0.903600	2.891272
65488		-0.677209	0.901213	2.891039
65489		-0.679007	0.899963	2.893828
65490		-0.679939	0.896200	2.893807
65491		-0.679541	0.894695	2.892506
65492		-0.680170	0.892452	2.890520
65493		-0.682484	0.889852	2.891058
65494		-0.683885	0.888182	2.890975
65495		-0.687429	0.887571	2.893690
65496		-0.690771	0.886618	2.893757
65497		-0.695974	0.882876	2.893738
65498		-0.700170	0.881758	2.893896
65499		-0.705832	0.879287	2.893332
65500		-0.710804	0.877114	2.892689
65501		-0.717384	0.875401	2.892889
65502		-0.727319	0.872088	2.893709
65503		-0.736583	0.869068	2.892256
65504		-0.746753	0.866803	2.893045
65505		-0.758649	0.863627	2.894468
65506		-0.772784	0.862061	2.893743
65507		-0.789185	0.859003	2.895769
65508		-0.807893	0.855104	2.897461
65509		-0.825825	0.850561	2.895856
65510		-0.847408	0.848116	2.898675
65511		-0.868503	0.846088	2.896735
65512		-0.887531	0.842507	2.896582
65513		-0.905541	0.842399	2.896520
65514		-0.920688	0.842472	2.897661
65515		-0.933312	0.842374	2.899848
65516		-0.945044	0.843103	2.900628
65517		-0.953176	0.844737	2.900184
65518		-0.958147	0.844208	2.902244
65519		-0.961125	0.843106	2.905022
65520		-0.962446	0.842183	2.906755
65521		-0.967408	0.841465	2.906736
65522		-0.969817	0.841426	2.908525
65523		-0.973093	0.841046	2.909341
65524		-0.974572	0.840275	2.910152
65525		-0.973363	0.839634	2.907513
65526		-0.973672	0.838721	2.910077
65527		-0.973701	0.840419	2.913072
65528		-0.975336	0.839802	2.912959
65529		-0.977076	0.840172	2.914667
65530		-0.979800	0.840439	2.914610
65531		-0.982851	0.841748	2.915343
65532		-0.987674	0.842890	2.914510
65533		-0.992980	0.843615	2.915526
65534		-0.998734	0.845489	2.915671
65535		-1.005176	0.847127	2.917061
00000		-1.011942	0.848993	2.916371
00001		-1.018113	0.849173	2.914128
00002		-1.023711	0.850897	2.915193
00003		-1.029167	0.852389	2.912383
00004		-1.035853	0.854999	2.913502
00005		-1.042774	0.855004	2.916975
00006		-1.050387	0.854893	2.920183
00007		-1.059194	0.855049	2.919702
00008		-1.070624	0.857310	2.918498
00009		-1.082016	0.857281	2.919656
00010		-1.090101	0.857630	2.920096
00011		-1.098395	0.858377	2.919089
00012		-1.107568	0.859613	2.919582
00013		-1.116072	0.862189	2.920199
00014		-1.126806	0.864768	2.917977
00015		-1.139524	0.866334	2.918443
00016		-1.150796	0.870090	2.920849
00017		-1.162358	0.870982	2.921952
00018		-1.175420	0.873675	2.922724
00019		-1.189075	0.875856	2.922244
00020		-1.203847	0.878230	2.923190
00021		-1.220840	0.880833	2.924153
00022		-1.238249	0.880172	2.927367
00023		-1.252648	0.883503	2.929271
00024		-1.266878	0.887993	2.930971
00025		-1.276597	0.890065	2.933129
00026		-1.285617	0.891167	2.934532
00027		-1.297787	0.890686	2.933640
00028		-1.315124	0.887497	2.933265
00029		-1.336560	0.880106	2.930958
00030		-1.361123	0.868289	2.929879
00031		-1.382545	0.861500	2.922342
00032		-1.396770	0.852351	2.922016
00033		-1.401877	0.843402	2.919281
00034		-1.392775	0.835705	2.920430
00035		-1.369463	0.830603	2.920480
00036		-1.337271	0.825410	2.923054
00037		-1.300428	0.819865	2.921205
00038		-1.265601	0.817719	2.921495
00039		-1.232599	0.816463	2.916575
00040		-1.203300	0.816380	2.912614
00041		-1.180017	0.813888	2.909913
00042		-1.161987	0.811878	2.906176
00043		-1.149358	0.808766	2.905532
00044		-1.138479	0.807416	2.903353
00045		-1.126999	0.803013	2.898407
00046		-1.110524	0.802175	2.898462
00047		-1.096278	0.802902	2.898627
00048		-1.080506	0.805210	2.898578
00049		-1.062204	0.808585	2.898998
00050		-1.046748	0.813023	2.893293
00051		-1.026625	0.817915	2.888301
00052		-1.003478	0.821995	2.885610
00053		-0.982798	0.824166	2.884261
00054		-0.966015	0.819768	2.880754
00055		-0.952255	0.815523	2.874984
00056		-0.938347	0.812584	2.872595
00057		-0.921018	0.809278	2.871127
00058		-0.906570	0.808446	2.869505
00059		-0.892970	0.810906	2.869574
00060		-0.875032	0.814928	2.868300
00061		-0.859467	0.820266	2.865998
