// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
29156		1.361205	-4.608119	112.398125
29157		1.354043	-4.598477	112.406448
29158		1.343705	-4.591038	112.408840
29159		1.324380	-4.582833	112.410115
29160		1.309433	-4.579869	112.417928
29161		1.304755	-4.584450	112.419861
29162		1.296796	-4.591804	112.422119
29163		1.286869	-4.595876	112.427556
29164		1.278549	-4.593408	112.431265
29165		1.272343	-4.588889	112.436192
29166		1.260805	-4.586916	112.440478
29167		1.245532	-4.587871	112.448192
29168		1.235004	-4.585493	112.452081
29169		1.242795	-4.593759	112.460820
29170		1.267878	-4.615792	112.475324
29171		1.298137	-4.633775	112.493046
29172		1.320850	-4.645746	112.507453
29173		1.332504	-4.659619	112.521107
29174		1.341915	-4.671107	112.534362
29175		1.349950	-4.678285	112.545569
29176		1.354290	-4.682582	112.545997
29177		1.356097	-4.685372	112.549870
29178		1.350438	-4.689473	112.565992
29179		1.350055	-4.692942	112.583231
29180		1.352009	-4.692947	112.585719
29181		1.346761	-4.685689	112.580991
29182		1.341657	-4.678511	112.574956
29183		1.331115	-4.674335	112.568767
29184		1.333366	-4.684687	112.560492
29185		1.341992	-4.703966	112.563357
29186		1.345290	-4.711290	112.559433
29187		1.349449	-4.715206	112.554234
29188		1.355990	-4.715205	112.545321
29189		1.360511	-4.713471	112.531892
29190		1.360595	-4.706308	112.511646
29191		1.354907	-4.696276	112.496181
29192		1.356028	-4.685033	112.477992
29193		1.352266	-4.669515	112.457249
29194		1.346921	-4.654004	112.428759
29195		1.340788	-4.639919	112.395983
29196		1.328609	-4.622149	112.368667
29197		1.316094	-4.600926	112.345883
29198		1.308180	-4.580685	112.324606
29199		1.294091	-4.563781	112.307918
29200		1.279923	-4.548140	112.289430
