// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
28013		0.176448	-3.978076	-11.098778
28014		-0.015237	-4.767842	-11.200531
28015		-0.274137	-5.641206	-11.265913
28016		-0.615538	-6.637799	-11.305768
28017		-1.047960	-7.753704	-11.325805
28018		-1.533347	-8.958140	-11.313232
28019		-2.070347	-10.303557	-11.283363
28020		-2.689943	-11.791149	-11.243692
28021		-3.370245	-13.469635	-11.189641
28022		-4.141974	-15.363440	-11.123032
28023		-4.991955	-17.482646	-11.064443
28024		-5.925731	-19.857431	-11.053669
28025		-6.941638	-22.530239	-11.107164
28026		-8.023095	-25.569474	-11.214611
28027		-9.225235	-28.922608	-11.376573
28028		-10.420836	-32.537371	-11.517089
28029		-11.676198	-36.308563	-11.682992
28030		-12.976529	-40.156963	-11.781357
28031		-14.333466	-44.037456	-11.700222
28032		-15.695200	-47.949768	-11.294801
28033		-17.004140	-51.862135	-10.477811
28034		-18.196479	-55.654322	-9.269475
28035		-19.241362	-59.213546	-7.896800
28036		-20.157005	-62.491734	-6.691736
28037		-20.554344	-65.125608	-6.842576
28038		-19.857453	-66.348742	-8.380780
28039		-18.378096	-66.443222	-10.556442
28040		-16.604428	-65.675524	-12.358866
28041		-15.013218	-64.350906	-13.388864
28042		-13.796084	-62.731476	-13.771050
28043		-13.042836	-60.887633	-13.657073
28044		-12.785015	-58.922727	-13.154820
28045		-12.907895	-56.848675	-12.412247
28046		-13.233780	-54.670760	-11.572639
28047		-13.553907	-52.312184	-10.802118
28048		-13.796292	-49.772676	-10.176355
28049		-13.950533	-47.038466	-9.696271
28050		-14.000780	-44.188996	-9.331900
28051		-13.901062	-41.216851	-9.088893
28052		-13.655250	-38.161573	-8.972244
28053		-13.272924	-34.973999	-9.002547
28054		-12.797010	-31.742487	-9.172687
28055		-12.243818	-28.483773	-9.493998
28056		-11.643230	-25.266912	-9.940308
28057		-11.007014	-22.026632	-10.484324
28058		-10.366304	-18.812866	-11.084060
28059		-9.749668	-15.592790	-11.698005
28060		-9.177547	-12.406419	-12.308463
28061		-8.633824	-9.202378	-12.900428
28062		-8.104598	-6.022003	-13.438278
28063		-7.545288	-2.816329	-13.883870
28064		-6.934246	0.352574	-14.205417
28065		-6.249946	3.516258	-14.390217
28066		-5.481500	6.618776	-14.400227
28067		-4.618744	9.659392	-14.179172
28068		-3.824009	12.599277	-13.651592
28069		-3.479857	15.475716	-12.991521
28070		-3.502205	18.261874	-12.297637
28071		-3.672753	20.911543	-11.421225
28072		-3.657495	23.337565	-10.212750
28073		-3.150574	25.470284	-8.658894
28074		-2.096158	27.227094	-7.124039
28075		-1.256251	28.607339	-6.239710
28076		-1.888206	29.664220	-6.603390
28077		-3.341061	29.941500	-7.618054
28078		-3.818001	29.041814	-8.344116
28079		-3.156557	26.704456	-8.821857
28080		-2.483604	24.395666	-9.295789
28081		-2.288276	22.367819	-9.510618
28082		-2.077199	20.140386	-9.374082
28083		-2.111663	17.433104	-9.216608
