// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Roll	Pitch	Yaw
41076		7.643629	-6.922721	3.715300
41077		8.037293	-6.822895	3.513970
41078		8.464135	-6.745588	3.360778
41079		8.919762	-6.692717	3.225656
41080		9.406429	-6.652103	3.100690
41081		9.934086	-6.597895	2.952799
41082		10.492831	-6.527584	2.793104
41083		11.063114	-6.435827	2.636107
41084		11.646706	-6.320617	2.486231
41085		12.251874	-6.188649	2.384153
41086		12.889282	-6.052913	2.334429
41087		13.534275	-5.896774	2.307612
41088		14.203932	-5.715787	2.285364
41089		14.891211	-5.505695	2.252381
41090		15.621010	-5.264631	2.196586
41091		16.386600	-4.977095	2.113024
41092		17.178646	-4.657225	2.006125
41093		17.992456	-4.312964	1.883997
41094		18.854693	-3.944358	1.766581
41095		19.777325	-3.549688	1.658185
41096		20.738098	-3.120777	1.573952
41097		21.710604	-2.685702	1.543215
41098		22.716813	-2.268040	1.571014
41099		23.806520	-1.844865	1.648281
41100		24.960678	-1.414331	1.745073
41101		26.120061	-0.982826	1.848507
41102		27.297108	-0.586153	1.944634
41103		28.520788	-0.186483	1.995175
41104		29.802303	0.264924	1.948137
41105		31.086696	0.802930	1.769221
41106		32.364844	1.487463	1.462960
41107		33.641829	2.285976	1.048242
41108		34.928860	3.166276	0.585106
41109		36.255453	4.026083	0.200623
41110		37.599897	4.762816	0.032091
41111		38.924366	5.288767	0.135446
41112		40.218654	5.666995	0.461953
41113		41.458414	6.013835	0.804339
41114		42.513183	6.482444	0.975534
41115		43.366631	7.014067	0.920031
41116		43.997859	7.329892	0.957962
41117		44.477511	7.325133	1.466154
41118		44.843946	7.032874	2.351608
41119		45.178023	6.727758	3.196137
41120		45.471518	6.450876	3.783986
41121		45.595696	6.299737	3.985246
41122		45.388951	6.288315	3.904023
41123		44.860681	6.291924	3.860264
41124		44.082468	6.159274	3.966762
41125		43.127237	5.873293	3.997942
41126		41.931190	5.429104	4.056943
41127		40.510991	4.860815	4.251350
41128		38.895495	4.225838	4.498140
41129		37.139153	3.610273	4.723172
41130		35.271128	3.044493	4.809371
41131		33.306073	2.563893	4.722641
41132		31.197577	2.193398	4.453184
41133		28.944562	1.859752	3.981004
41134		26.543997	1.498916	3.442483
41135		24.062478	1.056381	2.957811
41136		21.541570	0.481548	2.645565
41137		18.999120	-0.211120	2.556876
41138		16.388782	-0.973962	2.676796
41139		13.704691	-1.744659	2.998044
41140		10.974763	-2.487685	3.460585
41141		8.225034	-3.228053	4.009090
41142		5.419791	-3.947943	4.625225
41143		2.551943	-4.580819	5.255265
41144		-0.355420	-5.119625	5.886697
41145		-3.210413	-5.636790	6.548086
41146		-5.992222	-6.139791	7.270007
41147		-8.697686	-6.579328	7.983243
41148		-11.298360	-6.957172	8.626547
41149		-13.676406	-7.290725	9.103604
41150		-15.778547	-7.645148	9.321036
41151		-17.563995	-8.071331	9.248969
41152		-18.986594	-8.524162	8.905361
41153		-20.017933	-8.983016	8.418115
41154		-20.697332	-9.383705	7.962056
41155		-21.020342	-9.678767	7.638607
41156		-21.007787	-9.833126	7.490195
41157		-20.651332	-9.829421	7.553515
41158		-19.919055	-9.712775	7.824937
41159		-18.797175	-9.514485	8.258164
41160		-17.306646	-9.195220	8.840527
41161		-15.409054	-8.987448	9.173779
41162		-13.584007	-9.132708	8.664038
41163		-12.441400	-9.297102	7.727772
41164		-11.583086	-9.270269	7.343308
41165		-10.675365	-8.970355	7.767119
41166		-9.629225	-8.792387	8.341753
41167		-8.412855	-8.776477	8.600207
41168		-7.048246	-8.742372	8.373180
41169		-5.595162	-8.678398	7.877699
41170		-4.249614	-8.535441	7.316474
41171		-3.207997	-8.251529	6.831212
41172		-2.309169	-8.136978	6.849880
41173		-1.498761	-8.250411	7.266822
41174		-0.852641	-8.325436	7.525252
41175		-0.145775	-8.439526	7.653619
41176		0.614605	-8.454926	7.540425
41177		1.299363	-8.338698	7.178955
41178		1.933205	-8.275409	6.799968
41179		2.452506	-8.242840	6.565552
41180		2.884303	-8.226382	6.480706
41181		3.243066	-8.238004	6.503659
41182		3.558982	-8.231754	6.568686
41183		3.869320	-8.236387	6.606768
41184		4.148600	-8.223464	6.594709
41185		4.376116	-8.200511	6.548934
41186		4.574530	-8.182074	6.485596
41187		4.744055	-8.136651	6.396522
41188		4.893908	-8.058303	6.251144
41189		5.031793	-7.955104	6.063013
41190		5.157953	-7.832838	5.862326
41191		5.255188	-7.702734	5.675629
41192		5.332411	-7.570786	5.505671
41193		5.375773	-7.456495	5.351419
41194		5.403056	-7.336060	5.191268
41195		5.441076	-7.207238	5.014563
41196		5.488188	-7.069031	4.813393
41197		5.519638	-6.919260	4.582277
41198		5.560237	-6.765838	4.337826
41199		5.624983	-6.599628	4.096322
41200		5.714412	-6.439629	3.881699
41201		5.797912	-6.280825	3.684490
41202		5.869007	-6.116389	3.498232
41203		5.930769	-5.970420	3.320706
41204		6.017116	-5.832956	3.129899
41205		6.144311	-5.685979	2.921012
41206		6.307815	-5.530587	2.677789
41207		6.480810	-5.369326	2.408879
41208		6.685537	-5.207139	2.139760
41209		6.935272	-5.045232	1.886118
41210		7.241980	-4.886022	1.654750
41211		7.594691	-4.728242	1.455134
41212		7.995417	-4.597054	1.275771
41213		8.446222	-4.505414	1.106240
41214		8.950476	-4.399250	0.954507
41215		9.519731	-4.318882	0.832520
41216		10.132342	-4.241489	0.755566
41217		10.763572	-4.147469	0.712804
41218		11.446208	-4.050862	0.700169
41219		12.169608	-3.934958	0.720802
41220		12.958306	-3.802166	0.752599
41221		13.786777	-3.664158	0.772722
41222		14.647664	-3.504307	0.775148
41223		15.539775	-3.352090	0.773317
41224		16.466297	-3.174428	0.756772
41225		17.421548	-2.964521	0.726011
41226		18.393930	-2.712825	0.671520
41227		19.369035	-2.425520	0.631876
41228		20.358598	-2.145065	0.659773
41229		21.388110	-1.861528	0.741544
41230		22.475962	-1.547017	0.846592
41231		23.571715	-1.212793	0.947043
41232		24.673054	-0.879714	1.038683
41233		25.823561	-0.536052	1.118733
41234		27.031352	-0.171225	1.152581
41235		28.270847	0.240802	1.106143
41236		29.522216	0.708542	0.951764
41237		30.781246	1.285387	0.635138
41238		32.053073	2.045696	0.127488
41239		33.369881	2.903565	-0.437398
41240		34.739408	3.771128	-0.931500
41241		36.130395	4.542083	-1.228003
41242		37.521804	5.121344	-1.228731
41243		38.929507	5.518369	-0.961669
41244		40.277953	5.887887	-0.607371
41245		41.488526	6.373316	-0.362660
41246		42.516950	6.918440	-0.291454
41247		43.370086	7.318109	-0.193471
41248		44.039756	7.384710	0.360272
41249		44.653916	7.045017	1.369814
41250		45.188312	6.568561	2.507406
41251		45.656192	6.112670	3.493538
41252		45.988231	5.753894	4.167980
41253		46.074249	5.585257	4.490277
41254		45.829357	5.526649	4.684131
41255		45.293524	5.395917	4.960201
41256		44.481739	5.138281	5.202263
41257		43.403703	4.820628	5.286231
41258		42.068492	4.418787	5.420401
41259		40.569745	3.909414	5.644112
41260		38.911247	3.377683	5.868993
41261		37.115245	2.921537	6.012233
41262		35.216705	2.510843	6.023079
41263		33.260205	2.136293	5.845516
41264		31.162210	1.824911	5.454582
41265		28.889000	1.560717	4.878659
41266		26.488693	1.248772	4.249240
41267		24.048474	0.830867	3.692436
41268		21.566550	0.240698	3.326496
41269		19.040771	-0.475860	3.211549
41270		16.474044	-1.285608	3.358130
41271		13.866203	-2.142416	3.721350
41272		11.199228	-3.028320	4.241832
41273		8.456677	-3.873109	4.884140
41274		5.679935	-4.619456	5.527773
41275		2.907301	-5.322713	6.082590
41276		0.107576	-5.988828	6.565503
41277		-2.655224	-6.621092	7.050238
41278		-5.355322	-7.224789	7.618095
41279		-7.989769	-7.756577	8.238919
41280		-10.501736	-8.234259	8.841492
41281		-12.808784	-8.684394	9.359634
41282		-14.860034	-9.097360	9.714332
41283		-16.595823	-9.475916	9.873776
41284		-17.995962	-9.846715	9.879515
41285		-19.051206	-10.208546	9.770684
41286		-19.749868	-10.556130	9.589331
41287		-20.070195	-10.884906	9.373361
41288		-20.029270	-11.142403	9.172756
41289		-19.637168	-11.299764	9.058297
41290		-18.876455	-11.390747	9.053295
41291		-17.711607	-11.429963	9.201316
41292		-16.140997	-11.392068	9.515652
41293		-14.275056	-11.513414	9.398570
41294		-12.897389	-11.696233	8.613906
41295		-12.184141	-11.798281	8.109665
41296		-11.488578	-11.620033	8.604702
41297		-10.639932	-11.200188	9.808755
41298		-9.740469	-10.869247	11.318280
41299		-8.730157	-10.714774	12.431797
41300		-7.368404	-10.827471	12.501747
41301		-5.804184	-10.988511	11.457248
41302		-4.515726	-10.787925	10.007784
41303		-3.610378	-10.532714	9.069994
41304		-2.936360	-10.466260	8.884421
41305		-2.327343	-10.631448	9.095433
41306		-1.680273	-10.696746	9.112044
41307		-1.097458	-10.590488	8.972539
41308		-0.541389	-10.448675	8.772958
41309		-0.034974	-10.328248	8.536335
41310		0.377179	-10.228649	8.343570
41311		0.676551	-10.127657	8.297784
41312		0.947623	-10.050875	8.274322
41313		1.208940	-9.964041	8.185656
41314		1.503485	-9.860623	7.995436
41315		1.759654	-9.748573	7.754492
41316		1.978061	-9.650028	7.536555
41317		2.168962	-9.581173	7.362119
41318		2.367025	-9.506515	7.186069
41319		2.576204	-9.424615	6.978095
41320		2.772178	-9.324376	6.746699
41321		2.936605	-9.200517	6.497677
41322		3.102549	-9.093794	6.269977
41323		3.254776	-9.012013	6.101609
41324		3.389844	-8.926479	5.988054
41325		3.495324	-8.823988	5.911651
41326		3.583474	-8.697392	5.854310
41327		3.637273	-8.574564	5.826844
41328		3.685042	-8.439629	5.823567
41329		3.730447	-8.300160	5.831181
41330		3.795587	-8.181014	5.860537
41331		3.873606	-8.076176	5.839951
41332		3.980699	-7.938105	5.734786
41333		4.131037	-7.788025	5.584296
41334		4.331891	-7.628906	5.392796
41335		4.550599	-7.457188	5.199628
41336		4.808824	-7.266757	5.026739
41337		5.087769	-7.073414	4.892947
41338		5.408675	-6.878347	4.789386
41339		5.771652	-6.676315	4.712935
41340		6.178160	-6.474720	4.635958
41341		6.598811	-6.277671	4.547427
41342		7.063016	-6.089400	4.443822
41343		7.552529	-5.897964	4.338956
41344		8.079950	-5.692507	4.230610
41345		8.615756	-5.468136	4.134627
41346		9.162016	-5.255761	4.066178
41347		9.709191	-5.047655	4.020783
41348		10.309891	-4.869445	3.963865
41349		10.966484	-4.742937	3.916528
41350		11.643300	-4.635965	3.872896
41351		12.363397	-4.601577	3.826169
41352		13.125828	-4.605004	3.803533
41353		13.895972	-4.574368	3.784059
41354		14.732992	-4.546835	3.731734
41355		15.581474	-4.462831	3.643763
41356		16.445822	-4.342916	3.500935
41357		17.338535	-4.212525	3.335402
41358		18.286396	-4.060499	3.178351
41359		19.262623	-3.855208	3.061312
41360		20.235238	-3.623687	2.997354
41361		21.219198	-3.396678	3.006858
41362		22.261507	-3.139690	3.065933
41363		23.360911	-2.839634	3.148706
41364		24.468578	-2.519029	3.235267
41365		25.574527	-2.197929	3.321910
41366		26.721439	-1.866423	3.398946
41367		27.929462	-1.498475	3.448416
41368		29.161181	-1.089905	3.434786
41369		30.385918	-0.641001	3.332600
41370		31.610613	-0.137564	3.137652
41371		32.875629	0.515136	2.799229
41372		34.185985	1.272741	2.398517
41373		35.548361	2.052062	2.042360
41374		36.907962	2.807827	1.823288
41375		38.257230	3.461258	1.844853
41376		39.575925	3.892235	2.113201
41377		40.811349	4.256366	2.455760
41378		41.904040	4.697323	2.689640
41379		42.837276	5.239870	2.704500
41380		43.569357	5.705279	2.663175
41381		44.122322	5.926870	3.066717
41382		44.608573	5.744113	3.973580
41383		45.042266	5.439237	5.001854
41384		45.394654	5.212828	5.783176
41385		45.647040	5.107427	6.198649
41386		45.664532	5.109227	6.254418
41387		45.363605	5.182393	6.133144
41388		44.743608	5.178703	6.047673
41389		43.871882	4.918971	6.196863
41390		42.788628	4.429803	6.434686
41391		41.528340	3.911551	6.514413
41392		40.037147	3.453258	6.568203
41393		38.372269	3.037946	6.665542
41394		36.568082	2.623471	6.734762
41395		34.670867	2.208576	6.722240
41396		32.664455	1.793464	6.610251
41397		30.534194	1.384861	6.363787
41398		28.232678	0.966775	5.994286
41399		25.819833	0.514900	5.578579
41400		23.323627	-0.021605	5.225064
41401		20.754402	-0.703676	5.023342
41402		18.095614	-1.517324	5.046033
41403		15.354962	-2.364398	5.298363
41404		12.531389	-3.217287	5.719808
41405		9.642623	-4.061664	6.242256
41406		6.663376	-4.891986	6.803478
41407		3.594395	-5.660086	7.298068
41408		0.450601	-6.374645	7.674272
41409		-2.722570	-7.071562	8.001813
41410		-5.906867	-7.749389	8.400772
41411		-9.061474	-8.358938	8.939875
41412		-12.157465	-8.856010	9.564464
41413		-15.135829	-9.230254	10.129882
41414		-17.964727	-9.509420	10.443683
41415		-20.648175	-9.715312	10.578184
41416		-23.066423	-9.910759	10.777466
41417		-25.053452	-9.952887	11.018174
41418		-26.500036	-9.918231	11.134178
41419		-27.505770	-9.839046	11.303072
41420		-28.092845	-9.635404	11.629006
41421		-28.235503	-9.317890	12.075145
41422		-27.881518	-9.013889	12.541068
41423		-27.034962	-8.702630	12.943622
41424		-25.742512	-8.410938	13.287701
