// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
27323	-0.962419	4.713308	1.818452
27324	-1.332415	5.181293	1.865786
27325	-1.758141	5.660965	1.857411
27326	-2.205175	6.164010	1.865594
27327	-2.651470	6.691210	1.921168
27328	-3.080286	7.263345	2.051951
27329	-3.535367	7.892323	2.166819
27330	-4.085525	8.534770	2.244564
27331	-4.692017	9.200308	2.380289
27332	-5.275463	9.926081	2.638004
27333	-5.775283	10.744306	3.054032
27334	-6.260190	11.617487	3.489690
27335	-6.819898	12.522077	3.785208
27336	-7.478471	13.383848	3.941182
27337	-8.185790	14.244563	3.963374
27338	-8.922872	15.148152	3.904412
27339	-9.661269	16.087698	3.817083
27340	-10.403248	17.013168	3.734715
27341	-11.162862	17.929301	3.647047
27342	-11.932639	18.865106	3.529809
27343	-12.725613	19.811503	3.299374
27344	-13.584236	20.719996	2.858572
27345	-14.535346	21.560704	2.183200
27346	-15.576611	22.348747	1.236188
27347	-16.745105	23.053963	-0.060150
27348	-18.075722	23.665880	-1.686602
27349	-19.687436	24.168678	-3.715829
27350	-21.610044	24.603950	-5.967569
27351	-23.658971	25.111984	-8.201200
27352	-25.705275	25.677264	-10.321510
27353	-27.660843	26.178112	-12.276052
27354	-29.535398	26.551474	-14.034563
27355	-31.298782	26.807993	-15.584857
27356	-32.820130	27.039364	-16.812344
27357	-33.990096	27.307718	-17.562830
27358	-34.918361	27.550757	-17.859339
27359	-35.655502	27.769489	-17.760288
27360	-36.305181	27.908091	-17.284706
27361	-36.812376	28.127841	-16.600411
27362	-37.215895	28.706749	-15.993664
27363	-37.294327	29.610944	-15.363753
27364	-37.348806	30.201283	-14.749662
27365	-37.398077	30.217589	-14.156562
27366	-36.999713	29.956722	-13.137174
27367	-35.744541	29.728095	-11.280665
27368	-33.694970	29.540722	-9.000684
27369	-31.191916	29.219300	-6.747583
27370	-28.591383	28.746137	-4.750418
27371	-26.126754	28.034715	-3.040000
27372	-24.075899	26.896575	-1.732132
27373	-22.487740	25.363648	-0.885825
27374	-21.242289	23.537782	-0.447302
27375	-20.085250	21.515543	-0.366449
27376	-18.782740	19.359829	-0.405071
27377	-17.223301	17.140907	-0.393669
27378	-15.429246	14.964563	-0.413343
27379	-13.492881	12.851165	-0.469348
27380	-11.481101	10.758222	-0.442052
27381	-9.412809	8.604442	-0.267506
27382	-7.290536	6.455776	-0.042270
27383	-5.151444	4.308621	0.227311
27384	-3.070865	2.162491	0.604316
27385	-1.027055	0.006922	1.189998
27386	0.956060	-2.160567	1.857007
27387	2.798675	-4.400579	2.315202
27388	4.486192	-6.653310	2.420980
27389	6.049430	-8.813850	2.174842
27390	7.518470	-10.815108	1.691666
27391	8.908406	-12.644708	1.135221
27392	10.169171	-14.296008	0.602510
27393	11.285666	-15.724497	0.189751
27394	12.227630	-16.904104	0.035605
27395	12.985765	-17.882061	0.126498
27396	13.554954	-18.716796	0.341300
27397	13.973698	-19.361340	0.547113
27398	14.248645	-19.768739	0.659661
27399	14.330652	-19.935397	0.681727
27400	14.201732	-19.856509	0.650371
27401	13.848769	-19.537885	0.697144
27402	13.290364	-19.016607	0.935285
27403	12.570251	-18.359361	1.431207
27404	11.744345	-17.577564	2.144806
27405	10.867071	-16.671861	3.029932
27406	10.055416	-15.643088	4.040434
27407	9.515182	-14.526727	4.966557
27408	9.284172	-13.699925	5.349222
27409	9.220474	-13.323629	5.205774
27410	9.075159	-13.014891	5.055744
27411	8.674283	-12.509405	5.058229
27412	8.227034	-11.838386	5.011083
27413	7.801968	-11.030857	4.978291
27414	7.364431	-10.160637	5.219232
27415	6.911896	-9.431124	5.707130
27416	6.514508	-8.814718	6.381400
27417	6.193336	-8.223717	7.255120
27418	5.935618	-7.651973	8.098639
27419	5.697925	-7.075929	8.655174
27420	5.445292	-6.526901	8.933705
27421	5.201093	-5.968591	9.017307
27422	4.969850	-5.425217	8.911393
27423	4.733941	-4.896854	8.671650
27424	4.511773	-4.432873	8.435705
