// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4387C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
01399	0.041788	-0.042659	0.047824
01400	0.040712	-0.042257	0.047136
01401	0.041415	-0.042807	0.046986
01402	0.039889	-0.041841	0.048640
01403	0.039209	-0.040224	0.049217
01404	0.039835	-0.041772	0.048409
01405	0.039459	-0.042447	0.047668
01406	0.040174	-0.042948	0.047634
01407	0.039798	-0.043622	0.046892
01408	0.040353	-0.043469	0.045675
01409	0.039850	-0.043370	0.047586
01410	0.042001	-0.044361	0.046016
01411	0.041357	-0.046132	0.044724
01412	0.040684	-0.044509	0.045207
01413	0.040577	-0.044088	0.045015
01414	0.040647	-0.044273	0.046027
01415	0.041143	-0.044177	0.044806
01416	0.041090	-0.043733	0.044433
01417	0.040111	-0.044083	0.044721
01418	0.041150	-0.044337	0.045432
01419	0.038313	-0.042970	0.044823
01420	0.038301	-0.044086	0.045939
01421	0.038431	-0.043441	0.046559
01422	0.039080	-0.043152	0.046096
01423	0.038705	-0.043827	0.045354
01424	0.039942	-0.043876	0.046824
01425	0.039597	-0.043680	0.045821
01426	0.039457	-0.043284	0.045425
01427	0.039349	-0.042863	0.045233
01428	0.041193	-0.043246	0.045564
01429	0.041323	-0.042601	0.046184
01430	0.041744	-0.042497	0.045024
01431	0.042209	-0.043272	0.044063
01432	0.040627	-0.042408	0.045124
01433	0.041330	-0.042958	0.044975
01434	0.041808	-0.042040	0.046180
01435	0.041066	-0.042166	0.047279
01436	0.042403	-0.043908	0.046052
01437	0.042058	-0.043712	0.045049
01438	0.042970	-0.043991	0.045853
01439	0.041784	-0.043695	0.045068
01440	0.042431	-0.043386	0.044737
01441	0.042500	-0.044483	0.045879
01442	0.041162	-0.045093	0.045289
01443	0.041689	-0.044127	0.043806
01444	0.043191	-0.043911	0.043129
01445	0.043053	-0.044362	0.043199
01446	0.042877	-0.044858	0.042992
01447	0.043373	-0.044763	0.041771
