// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
26049	-0.165780	-0.796682	-2.745170
26050	-0.171414	-0.790023	-2.751111
26051	-0.177287	-0.789080	-2.754624
26052	-0.184430	-0.792425	-2.756219
26053	-0.191199	-0.798731	-2.753227
26054	-0.198507	-0.802764	-2.759473
26055	-0.203962	-0.802973	-2.771653
26056	-0.211273	-0.802380	-2.775133
26057	-0.222865	-0.802758	-2.781964
26058	-0.236728	-0.806713	-2.796424
26059	-0.251959	-0.810678	-2.812163
26060	-0.260104	-0.815024	-2.839174
26061	-0.263931	-0.819500	-2.854656
26062	-0.267629	-0.824609	-2.883588
26063	-0.272150	-0.832350	-2.909836
26064	-0.280804	-0.843412	-2.939440
26065	-0.288507	-0.853536	-2.967178
26066	-0.296415	-0.864982	-2.994790
26067	-0.304604	-0.874721	-3.019084
26068	-0.308861	-0.884743	-3.046436
26069	-0.309315	-0.890628	-3.065363
26070	-0.309193	-0.898105	-3.090196
26071	-0.312579	-0.907477	-3.112370
26072	-0.315122	-0.917556	-3.145219
26073	-0.317500	-0.929128	-3.174055
26074	-0.323693	-0.938997	-3.204939
26075	-0.326129	-0.949869	-3.225298
26076	-0.330844	-0.956349	-3.241158
26077	-0.340228	-0.969839	-3.245257
26078	-0.351885	-0.988734	-3.245947
26079	-0.365409	-1.007109	-3.238564
26080	-0.378890	-1.023665	-3.237854
26081	-0.393369	-1.038779	-3.232866
26082	-0.405044	-1.050067	-3.230231
26083	-0.413204	-1.056993	-3.221869
26084	-0.422348	-1.064552	-3.225826
26085	-0.433537	-1.073424	-3.228752
26086	-0.450949	-1.086678	-3.234547
26087	-0.474144	-1.099916	-3.238226
26088	-0.501761	-1.113923	-3.258798
26089	-0.530910	-1.128976	-3.277701
26090	-0.561534	-1.141038	-3.300362
26091	-0.593362	-1.149003	-3.307034
26092	-0.623578	-1.152566	-3.322930
26093	-0.657383	-1.155596	-3.328243
26094	-0.693672	-1.158537	-3.338651
26095	-0.730143	-1.164174	-3.343980
26096	-0.764325	-1.175521	-3.347812
26097	-0.792779	-1.186830	-3.352619
26098	-0.818072	-1.202654	-3.360839
26099	-0.835299	-1.220245	-3.372182
26100	-0.849037	-1.231658	-3.385946
26101	-0.861324	-1.247776	-3.405434
26102	-0.876778	-1.264637	-3.423042
26103	-0.889757	-1.278336	-3.433750
26104	-0.897254	-1.285230	-3.447537
26105	-0.897653	-1.297494	-3.452522
26106	-0.894110	-1.310413	-3.456465
26107	-0.885312	-1.332375	-3.462405
26108	-0.876646	-1.351633	-3.448591
26109	-0.866521	-1.367458	-3.424487
26110	-0.857838	-1.375722	-3.391967
26111	-0.854482	-1.376657	-3.367407
26112	-0.854694	-1.379525	-3.347040
26113	-0.859512	-1.381508	-3.342855
26114	-0.869243	-1.390388	-3.350955
26115	-0.879104	-1.400021	-3.370595
26116	-0.884043	-1.406158	-3.391522
26117	-0.885790	-1.411589	-3.404316
26118	-0.883490	-1.412331	-3.415938
26119	-0.876416	-1.410946	-3.419061
26120	-0.868533	-1.412824	-3.410618
26121	-0.863292	-1.420562	-3.386417
26122	-0.857828	-1.425464	-3.366713
26123	-0.849070	-1.427275	-3.348747
26124	-0.841288	-1.426326	-3.327584
26125	-0.833563	-1.422450	-3.306210
26126	-0.825064	-1.416933	-3.290530
26127	-0.817582	-1.413540	-3.286136
26128	-0.810171	-1.411227	-3.286669
26129	-0.802485	-1.409592	-3.290245
26130	-0.798233	-1.413452	-3.298882
26131	-0.790475	-1.419161	-3.311261
26132	-0.782554	-1.424724	-3.322145
26133	-0.774835	-1.431910	-3.330664
26134	-0.767557	-1.436247	-3.336933
26135	-0.757486	-1.437888	-3.345826
26136	-0.743088	-1.436056	-3.347160
26137	-0.730736	-1.432452	-3.339310
26138	-0.716040	-1.433873	-3.334106
26139	-0.705707	-1.437347	-3.329090
26140	-0.694040	-1.442756	-3.327074
26141	-0.678447	-1.447939	-3.325914
26142	-0.660377	-1.451282	-3.321765
26143	-0.640734	-1.454998	-3.315799
26144	-0.623079	-1.457751	-3.314835
26145	-0.610236	-1.464627	-3.318332
26146	-0.599699	-1.468567	-3.329772
26147	-0.587497	-1.471937	-3.351809
26148	-0.576715	-1.470531	-3.369950
26149	-0.565807	-1.469435	-3.386392
26150	-0.553721	-1.467968	-3.404940
26151	-0.542925	-1.464708	-3.411637
26152	-0.530179	-1.457503	-3.425142
26153	-0.516176	-1.447923	-3.444000
26154	-0.501000	-1.440146	-3.452465
26155	-0.484045	-1.433521	-3.450339
26156	-0.466783	-1.422778	-3.441781
26157	-0.443853	-1.411410	-3.425733
