// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B437E8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
15738	0.000127	-0.014331	-0.002844
15739	-0.001222	-0.015442	-0.002485
15740	-0.000684	-0.014924	-0.002992
15741	0.000404	-0.014786	-0.002996
15742	0.000121	-0.014905	-0.004468
15743	0.000263	-0.014957	-0.004030
15744	-0.001540	-0.014333	-0.004302
15745	0.001092	-0.015746	-0.004083
15746	-0.000531	-0.014764	-0.006932
15747	0.001280	-0.013509	-0.004856
15748	-0.000388	-0.014208	-0.005032
15749	0.000698	-0.014071	-0.005037
15750	0.000456	-0.013647	-0.005244
15751	0.000022	-0.013266	-0.005402
15752	-0.001299	-0.014307	-0.005191
15753	0.002425	-0.013980	-0.003929
15754	0.001665	-0.013638	-0.003995
15755	0.000134	-0.014999	-0.005196
15756	0.001831	-0.013858	-0.004909
15757	0.001969	-0.013912	-0.004473
15758	0.001674	-0.014121	-0.005751
15759	0.001237	-0.013742	-0.005909
15760	0.001507	-0.009623	-0.009521
15761	0.001277	-0.010296	-0.008050
15762	0.000938	-0.009617	-0.006746
15763	0.001295	-0.010598	-0.008837
15764	0.001091	-0.009883	-0.007598
15765	0.001229	-0.009933	-0.007165
15766	0.000753	-0.009579	-0.007303
15767	0.001259	-0.009008	-0.007909
15768	0.000278	-0.008124	-0.008808
15769	0.000784	-0.007553	-0.009415
15770	0.001841	-0.007860	-0.006705
15771	0.003110	-0.007350	-0.009314
15772	0.001796	-0.008168	-0.007494
15773	0.000811	-0.008658	-0.008178
15774	0.002501	-0.007598	-0.007791
15775	0.002636	-0.007650	-0.007360
15776	0.003019	-0.008374	-0.007917
15777	0.004437	-0.006311	-0.009043
15778	0.006239	-0.007971	-0.008281
15779	0.004829	-0.006474	-0.008076
15780	0.003696	-0.008305	-0.008662
15781	0.004770	-0.008170	-0.008675
15782	0.004557	-0.008779	-0.007342
15783	0.004142	-0.009705	-0.007432
15784	0.006811	-0.007147	-0.007602
15785	0.005247	-0.007206	-0.008882
15786	0.004982	-0.009154	-0.007410
15787	0.004538	-0.008776	-0.007575
15788	0.003935	-0.009642	-0.007776
15789	0.004460	-0.010380	-0.008310
15790	0.004647	-0.010224	-0.008273
15791	0.004202	-0.009846	-0.008438
15792	0.004221	-0.009919	-0.007964
15793	0.002834	-0.009729	-0.007686
15794	0.002188	-0.009555	-0.009499
15795	0.002890	-0.010043	-0.008474
15796	0.002933	-0.010052	-0.008135
15797	0.003455	-0.010792	-0.008670
15798	0.003476	-0.010803	-0.008295
15799	0.003395	-0.009806	-0.009501
15800	0.003354	-0.010195	-0.010441
15801	0.004082	-0.011988	-0.009341
15802	0.002380	-0.011059	-0.012156
15803	0.004171	-0.009803	-0.010093
15804	0.002460	-0.009970	-0.011172
15805	0.002584	-0.010027	-0.010743
15806	0.002917	-0.010663	-0.011506
15807	0.003407	-0.010100	-0.012118
15808	0.003444	-0.011530	-0.011514
15809	0.003933	-0.010968	-0.012126
15810	0.003274	-0.010635	-0.012194
15811	0.002822	-0.010261	-0.012362
15812	0.001426	-0.010307	-0.013687
15813	0.001914	-0.009746	-0.014299
15814	0.000977	-0.010017	-0.013334
15815	0.001493	-0.010761	-0.013870
15816	0.001207	-0.010956	-0.015242
15817	0.002784	-0.008649	-0.014819
15818	0.003419	-0.008884	-0.012215
15819	0.000725	-0.009394	-0.014612
15820	0.002445	-0.008951	-0.015295
15821	0.002929	-0.008391	-0.015908
15822	0.002589	-0.007991	-0.016094
15823	0.003646	-0.007863	-0.016112
15824	0.005343	-0.008172	-0.015519
15825	0.002856	-0.009733	-0.016280
15826	0.003526	-0.007553	-0.015577
15827	0.003857	-0.008554	-0.017673
15828	0.002883	-0.007527	-0.016778
15829	0.003910	-0.006096	-0.016875
15830	0.004882	-0.005995	-0.016864
15831	0.005391	-0.006742	-0.017401
15832	0.007617	-0.006276	-0.016117
15833	0.006038	-0.006348	-0.017401
15834	0.006900	-0.006511	-0.014996
15835	0.006259	-0.006397	-0.016725
15836	0.006456	-0.006448	-0.016299
15837	0.007507	-0.006323	-0.016318
15838	0.006667	-0.006708	-0.015192
15839	0.007143	-0.006153	-0.015808
15840	0.006060	-0.005538	-0.016237
15841	0.005627	-0.006474	-0.016329
15842	0.006020	-0.004674	-0.016889
15843	0.006705	-0.005167	-0.015868
15844	0.006156	-0.006103	-0.015926
15845	0.005328	-0.006353	-0.015055
15846	0.005707	-0.007115	-0.015583
15847	0.005213	-0.005443	-0.015833
15848	0.005391	-0.005478	-0.015462
15849	0.004896	-0.003807	-0.015713
15850	0.004550	-0.005886	-0.013963
15851	0.004992	-0.004029	-0.014660
15852	0.004286	-0.004282	-0.013773
15853	0.003849	-0.005221	-0.013865
15854	0.003385	-0.004875	-0.014042
15855	0.002918	-0.004510	-0.014214
15856	0.002046	-0.005051	-0.014853
15857	0.002516	-0.004499	-0.015471
15858	0.002102	-0.004205	-0.015489
15859	0.000726	-0.005330	-0.015136
15860	0.001781	-0.003801	-0.015410
15861	0.003397	-0.004110	-0.014836
15862	0.001891	-0.005483	-0.016077
15863	0.001965	-0.004244	-0.015734
15864	0.003587	-0.004562	-0.015143
15865	0.001092	-0.006134	-0.015903
15866	0.000304	-0.005791	-0.016034
15867	0.000981	-0.006287	-0.015014
15868	0.001833	-0.006151	-0.015061
15869	0.002872	-0.006032	-0.015085
15870	0.002822	-0.006193	-0.014496
15871	0.002349	-0.005830	-0.014670
15872	0.004418	-0.003971	-0.013650
15873	0.003975	-0.004913	-0.013743
15874	0.002219	-0.006283	-0.014976
15875	0.002832	-0.004172	-0.014119
15876	0.004436	-0.004522	-0.013465
15877	0.003629	-0.006081	-0.012515
15878	0.002594	-0.006456	-0.013455
15879	0.002692	-0.006524	-0.013033
15880	0.000955	-0.008477	-0.013303
15881	0.001597	-0.007671	-0.012365
15882	0.001067	-0.007379	-0.012433
15883	0.002644	-0.006388	-0.011942
15884	0.001761	-0.007808	-0.011246
15885	0.002251	-0.008568	-0.011787
15886	0.002457	-0.009991	-0.011157
15887	0.002523	-0.008757	-0.010817
15888	0.002238	-0.010354	-0.011928
15889	0.002877	-0.009549	-0.010992
15890	0.003394	-0.010357	-0.011445
15891	0.003097	-0.009738	-0.010062
15892	0.002985	-0.010022	-0.011287
15893	0.001751	-0.009588	-0.009458
15894	0.001956	-0.009002	-0.010209
15895	0.001507	-0.009948	-0.010303
15896	0.002538	-0.008598	-0.010237
15897	0.002088	-0.009545	-0.010331
15898	0.002398	-0.010569	-0.012430
15899	0.001916	-0.010212	-0.012608
15900	0.000486	-0.011365	-0.012202
15901	-0.000358	-0.011622	-0.011335
15902	0.000417	-0.011521	-0.011331
15903	0.000869	-0.010980	-0.011956
15904	0.001098	-0.011741	-0.012450
15905	0.001549	-0.011201	-0.013075
15906	0.000141	-0.012288	-0.012809
15907	0.000804	-0.012789	-0.011792
15908	0.000587	-0.011745	-0.013139
15909	0.001610	-0.011633	-0.013167
15910	0.001033	-0.011268	-0.013362
15911	0.000187	-0.011527	-0.012496
15912	0.003209	-0.009447	-0.012044
15913	0.000703	-0.011030	-0.012803
15914	0.000899	-0.011727	-0.013470
15915	0.000412	-0.011374	-0.013649
15916	0.000639	-0.012767	-0.013123
15917	0.001085	-0.012229	-0.013750
15918	0.000996	-0.011541	-0.012503
15919	0.001473	-0.012308	-0.013047
15920	0.001410	-0.011084	-0.012712
15921	-0.000915	-0.012405	-0.011913
15922	-0.001516	-0.012141	-0.011900
15923	-0.001105	-0.010300	-0.012611
15924	-0.000103	-0.011499	-0.012555
15925	-0.000020	-0.011575	-0.012138
15926	-0.000297	-0.011957	-0.013209
