participant,age,group,vaf_walking,vaf_walkingincline,vaf_stepforward,vaf_steplateral,dmci_walking,dmci_walkingincline,dmci_stepforward,dmci_steplateral,cci_knee_walking,cci_knee_walkingincline,cci_knee_stepforward,cci_knee_steplateral,cci_ankle_walking,cci_ankle_walkingincline,cci_ankle_stepforward,cci_ankle_steplateral,peak_roll_walking,rom_roll_walking,peak_pitch_walking,rom_pitch_walking,stride_timing_cv_walking,peak_roll_walkingincline,rom_roll_walkingincline,peak_pitch_walkingincline,rom_pitch_walkingincline,stride_timing_cv_walkingincline,peak_roll_stepforward,rom_roll_stepforward,peak_pitch_stepforward,rom_pitch_stepforward,peak_roll_steplateral,rom_roll_steplateral,peak_pitch_steplateral,rom_pitch_steplateral,vaf_ratio_stepforward_walk,cci_knee_ratio_stepforward_walk,rom_roll_ratio_stepforward_walk
2,22.0,1.0,83.2116,81.1062,80.9419,81.3179,110.0784249757446,110.62078114965084,96.76799438316284,98.54523849306167,0.5927,0.5858,0.711,0.7025,0.7887,0.7435,0.7275,0.635,53.026045,64.060781,78.150196,109.144902,0.0152002997389768,46.219484,51.759715,74.545313,105.500942,0.7569805675438463,10.546557,20.416638,32.408629,34.159254999999995,21.330093,29.282208,37.493423,37.6895,0.9727237548611011,1.1995950733929475,0.3187072914393597
3,24.0,1.0,90.3387,86.9061,77.2937,76.4932,93.06968673372698,97.21791823792776,107.28121985113115,113.01472845342948,0.8328,0.8029,0.7166,0.7178,0.8067,0.7323,0.6234,0.607,73.700562,77.599559,81.779892,107.808527,0.3875783306327988,74.51931,76.019846,81.8542,108.446945,0.8845602670594198,9.056711,13.552951,39.728376,41.783223,26.582835,40.370821,44.74127,45.982548,0.8555989847097645,0.8604707012487993,0.1746524229602903
5,34.0,1.0,87.9937,85.5433,80.8634,77.3995,98.66600096778168,100.367183152167,96.99421229863776,110.29669443036454,0.8901,0.8561,0.6474,0.6379,0.5454,0.6146,0.6589,0.5592,47.513444,80.54598,81.210638,108.406971,0.5199806878331149,32.848705,55.831207000000006,79.600828,110.705133,0.9127942016255914,18.433658,27.080689,40.597257,41.923202,22.657514,41.954163,52.203155,52.970324000000005,0.9189680624862916,0.7273340074148972,0.3362140357594507
6,31.0,1.0,90.5228,88.6353,79.1211,80.0,92.63033430281462,93.221947523441,102.01509731942642,102.49767922901805,0.8785,0.8524,0.7061,0.6945,0.8069,0.761,0.6158,0.6826,28.468908,45.804985,67.520562,94.50741,,36.966297,54.368473,70.44898,86.63511500000001,,14.315672,20.452691,34.620002,35.921184,18.313233,30.573806,37.629289,39.338659,0.874046096673987,0.8037564029595902,0.4465167055507168
7,22.0,1.0,87.0151,83.9574,80.8445,85.5152,101.00141807202304,104.03200500973377,97.04867750376484,85.95734904695065,0.7763,0.7953,0.5227,0.4895,0.7108,0.6517,0.6264,0.6607,54.258235,58.14125,68.273418,100.919199,0.1581509800069295,41.078703,44.765958,66.106965,102.828748,0.143941245547003,13.261847,11.24853,32.981316,35.803945,31.365624,35.00058,16.79113,19.387079,0.9290858713027967,0.6733221692644596,0.1934690086642444
8,33.0,1.0,88.5458,89.7147,82.2564,83.7047,97.34842097263387,90.72758551255912,92.97992495779026,91.38711909964736,0.76,0.7176,0.7436,0.6773,0.6772,0.7503,0.5857,0.5786,22.110202,41.646982,63.372581,68.754198,,15.555457,28.486588,57.465664,68.972722,,21.830015,38.733499,46.90253,44.210722,25.362729,48.648943,52.403049,53.312099,0.9289700923138082,0.978421052631579,0.9300433582438219
9,51.0,2.0,86.774,85.1709,77.8894,79.2655,101.57680031587404,101.22775422206917,105.56455727471852,104.70047740836394,0.8116,0.8085,0.6624,0.7587,0.7058,0.7012,0.696,0.6963,30.152335,47.344422,70.686151,98.732528,,30.152335,47.344422,70.686151,98.732528,,8.459404,13.949738,42.680588,52.855162,26.915178,27.872265,32.793923,33.23539,0.8976121879825754,0.8161655988171513,0.2946437491622561
10,51.0,2.0,89.1467,88.5875,84.554,83.5749,95.91438036570705,93.3324075050235,86.35880033874415,91.776395074704,0.7488,0.7615,0.7983,0.7607,0.843,0.8231,0.6978,0.8036,35.054248,59.567501,65.93576,95.357122,0.849540944004125,35.27683,45.52903,68.45235,90.9817,,10.307828,19.113726,34.960223,36.11799,10.910629,20.611124,47.429743,47.926963,0.9484815478307106,1.0661057692307692,0.32087506910857316
11,22.0,1.0,75.2163,,78.969,80.6946,129.15911205273295,,102.45341254163958,100.41454292490144,,,,0.8119,,,,0.5934,32.384216,62.888592,67.585078,95.571755,0.0129193972141245,,,,,,9.097983,16.226029,36.144387,36.142847,28.233405,33.902834,48.262042,48.273509,1.0498921111514392,,0.2580122798742258
12,49.0,1.0,80.6952,77.9239,77.4679,77.0149,116.0837832437938,117.97468908668016,106.77921780175886,111.45012694197304,0.7781,0.757,0.7644,0.6895,0.5646,0.433,0.6501,0.5601,58.174249,79.783437,78.465496,98.230386,,44.972112,61.467382,77.800083,93.499656,,8.787783,16.583880999999998,37.40538,43.899622,17.382874,26.221848,49.807067,50.508570000000006,0.960006295293896,0.9823930086107183,0.20786120056472368
13,63.0,2.0,87.5512,86.277,81.6601,80.405,99.72202188401592,98.67169176122384,94.69831658833397,101.28306620977352,0.8247,0.8176,0.6357,0.5398,0.7469,0.6477,0.6817,0.6937,45.745805,69.427675,74.613131,94.43282,1.2536989568638086,45.745805,69.427675,74.613131,94.43282,1.2536989568638086,16.414101,28.677266,52.283756,51.881724,6.994919,13.469481,44.016567,44.131909,0.9327125156479866,0.7708257548199345,0.4130523742873429
14,21.0,1.0,83.7132,80.5604,73.8844,80.6736,108.88136262188456,111.88205851257408,117.1059935992657,100.47752285923262,0.788,0.8315,0.6302,0.6313,0.5557,0.5016,0.4491,0.5323,158.020577,184.29273,85.239623,76.708125,,71.713543,86.025486,76.536076,85.675826,,21.071137,30.494325,21.810802,24.391235,15.897802,27.899766,42.727093,43.092489,0.8825896035511723,0.799746192893401,0.1654667821134344
15,55.0,2.0,86.7013,83.7098,78.7724,83.297,101.75029798956946,104.60417847081806,103.01996594523656,92.60982953902018,0.7996,0.8108,0.7719,0.7961,0.7316,0.6728,0.6625,0.6956,22.619103,44.827903,64.705679,81.782425,0.7498953354186519,25.141834,42.42513,68.908871,78.75339600000001,,24.438112,38.021316,47.722042,48.632745,24.480047,32.426177,27.843899,33.774419,0.9085492374393463,0.9653576788394198,0.8481618245671675
16,52.0,2.0,83.8468,87.2168,81.5085,83.297,108.56252783225996,96.49992835764144,95.13519093210458,92.60982953902018,0.7805,0.8427,0.811,0.7961,0.6794,0.7205,0.6454,0.6956,28.355009,26.301652,64.404756,78.325496,0.6475820590317861,36.57503,38.438188,64.824895,77.717728,0.5021991419381706,9.26244,11.661704,40.65965,38.760482,25.183715,33.326357,42.841678,42.861224,0.9721122332635235,1.0390775144138373,0.4433829479608353
17,34.0,1.0,89.5968,89.7898,80.7971,83.0232,94.840222141081,90.55403855404768,97.18527278011528,93.43096792091929,0.8126,0.7829,0.7255,0.7199,0.778,0.8024,0.76,0.7287,31.4059,53.18906,70.56472,88.94108399999999,0.8277902556639302,29.744286,46.273003,72.791081,86.67309300000001,,12.383017,20.880483,26.310441,32.831624,25.172643,34.381105000000005,28.935129,28.977076,0.9017855548412443,0.8928131922224958,0.39257100990316435
18,29.0,1.0,91.7905,87.5482,84.4086,85.7213,89.6049835333003,95.73410329704646,86.77780778982756,85.33924597715732,0.8711,0.8674,0.7822,0.7142,0.8055,0.7427,0.654,0.692,28.55429,44.940985,71.635327,121.763241,,27.000701,49.123033,70.583052,102.341492,0.9090691389212152,15.865866,20.067294,39.720636,42.124395,29.152947,33.870614,43.029609,43.394507,0.919578823516595,0.8979451268511078,0.4465254600004873
19,25.0,1.0,83.7206,85.8142,76.6827,77.5226,108.863702611082,99.74116622725694,109.04197330788485,109.92751205340409,0.7849,0.86,0.6961,0.6737,0.7228,0.5871,0.6148,0.6806,34.092548,64.456209,74.266133,101.019444,0.2478235241912697,46.38674,71.137494,81.722111,104.085512,0.5582619525104269,23.12822,33.752483,41.730384,45.114831,24.976922,34.371579999999994,54.952417,58.280232,0.9159358628581257,0.8868645687348707,0.5236498317795885
20,23.0,1.0,93.4704,89.7628,86.6504,84.2368,85.59592243232437,90.61643226749386,80.31748520496616,89.79132752547451,0.8923,0.7777,0.8358,0.7227,0.5105,0.815,0.7,0.739,67.42357,127.908219,86.546818,103.163255,0.9023773448274348,53.555066,86.758207,87.464176,100.306599,0.7442403486329857,8.75846,10.061387,47.921891,49.768398000000005,21.612087,32.561531,40.466393,41.718812,0.927035724678615,0.9366804886249019,0.07866098893926433
21,62.0,2.0,85.02,83.4158,83.745,83.1771,105.7627001736702,105.28357668389872,88.69014165873382,92.9694149736064,0.7804,0.7308,0.6951,0.4981,0.645,0.5081,0.5983,0.6128,42.127594,54.936247,73.476996,93.206853,0.5875972187950034,38.950222,53.799652,76.419396,95.433571,0.6277077791800404,8.983908,15.148043,34.205448,37.342725,19.701778,28.358672,34.168825,35.282441,0.9850035285815103,0.8906970784213225,0.2757385847635351
22,22.0,1.0,83.1802,80.5156,76.7784,79.6512,110.1533606972582,111.9855858593292,108.7661891739874,103.54374594781429,0.7781,0.7399,0.7266,0.6914,0.7009,0.5513,0.6265,0.6674,46.878891,84.152874,82.472543,109.592746,0.7348797278767614,47.377205,72.032026,82.922167,103.343551,0.7439787825517359,8.427558,11.68493,50.034634,50.73036999999999,17.671327,27.513804,57.987537,58.743631,0.9230369727411091,0.9338131345585401,0.13885360587922405
24,57.0,2.0,85.8738,81.9022,81.0559,78.2366,103.72511676512607,108.7813220421263,96.4394740982694,107.7861942861434,0.843,0.8231,0.7703,0.7096,0.5803,0.5272,0.4567,0.4948,30.832208,46.53985,75.98297,95.996255,,18.389594,31.065156,70.146884,89.155795,,12.1907,16.349033,43.790695,47.903608,24.89997,30.622773,35.096497,36.262694,0.9438955769978735,0.9137603795966786,0.3512910548701811
25,50.0,2.0,78.6251,79.858,80.8899,79.1471,121.02405194141282,113.50521941348516,96.91784574118444,105.05556427621222,0.7229,0.7798,0.5865,0.5593,0.5573,0.5546,0.6723,0.6534,34.469026,62.286704,68.297138,93.470845,0.3215644167157235,32.504261,41.165902,63.928881,88.488448,0.6638786956184777,14.021423,15.055062,23.850012,28.696281,24.249304,29.32161,33.372613,33.216238000000004,1.028805050804387,0.8113155346520957,0.24170587032506968
