// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
27842	-1.693067	1.879723	-7.050560
27843	-1.899869	1.194856	-7.454761
27844	-2.048710	0.408469	-7.798126
27845	-2.098003	-0.462581	-8.030745
27846	-2.029442	-1.415112	-8.139987
27847	-1.843288	-2.427519	-8.138428
27848	-1.523915	-3.479751	-8.087163
27849	-1.077971	-4.566717	-8.062745
27850	-0.516661	-5.675408	-8.085824
27851	0.101004	-6.775030	-8.113395
27852	0.692589	-7.867425	-8.106019
27853	1.217712	-8.962099	-8.080773
27854	1.714499	-10.059353	-8.100699
27855	2.233569	-11.145490	-8.207019
27856	2.812305	-12.198492	-8.400061
27857	3.431075	-13.190721	-8.686961
27858	4.089313	-14.121123	-9.093735
27859	4.795273	-14.995928	-9.606826
27860	5.567798	-15.848035	-10.176410
27861	6.433447	-16.684719	-10.799700
27862	7.361156	-17.503981	-11.453564
27863	8.303958	-18.281637	-12.080318
27864	9.211108	-19.026292	-12.586513
27865	10.055528	-19.763155	-12.885879
27866	10.857472	-20.516610	-12.957884
27867	11.626208	-21.293247	-12.802118
27868	12.332909	-22.124793	-12.391481
27869	12.941801	-23.032017	-11.691509
27870	13.415941	-24.014792	-10.679395
27871	13.747385	-25.041381	-9.385762
27872	13.935082	-26.075045	-7.876749
27873	13.999841	-27.051238	-6.228504
27874	13.977726	-27.909599	-4.517146
27875	13.905550	-28.620773	-2.829063
27876	13.773136	-29.190685	-1.253183
27877	13.622153	-29.627834	0.103689
27878	13.482396	-29.933517	0.969448
27879	13.396869	-30.070931	1.259357
27880	13.327407	-30.046537	1.220902
27881	13.211253	-29.897057	1.181885
27882	12.987154	-29.677090	1.327371
27883	12.642477	-29.415892	1.708161
27884	12.206485	-29.124693	2.243166
27885	11.800659	-28.705035	2.766304
27886	11.451932	-28.174990	3.191526
27887	11.016679	-27.778641	3.791696
27888	10.654774	-27.535294	4.656581
27889	10.735363	-27.291280	5.527541
27890	11.290123	-26.951000	6.105755
27891	12.069322	-26.464647	6.298086
27892	12.728714	-25.941856	6.317739
27893	13.116763	-25.503406	6.376467
27894	13.302207	-25.175396	6.542199
27895	13.360793	-24.878827	6.702643
27896	13.307652	-24.450057	6.673101
27897	13.158945	-23.828522	6.557385
27898	13.075575	-23.017322	6.435864
27899	12.898510	-22.314134	6.419844
27900	12.570018	-21.939765	6.676828
27901	12.239145	-21.910631	7.263877
27902	12.062013	-22.093156	8.130826
27903	12.146704	-22.229411	9.140649
27904	12.128387	-22.237802	10.310133
27905	11.995797	-21.853422	11.087979
27906	11.830912	-21.044755	11.092274
27907	11.521235	-19.931405	10.567201
27908	11.075772	-18.620251	9.768505
27909	10.608851	-17.219353	8.907943
27910	10.136599	-15.819147	8.154791
27911	9.710489	-14.597947	7.505058
27912	9.419891	-13.595650	6.946245
27913	9.268018	-12.773500	6.600502
27914	9.134909	-12.094798	6.503692
27915	8.975426	-11.519431	6.581971
27916	8.771313	-10.916885	6.708826
27917	8.561074	-10.272647	6.778886
27918	8.339700	-9.613564	6.734290
27919	8.081414	-8.949762	6.548045
27920	7.781564	-8.277930	6.219381
27921	7.498237	-7.548295	5.694749
27922	7.242316	-6.812720	5.049403
27923	7.014875	-6.133327	4.357942
27924	6.821957	-5.525644	3.645270
27925	6.660536	-4.959372	2.904244
27926	6.473716	-4.428322	2.155515
27927	6.263107	-3.931981	1.509114
27928	6.025464	-3.481791	0.970263
27929	5.752498	-3.098835	0.480368
27930	5.459673	-2.768583	0.042606
27931	5.177997	-2.473458	-0.298369
27932	4.935834	-2.164588	-0.536090
27933	4.731285	-1.829467	-0.692431
27934	4.526215	-1.491027	-0.811152
27935	4.321351	-1.164124	-0.890579
27936	4.107159	-0.853062	-0.928289
27937	3.888880	-0.550665	-0.942348
27938	3.678096	-0.223086	-0.955201
27939	3.479804	0.128726	-0.952399
27940	3.277484	0.499689	-0.940723
27941	3.058781	0.900124	-0.959774
27942	2.821507	1.330805	-1.010046
27943	2.568430	1.787506	-1.087728
27944	2.278099	2.259819	-1.191512
27945	1.911970	2.718412	-1.361654
27946	1.453646	3.114458	-1.632873
27947	1.020970	3.412006	-1.891248
27948	0.712198	3.577824	-2.016028
27949	0.529399	3.592644	-1.984625
27950	0.397796	3.489813	-1.852321
27951	0.258078	3.319774	-1.704471
27952	0.064378	3.109958	-1.680498
27953	-0.197192	2.872140	-1.863934
27954	-0.528905	2.585365	-2.262826
27955	-0.885727	2.247527	-2.806386
27956	-1.200325	1.843380	-3.391646
27957	-1.433678	1.365730	-3.968312
27958	-1.608221	0.768170	-4.488854
27959	-1.737448	0.060073	-4.938966
27960	-1.822014	-0.735346	-5.310030
27961	-1.848664	-1.607503	-5.595043
27962	-1.770914	-2.552386	-5.774466
27963	-1.571098	-3.548851	-5.860987
27964	-1.254742	-4.587761	-5.899719
27965	-0.828698	-5.659588	-5.955397
27966	-0.315405	-6.781552	-6.097873
27967	0.231399	-7.916884	-6.334302
27968	0.745126	-9.048135	-6.633720
27969	1.221140	-10.162386	-6.985258
27970	1.714299	-11.249392	-7.408086
27971	2.254382	-12.293750	-7.947604
27972	2.871606	-13.270567	-8.609847
27973	3.555019	-14.161244	-9.350028
27974	4.273335	-14.989376	-10.153173
27975	5.052788	-15.766357	-11.013334
27976	5.902248	-16.515896	-11.897999
27977	6.834712	-17.234135	-12.779941
27978	7.827910	-17.931002	-13.647749
27979	8.833406	-18.589339	-14.447652
27980	9.806530	-19.209985	-15.102784
27981	10.722840	-19.825217	-15.543236
27982	11.579782	-20.468895	-15.747119
27983	12.382402	-21.149413	-15.702391
27984	13.100615	-21.893023	-15.366175
27985	13.704410	-22.701629	-14.693398
27986	14.173978	-23.580108	-13.686202
27987	14.506221	-24.498770	-12.383429
27988	14.687708	-25.435284	-10.854340
27989	14.739240	-26.335824	-9.178388
27990	14.666425	-27.179137	-7.398489
27991	14.480492	-27.932018	-5.532417
27992	14.189512	-28.572358	-3.628613
27993	13.833505	-29.066145	-1.733830
27994	13.548284	-29.342863	-0.143865
27995	13.388078	-29.399388	0.870357
27996	13.339748	-29.305906	1.298160
27997	13.296132	-29.140711	1.391850
27998	13.239787	-28.845335	1.389796
27999	13.131935	-28.419041	1.453037
28000	12.943477	-27.893453	1.661849
28001	12.716143	-27.285553	2.019763
28002	12.485502	-26.590018	2.448230
28003	12.184599	-25.938254	2.960136
28004	11.739374	-25.564715	3.790701
28005	11.363827	-25.494418	4.937907
28006	11.275688	-25.605435	6.083008
28007	11.540777	-25.738883	6.871534
28008	11.982816	-25.792666	7.250445
28009	12.394983	-25.783056	7.372494
28010	12.716872	-25.742352	7.333336
28011	13.029824	-25.657145	7.119850
28012	13.436838	-25.410641	6.617975
28013	13.733286	-24.958956	5.773593
28014	13.784939	-24.301995	5.077220
28015	13.880450	-23.220222	4.517274
28016	13.485984	-22.337582	4.206354
28017	12.779017	-21.793112	4.126464
28018	12.345091	-21.448489	4.057011
28019	12.295005	-21.379184	4.501552
28020	12.491863	-21.458602	5.465324
28021	12.409220	-21.553909	6.558628
28022	12.170124	-21.309672	7.525462
28023	11.878757	-20.725624	7.888812
28024	11.519831	-19.846941	7.771618
28025	11.114354	-18.731764	7.292209
28026	10.671582	-17.481564	6.612565
28027	10.191425	-16.191926	6.023675
28028	9.692068	-14.986955	5.613226
28029	9.269578	-13.942187	5.367272
28030	9.045847	-13.026212	5.182477
28031	8.968129	-12.283885	5.117460
28032	8.923346	-11.633566	5.149499
28033	8.863408	-10.977333	5.140278
28034	8.752776	-10.325595	5.115273
28035	8.576685	-9.711465	5.009479
28036	8.329099	-9.099153	4.818269
28037	8.031039	-8.463827	4.527813
28038	7.723490	-7.759802	4.076113
28039	7.433196	-7.045234	3.523705
28040	7.178222	-6.385207	2.954209
28041	6.970061	-5.796680	2.409220
28042	6.787310	-5.249009	1.813780
28043	6.585841	-4.745746	1.207808
28044	6.365480	-4.263671	0.704537
28045	6.139920	-3.819736	0.306155
28046	5.910620	-3.406048	-0.048568
28047	5.697066	-3.013843	-0.367372
28048	5.489926	-2.633027	-0.632591
28049	5.287407	-2.251935	-0.845360
28050	5.080787	-1.857197	-1.034745
28051	4.850885	-1.454012	-1.211182
28052	4.585871	-1.052321	-1.370013
28053	4.301766	-0.655046	-1.488526
28054	4.009968	-0.248970	-1.565847
28055	3.725063	0.171112	-1.608043
28056	3.461275	0.611259	-1.612509
28057	3.225206	1.068985	-1.574044
28058	2.993088	1.545702	-1.520440
28059	2.751807	2.037339	-1.447339
28060	2.498044	2.540942	-1.392972
28061	2.199691	3.025644	-1.404218
28062	1.837634	3.453763	-1.498085
28063	1.484848	3.792755	-1.605643
28064	1.198138	4.024094	-1.665807
28065	0.993227	4.174190	-1.656697
28066	0.821018	4.268239	-1.577325
28067	0.639888	4.312071	-1.475084
28068	0.434750	4.303159	-1.456794
28069	0.199773	4.244165	-1.621527
28070	-0.071918	4.130137	-1.977638
28071	-0.369717	3.959262	-2.469467
28072	-0.691341	3.699976	-3.053642
28073	-0.983991	3.377004	-3.666508
28074	-1.246718	2.943177	-4.187049
28075	-1.464689	2.374002	-4.550433
28076	-1.624724	1.685022	-4.816090
28077	-1.727035	0.892521	-5.049938
28078	-1.756574	-0.002587	-5.224220
28079	-1.676469	-0.963426	-5.311265
28080	-1.466296	-1.985873	-5.348100
28081	-1.122814	-3.061752	-5.388555
28082	-0.646382	-4.193262	-5.470074
28083	-0.069688	-5.367949	-5.620790
28084	0.551481	-6.558461	-5.856381
28085	1.126529	-7.739038	-6.139987
28086	1.628382	-8.917427	-6.459485
28087	2.112092	-10.076263	-6.832556
28088	2.628089	-11.200077	-7.298550
28089	3.197182	-12.264216	-7.880753
28090	3.825634	-13.252261	-8.534893
28091	4.490340	-14.163485	-9.234915
28092	5.191217	-15.024284	-9.972718
28093	5.966166	-15.864807	-10.717235
28094	6.835106	-16.709593	-11.443213
28095	7.780323	-17.536008	-12.151262
28096	8.746576	-18.338561	-12.817785
28097	9.678547	-19.111045	-13.382147
28098	10.573763	-19.858549	-13.812414
28099	11.445893	-20.580076	-14.098096
28100	12.257345	-21.332431	-14.208943
28101	12.996233	-22.140513	-14.099533
28102	13.649281	-23.012479	-13.727726
28103	14.194834	-23.920548	-13.095428
28104	14.627534	-24.826106	-12.222720
28105	14.949471	-25.695796	-11.145761
28106	15.173010	-26.518309	-9.919556
28107	15.301400	-27.273337	-8.592573
28108	15.330893	-27.944425	-7.195072
28109	15.234646	-28.527061	-5.732501
28110	15.002117	-28.995257	-4.245916
28111	14.703226	-29.307565	-2.772747
28112	14.432621	-29.428664	-1.572708
28113	14.259803	-29.306467	-0.877294
28114	14.163705	-28.989146	-0.632868
28115	13.991630	-28.618680	-0.552854
28116	13.701196	-28.170793	-0.353952
28117	13.268962	-27.592129	0.079905
28118	12.680501	-26.928992	0.769920
28119	12.022412	-26.186388	1.645945
28120	11.324870	-25.438286	2.544881
28121	10.581260	-24.825961	3.601157
28122	10.063040	-24.409585	4.698931
28123	10.085462	-24.042214	5.434283
28124	10.748483	-23.695653	5.449628
28125	11.719368	-23.398306	4.981861
28126	12.453469	-23.247146	4.723350
28127	12.767229	-23.256388	5.029571
28128	12.871808	-23.350006	5.771732
28129	12.993538	-23.341088	6.604431
28130	13.162109	-23.003472	7.110603
28131	13.350216	-22.307561	6.878716
28132	13.223010	-21.643018	6.376106
28133	12.550677	-21.289871	6.608014
28134	12.007385	-20.989944	7.177145
28135	11.700891	-21.036249	7.592157
28136	11.771280	-21.254770	8.127648
28137	12.021547	-21.545430	8.898266
28138	12.046767	-21.769345	9.671687
28139	11.897904	-21.662289	10.279517
28140	11.666708	-21.135664	10.426538
28141	11.403491	-20.220911	9.946289
28142	11.111554	-19.033726	9.143267
28143	10.742189	-17.718018	8.335327
28144	10.301879	-16.350727	7.684117
28145	9.885337	-15.066146	7.244571
28146	9.553720	-14.007061	7.010736
28147	9.359389	-13.179508	6.995016
28148	9.253639	-12.502248	7.255119
28149	9.155791	-11.957843	7.807755
28150	9.035672	-11.413942	8.454117
28151	8.896651	-10.828400	9.035162
28152	8.727939	-10.211589	9.458131
28153	8.515230	-9.543770	9.652432
28154	8.243138	-8.814498	9.605854
28155	7.961476	-7.995146	9.308224
28156	7.684561	-7.143651	8.859064
28157	7.419968	-6.351797	8.347281
28158	7.181574	-5.643286	7.795260
28159	6.992816	-4.981456	7.187052
28160	6.802008	-4.339581	6.521814
28161	6.575391	-3.730688	5.884401
28162	6.298865	-3.182264	5.337647
28163	6.005348	-2.708273	4.887496
28164	5.745545	-2.256176	4.534362
28165	5.538858	-1.807178	4.236330
28166	5.350091	-1.357720	3.962997
28167	5.166602	-0.900429	3.696134
28168	4.964445	-0.434824	3.449793
28169	4.737597	0.024188	3.227290
28170	4.488662	0.478272	3.018192
28171	4.224484	0.926335	2.824807
28172	3.923288	1.363640	2.635360
28173	3.611687	1.781224	2.443073
28174	3.303841	2.182765	2.250045
28175	3.019711	2.591194	2.057793
28176	2.750212	3.012545	1.871929
28177	2.489974	3.452607	1.695679
28178	2.224018	3.913481	1.535252
28179	1.921720	4.382441	1.353179
28180	1.591308	4.789756	1.110162
28181	1.314030	5.060918	0.876988
28182	1.135549	5.203438	0.698859
28183	1.017646	5.274903	0.557016
28184	0.921143	5.309911	0.448720
28185	0.829087	5.298066	0.324359
28186	0.727328	5.219816	0.092967
28187	0.596947	5.084606	-0.280509
28188	0.400379	4.876042	-0.771886
