// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
56852	-1.305958	0.157264	-0.779499
56853	-1.302544	0.156011	-0.772402
56854	-1.299240	0.157037	-0.775731
56855	-1.296464	0.160266	-0.776651
56856	-1.292654	0.161616	-0.778885
56857	-1.291065	0.165023	-0.793274
56858	-1.289129	0.169376	-0.794811
56859	-1.288945	0.173191	-0.800981
56860	-1.286013	0.177914	-0.806075
56861	-1.285736	0.182536	-0.811369
56862	-1.286991	0.185951	-0.817536
56863	-1.289082	0.188441	-0.818581
56864	-1.293566	0.193158	-0.823525
56865	-1.300785	0.198226	-0.825898
56866	-1.309934	0.201727	-0.824392
56867	-1.317376	0.206586	-0.817418
56868	-1.324527	0.210965	-0.820155
56869	-1.331830	0.211845	-0.826130
56870	-1.339501	0.215758	-0.832834
56871	-1.348364	0.220547	-0.829491
56872	-1.353520	0.225801	-0.836471
56873	-1.358424	0.231582	-0.841074
56874	-1.362101	0.234748	-0.845926
56875	-1.362338	0.239390	-0.848316
56876	-1.363823	0.242992	-0.847856
56877	-1.364612	0.245492	-0.854604
56878	-1.364178	0.249155	-0.853687
56879	-1.362742	0.252566	-0.858449
56880	-1.358396	0.257167	-0.861317
56881	-1.355735	0.260965	-0.873790
56882	-1.352989	0.263774	-0.875238
56883	-1.347407	0.266445	-0.894436
56884	-1.341316	0.269192	-0.893192
56885	-1.335148	0.272053	-0.911060
56886	-1.330131	0.273473	-0.904430
56887	-1.324424	0.276231	-0.910347
56888	-1.318038	0.279491	-0.901373
56889	-1.314352	0.281581	-0.899521
56890	-1.310657	0.284221	-0.894079
56891	-1.307408	0.289851	-0.909825
56892	-1.302132	0.294141	-0.908674
56893	-1.300883	0.298476	-0.918517
56894	-1.296184	0.301624	-0.913759
56895	-1.294019	0.305031	-0.917468
56896	-1.292847	0.311353	-0.910487
56897	-1.290543	0.315524	-0.909432
56898	-1.288908	0.319107	-0.902510
