// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
43729	16.158503	-2.868708	8.922934
43730	16.981068	-2.736917	9.060997
43731	17.916835	-2.583507	9.114165
43732	18.916831	-2.397486	9.034617
43733	20.017951	-2.166309	8.792792
43734	21.174587	-1.907896	8.490194
43735	22.408418	-1.640194	8.169379
43736	23.703934	-1.371036	7.886190
43737	25.079099	-1.044185	7.607775
43738	26.495810	-0.721244	7.357066
43739	27.956099	-0.408003	7.105489
43740	29.522786	-0.124705	6.884892
43741	31.162433	0.192692	6.628467
43742	32.803754	0.565754	6.235833
43743	34.439506	0.995781	5.679493
43744	36.107765	1.515791	5.024849
43745	37.797624	2.179652	4.232780
43746	39.496935	3.004836	3.336812
43747	41.186601	3.946353	2.433307
43748	42.850994	4.957601	1.584758
43749	44.457973	5.949833	0.832550
43750	45.986418	6.899980	0.204926
43751	47.454654	7.828822	-0.373697
43752	48.816202	8.731135	-0.897026
43753	50.007891	9.531616	-1.409825
43754	51.002234	10.278540	-1.851968
43755	51.944155	10.945901	-2.345084
43756	52.724075	11.438042	-2.848914
43757	53.090529	12.128030	-3.449451
43758	53.068217	12.969355	-4.126822
43759	52.750117	13.726488	-4.752544
43760	52.252753	14.235865	-5.248654
43761	51.640040	14.476137	-5.643637
43762	50.935333	14.577563	-5.992296
43763	50.092869	14.594723	-6.317325
43764	49.072020	14.546612	-6.596029
43765	47.819418	14.438704	-6.850065
43766	46.382398	14.176487	-7.032838
43767	44.772207	13.747957	-7.160697
43768	43.007071	13.206796	-7.268446
43769	41.085825	12.542033	-7.368035
43770	39.060073	11.743939	-7.448337
43771	36.942968	10.783895	-7.458907
43772	34.767492	9.694403	-7.358725
43773	32.491809	8.599545	-7.211479
43774	30.110814	7.602463	-7.098207
43775	27.620395	6.714819	-7.102261
43776	25.079131	5.844868	-7.139781
43777	22.485451	4.983154	-7.243979
43778	19.877957	4.041118	-7.243967
43779	17.211650	3.014544	-7.099726
43780	14.489910	1.940196	-6.722182
43781	11.719431	0.871441	-6.131975
43782	8.973157	-0.101271	-5.409584
43783	6.286279	-0.979759	-4.463579
43784	3.662773	-1.720260	-3.360685
43785	1.083710	-2.315896	-2.074853
43786	-1.377171	-2.755016	-0.713970
43787	-3.624355	-3.048171	0.608605
43788	-5.566181	-3.234088	1.761058
43789	-7.217717	-3.341212	2.689369
43790	-8.545131	-3.442262	3.429113
43791	-9.512465	-3.566321	4.083300
43792	-10.096825	-3.687527	4.697030
43793	-10.297321	-3.811777	5.232944
43794	-10.144590	-3.972630	5.568736
43795	-9.668931	-4.210414	5.684809
43796	-8.932807	-4.526746	5.417134
43797	-7.938933	-4.731291	4.989031
