// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
63993	0.243032	-0.041603	-0.115220
63994	0.243506	-0.040964	-0.114888
63995	0.243830	-0.040791	-0.115459
63996	0.244899	-0.040297	-0.113771
63997	0.245122	-0.039052	-0.112811
63998	0.244975	-0.037358	-0.113889
63999	0.245097	-0.035041	-0.111398
64000	0.245946	-0.034815	-0.113711
64001	0.246180	-0.031990	-0.113244
64002	0.247582	-0.029972	-0.112297
64003	0.248266	-0.026453	-0.112751
64004	0.250806	-0.024767	-0.112418
64005	0.249458	-0.025273	-0.111818
64006	0.251729	-0.023166	-0.109983
64007	0.251179	-0.021215	-0.109694
64008	0.251614	-0.022718	-0.111088
64009	0.252276	-0.022358	-0.110556
64010	0.251299	-0.022774	-0.111426
64011	0.250839	-0.023474	-0.112176
64012	0.250106	-0.024879	-0.113827
64013	0.249635	-0.027159	-0.114085
64014	0.251062	-0.026829	-0.114100
64015	0.250693	-0.030180	-0.115889
64016	0.251977	-0.028588	-0.112187
64017	0.251170	-0.031051	-0.113547
64018	0.250709	-0.031082	-0.115603
64019	0.250250	-0.031781	-0.116353
64020	0.250231	-0.031274	-0.117156
64021	0.248201	-0.033725	-0.118267
64022	0.247238	-0.033958	-0.118387
64023	0.245789	-0.033391	-0.116254
64024	0.245059	-0.036277	-0.120166
64025	0.243827	-0.036271	-0.121587
64026	0.243659	-0.038801	-0.121084
64027	0.244219	-0.037368	-0.119020
64028	0.243075	-0.039161	-0.121493
64029	0.243300	-0.037912	-0.120529
64030	0.242978	-0.038011	-0.119066
64031	0.242622	-0.039780	-0.121345
64032	0.243803	-0.039340	-0.122007
64033	0.242560	-0.040915	-0.122936
64034	0.242669	-0.040564	-0.120516
64035	0.241865	-0.043026	-0.121875
64036	0.241879	-0.042753	-0.118222
64037	0.242092	-0.043085	-0.116767
64038	0.242007	-0.045268	-0.118630
64039	0.242334	-0.045089	-0.119196
64040	0.242496	-0.046071	-0.119295
64041	0.243598	-0.046597	-0.119190
64042	0.243604	-0.047274	-0.120603
64043	0.243482	-0.047789	-0.120249
64044	0.245079	-0.048169	-0.120706
64045	0.244622	-0.048866	-0.121454
64046	0.246126	-0.046493	-0.120118
64047	0.248002	-0.047723	-0.119340
