// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
57584	0.228636	-0.070390	-0.251380
57585	0.228708	-0.070763	-0.254284
57586	0.228739	-0.069313	-0.255480
57587	0.226894	-0.064558	-0.254404
57588	0.224675	-0.062560	-0.251204
57589	0.225714	-0.059956	-0.252101
57590	0.225133	-0.057682	-0.254569
57591	0.226256	-0.054368	-0.253379
57592	0.227997	-0.053302	-0.253997
57593	0.231204	-0.053695	-0.252614
57594	0.232722	-0.051166	-0.248070
57595	0.234362	-0.048886	-0.240977
57596	0.237804	-0.046716	-0.233279
57597	0.242211	-0.047630	-0.226750
57598	0.243731	-0.047707	-0.222409
57599	0.248271	-0.047410	-0.219039
57600	0.249881	-0.046816	-0.212071
57601	0.252402	-0.047727	-0.209931
57602	0.255625	-0.050511	-0.207451
57603	0.260149	-0.050386	-0.202331
57604	0.262515	-0.050411	-0.195252
57605	0.263300	-0.050070	-0.191575
57606	0.265526	-0.054496	-0.191858
57607	0.269896	-0.055617	-0.192666
57608	0.271272	-0.061087	-0.188934
57609	0.274653	-0.065353	-0.190004
57610	0.278775	-0.071772	-0.192062
57611	0.284338	-0.078870	-0.192607
57612	0.288707	-0.085420	-0.189983
57613	0.291439	-0.089860	-0.193797
57614	0.293874	-0.093578	-0.197707
57615	0.296725	-0.096970	-0.202932
57616	0.298583	-0.099720	-0.216207
57617	0.298949	-0.102909	-0.222976
57618	0.298142	-0.103380	-0.229189
57619	0.296994	-0.103394	-0.235488
57620	0.297160	-0.106363	-0.240869
57621	0.294379	-0.104249	-0.245288
57622	0.295657	-0.104841	-0.253050
57623	0.294836	-0.107485	-0.255877
57624	0.292053	-0.107529	-0.253307
57625	0.290100	-0.109110	-0.257439
57626	0.290016	-0.111129	-0.257341
57627	0.289744	-0.114480	-0.257764
57628	0.289038	-0.114507	-0.260375
57629	0.287336	-0.113981	-0.258236
57630	0.286713	-0.115558	-0.253547
57631	0.287209	-0.117691	-0.252635
57632	0.287015	-0.120310	-0.254024
57633	0.287732	-0.120519	-0.254181
57634	0.286009	-0.121308	-0.252881
57635	0.286791	-0.120989	-0.249197
57636	0.285977	-0.119924	-0.250569
57637	0.285591	-0.118888	-0.244690
57638	0.285722	-0.119358	-0.248859
57639	0.287533	-0.120982	-0.244210
57640	0.288890	-0.125058	-0.248840
57641	0.288233	-0.126304	-0.247483
57642	0.286044	-0.122559	-0.251929
57643	0.282835	-0.124127	-0.255954
57644	0.281527	-0.126032	-0.263699
57645	0.279690	-0.126565	-0.269238
57646	0.275977	-0.127425	-0.274133
57647	0.272850	-0.128295	-0.276066
57648	0.269853	-0.129340	-0.282794
57649	0.267876	-0.131101	-0.285172
57650	0.264957	-0.135510	-0.295906
57651	0.264112	-0.138338	-0.296980
57652	0.262597	-0.140339	-0.300170
57653	0.262985	-0.143359	-0.299597
57654	0.264396	-0.144077	-0.301948
57655	0.269226	-0.152061	-0.298252
57656	0.270509	-0.157300	-0.287668
57657	0.272695	-0.161045	-0.284798
57658	0.275579	-0.163563	-0.292074
57659	0.278265	-0.168364	-0.292395
57660	0.278737	-0.169891	-0.291579
57661	0.280330	-0.173271	-0.296706
57662	0.283280	-0.173335	-0.296279
57663	0.283563	-0.177234	-0.296047
57664	0.284980	-0.179596	-0.286595
57665	0.288075	-0.180897	-0.285550
57666	0.290679	-0.182871	-0.287126
57667	0.293004	-0.185389	-0.287416
57668	0.294893	-0.188112	-0.287637
57669	0.299177	-0.189946	-0.290543
57670	0.302593	-0.194030	-0.298559
