// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
63993	-0.412545	0.526156	1.546789
63994	-0.415247	0.529865	1.535348
63995	-0.417528	0.533267	1.523345
63996	-0.421412	0.534329	1.507704
63997	-0.427948	0.534649	1.490470
63998	-0.431184	0.537821	1.478731
63999	-0.435040	0.538147	1.461418
64000	-0.437859	0.540165	1.441641
64001	-0.438357	0.541676	1.427153
64002	-0.439694	0.542348	1.412767
64003	-0.439007	0.542617	1.405652
64004	-0.437472	0.544362	1.399966
64005	-0.436180	0.545883	1.398508
64006	-0.432681	0.548286	1.392893
64007	-0.430494	0.547927	1.402063
64008	-0.426622	0.551572	1.407110
64009	-0.423782	0.553353	1.414776
64010	-0.422849	0.554229	1.424667
64011	-0.421603	0.554855	1.430369
64012	-0.420051	0.555076	1.429524
64013	-0.417065	0.556705	1.431685
64014	-0.415962	0.558867	1.435835
64015	-0.414398	0.562934	1.434471
64016	-0.413657	0.564098	1.436087
64017	-0.414100	0.564612	1.438166
64018	-0.413784	0.565690	1.438990
64019	-0.411306	0.565959	1.444903
64020	-0.410838	0.567952	1.451845
64021	-0.409254	0.567264	1.463105
64022	-0.405783	0.567556	1.469457
64023	-0.404169	0.569672	1.476905
64024	-0.404181	0.569583	1.480620
64025	-0.404694	0.570165	1.485448
64026	-0.405665	0.569383	1.487584
64027	-0.405939	0.568778	1.488564
64028	-0.407286	0.569696	1.488347
64029	-0.407873	0.569422	1.488171
64030	-0.411264	0.572565	1.488831
64031	-0.411298	0.570772	1.485963
64032	-0.411616	0.571112	1.480766
64033	-0.410294	0.571651	1.483709
64034	-0.409812	0.571216	1.485640
64035	-0.408928	0.570325	1.489583
64036	-0.407273	0.569735	1.491705
64037	-0.405929	0.569293	1.499053
64038	-0.400819	0.571336	1.502823
64039	-0.400320	0.570843	1.508359
64040	-0.398220	0.572460	1.516762
64041	-0.396052	0.573045	1.521514
64042	-0.395534	0.573846	1.514223
64043	-0.393658	0.572868	1.514472
64044	-0.391073	0.572057	1.509152
64045	-0.387749	0.571442	1.509117
64046	-0.384861	0.572470	1.502686
64047	-0.380361	0.569675	1.502267
64048	-0.376799	0.571764	1.495424
64049	-0.373952	0.572597	1.495329
64050	-0.372078	0.574085	1.489933
64051	-0.370276	0.572263	1.485179
64052	-0.369256	0.570382	1.475219
64053	-0.367288	0.567446	1.469368
64054	-0.367343	0.565211	1.461759
64055	-0.366110	0.565885	1.455293
64056	-0.366500	0.563843	1.451082
