// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
63993	0.383725	0.611073	1.423097
63994	0.382783	0.612559	1.416441
63995	0.381219	0.611691	1.414371
63996	0.379670	0.609751	1.410244
63997	0.378061	0.611246	1.408250
63998	0.376162	0.610339	1.403472
63999	0.377669	0.609147	1.394977
64000	0.377053	0.607486	1.385347
64001	0.377783	0.607444	1.375567
64002	0.378659	0.608141	1.363745
64003	0.378523	0.608341	1.355899
64004	0.381381	0.605376	1.356707
64005	0.384543	0.606353	1.352237
64006	0.385053	0.606119	1.355586
64007	0.389547	0.605335	1.360202
64008	0.393231	0.604042	1.368830
64009	0.396009	0.603596	1.373407
64010	0.398452	0.604147	1.380536
64011	0.402756	0.603613	1.383854
64012	0.404564	0.604628	1.384269
64013	0.408869	0.604094	1.387587
64014	0.410490	0.604946	1.390018
64015	0.412887	0.605003	1.391998
64016	0.413599	0.604911	1.391822
64017	0.417362	0.602913	1.395073
64018	0.420959	0.602447	1.395817
64019	0.424531	0.600701	1.397770
64020	0.429869	0.597630	1.397034
64021	0.429422	0.597464	1.398925
64022	0.432010	0.596686	1.388733
64023	0.435729	0.597048	1.392064
64024	0.437694	0.593816	1.393383
64025	0.439347	0.592802	1.397908
64026	0.439655	0.593088	1.396077
64027	0.439679	0.593330	1.397346
64028	0.439198	0.590937	1.397351
64029	0.439691	0.591586	1.397997
64030	0.438699	0.592582	1.396659
64031	0.440175	0.591684	1.395977
64032	0.440785	0.590517	1.398825
64033	0.441279	0.591165	1.399471
64034	0.443020	0.591339	1.396858
64035	0.446200	0.590235	1.400122
64036	0.448657	0.589967	1.404735
64037	0.451250	0.589763	1.408015
64038	0.454112	0.589188	1.413680
64039	0.457847	0.589411	1.413103
64040	0.462088	0.589471	1.410287
64041	0.465151	0.589674	1.412944
64042	0.467743	0.589430	1.423286
64043	0.469815	0.591310	1.431183
64044	0.475205	0.592076	1.439169
64045	0.477162	0.595264	1.446460
64046	0.479358	0.595968	1.442388
64047	0.479971	0.600955	1.440595
64048	0.482214	0.602686	1.438924
64049	0.483456	0.604408	1.437030
64050	0.483806	0.605147	1.437875
64051	0.483717	0.606695	1.438541
64052	0.484471	0.608148	1.433942
64053	0.486290	0.609097	1.435941
64054	0.485579	0.611490	1.431377
64055	0.485500	0.612910	1.428133
64056	0.486449	0.612594	1.419853
64057	0.485635	0.612809	1.415243
64058	0.484017	0.613243	1.411046
64059	0.483396	0.613199	1.407734
64060	0.480146	0.613981	1.399034
64061	0.476298	0.614232	1.393039
64062	0.471081	0.616607	1.388780
64063	0.468598	0.614795	1.384049
64064	0.466379	0.614437	1.373476
64065	0.463780	0.613935	1.368140
64066	0.461745	0.613315	1.360418
64067	0.459295	0.614917	1.356466
64068	0.458031	0.616107	1.354222
64069	0.456820	0.617086	1.354838
64070	0.454935	0.619429	1.352987
64071	0.455639	0.619683	1.351025
64072	0.457318	0.621356	1.348133
64073	0.457940	0.620682	1.349389
64074	0.459280	0.620323	1.357139
64075	0.459510	0.620291	1.359711
64076	0.459121	0.621199	1.362300
64077	0.458148	0.619553	1.364128
64078	0.457436	0.621483	1.370475
64079	0.456806	0.621682	1.374986
64080	0.455995	0.619552	1.375191
64081	0.456033	0.619778	1.376466
64082	0.453864	0.619976	1.378159
64083	0.451997	0.620801	1.378103
64084	0.447705	0.621283	1.377481
64085	0.444249	0.621012	1.374086
64086	0.438889	0.623655	1.368987
64087	0.434849	0.624283	1.365611
64088	0.427999	0.624168	1.366040
64089	0.425317	0.622856	1.367836
64090	0.419539	0.621684	1.368412
64091	0.415930	0.619427	1.367544
64092	0.413041	0.618278	1.363233
64093	0.407335	0.616877	1.359738
64094	0.402941	0.614178	1.349732
64095	0.397429	0.612516	1.347536
64096	0.391603	0.609806	1.345988
64097	0.385509	0.609042	1.343811
64098	0.378581	0.607952	1.344893
64099	0.372686	0.606805	1.340104
64100	0.365440	0.604972	1.336765
64101	0.359117	0.606706	1.329471
64102	0.350283	0.607123	1.333005
64103	0.343999	0.606611	1.329535
64104	0.337657	0.610578	1.321766
64105	0.330007	0.612247	1.320948
64106	0.322001	0.613863	1.317333
64107	0.314587	0.618443	1.310772
64108	0.306161	0.622587	1.302417
64109	0.297740	0.625287	1.296410
64110	0.292856	0.626549	1.292090
64111	0.285017	0.628469	1.289975
64112	0.276087	0.633403	1.293051
64113	0.269644	0.636678	1.292976
64114	0.265944	0.639755	1.299426
64115	0.260865	0.640969	1.300610
64116	0.255988	0.643906	1.300619
64117	0.253626	0.646659	1.301280
64118	0.250939	0.649008	1.303965
64119	0.247606	0.653179	1.302051
64120	0.243014	0.655887	1.303077
64121	0.242676	0.656730	1.305670
64122	0.240899	0.657784	1.308620
64123	0.237144	0.659299	1.311153
64124	0.233067	0.662676	1.315053
64125	0.230168	0.663961	1.315646
64126	0.223744	0.666243	1.314548
64127	0.221429	0.666627	1.315121
64128	0.218031	0.666970	1.316891
64129	0.213738	0.666896	1.315445
64130	0.211434	0.668058	1.315538
64131	0.206947	0.668244	1.312795
64132	0.203407	0.665642	1.311265
64133	0.200122	0.667322	1.305354
64134	0.195930	0.667200	1.298921
64135	0.190050	0.666024	1.294139
64136	0.185456	0.664248	1.293383
64137	0.182140	0.662628	1.290602
64138	0.176561	0.662109	1.294141
64139	0.173127	0.661920	1.294668
64140	0.170386	0.661366	1.294754
64141	0.168271	0.661481	1.296628
64142	0.162495	0.661912	1.298105
64143	0.161894	0.661832	1.294800
64144	0.158571	0.662238	1.290360
64145	0.154792	0.660082	1.284293
64146	0.152658	0.660279	1.281870
64147	0.148762	0.659672	1.283022
64148	0.145917	0.660650	1.285369
64149	0.140780	0.660789	1.285869
64150	0.137241	0.660364	1.285477
64151	0.134933	0.660497	1.278233
64152	0.130046	0.663024	1.273396
64153	0.126497	0.663902	1.265500
64154	0.121795	0.665384	1.258739
64155	0.118053	0.666638	1.253458
64156	0.115350	0.667115	1.244386
64157	0.113629	0.666462	1.241033
64158	0.112948	0.666398	1.239107
64159	0.106454	0.668469	1.234445
64160	0.104141	0.667617	1.232019
64161	0.101374	0.667447	1.229312
64162	0.096070	0.668785	1.226672
64163	0.092136	0.670294	1.220097
64164	0.086539	0.671324	1.210949
64165	0.081407	0.671094	1.199721
64166	0.074199	0.673481	1.191412
64167	0.070730	0.675279	1.180303
64168	0.065626	0.676388	1.172922
64169	0.061620	0.676836	1.165655
64170	0.063857	0.673686	1.151617
64171	0.081759	0.653579	1.124532
64172	0.105740	0.638687	1.065737
64173	0.128822	0.635759	0.956153
64174	0.127366	0.646242	0.801491
64175	0.130834	0.644137	0.625260
64176	0.186794	0.602633	0.442880
64177	0.238968	0.556199	0.338864
64178	0.259775	0.538897	0.326949
64179	0.267318	0.528326	0.398767
64180	0.271603	0.506845	0.503053
64181	0.280528	0.478441	0.584613
64182	0.296550	0.453373	0.613504
64183	0.313051	0.443160	0.608870
64184	0.306068	0.458148	0.596295
64185	0.292390	0.486539	0.570496
64186	0.271595	0.524026	0.519316
64187	0.254725	0.564894	0.438068
64188	0.243667	0.615441	0.329539
64189	0.230419	0.685860	0.209357
64190	0.209008	0.779332	0.092064
64191	0.194842	0.876013	-0.011403
64192	0.178713	0.985862	-0.116118
64193	0.167784	1.108591	-0.224831
64194	0.163588	1.240308	-0.342397
64195	0.162529	1.385392	-0.465322
64196	0.163984	1.545408	-0.594967
64197	0.166452	1.713522	-0.720466
64198	0.164856	1.883336	-0.856170
64199	0.162659	2.061492	-0.992786
64200	0.189720	2.248167	-1.150645
64201	0.232749	2.446383	-1.341919
64202	0.259746	2.660220	-1.574450
64203	0.289742	2.881556	-1.814207
64204	0.341260	3.113115	-2.057266
64205	0.401348	3.356951	-2.261483
64206	0.469261	3.587728	-2.416200
64207	0.549360	3.789281	-2.478809
64208	0.651290	3.979643	-2.492092
64209	0.759778	4.158974	-2.475558
64210	0.866886	4.326964	-2.477951
64211	0.949171	4.489724	-2.527499
64212	1.011167	4.646441	-2.629179
64213	1.035459	4.807982	-2.782879
64214	1.025574	4.957095	-2.963678
64215	1.014183	5.078747	-3.152592
64216	0.989861	5.183837	-3.334187
64217	0.961693	5.283072	-3.498952
64218	0.953373	5.368386	-3.656168
64219	0.943126	5.463682	-3.814797
64220	0.920794	5.569584	-3.984410
64221	0.886310	5.682403	-4.169805
64222	0.843938	5.787677	-4.366386
64223	0.814827	5.879184	-4.578324
64224	0.794217	5.977811	-4.790443
64225	0.763611	6.083124	-4.991883
64226	0.722934	6.191576	-5.173856
64227	0.705951	6.285401	-5.279419
64228	0.715718	6.372896	-5.331485
64229	0.725748	6.471332	-5.361734
64230	0.733296	6.570315	-5.372782
64231	0.742352	6.666557	-5.392905
64232	0.751238	6.761791	-5.427086
64233	0.760517	6.849232	-5.458569
64234	0.759412	6.939767	-5.497508
64235	0.750938	7.048324	-5.543064
64236	0.736907	7.168809	-5.586923
64237	0.750199	7.283914	-5.641255
64238	0.775062	7.416909	-5.722833
64239	0.791462	7.567736	-5.830891
64240	0.812342	7.741768	-6.000252
64241	0.850355	7.944591	-6.225221
64242	0.898340	8.175164	-6.511704
64243	0.964471	8.422946	-6.865566
64244	1.071108	8.681884	-7.250076
64245	1.189979	8.955397	-7.656056
64246	1.329165	9.225990	-8.061722
64247	1.535429	9.477889	-8.456327
64248	1.745837	9.730565	-8.815138
64249	1.942160	9.987328	-9.109077
64250	2.155979	10.225001	-9.349658
64251	2.398943	10.432402	-9.507925
64252	2.706205	10.588023	-9.598478
64253	3.049769	10.744610	-9.712949
64254	3.405876	10.941608	-9.894674
64255	3.741030	11.205779	-10.201303
64256	4.144115	11.483706	-10.623694
64257	4.756874	11.689236	-11.090510
64258	5.502911	11.918807	-11.630386
64259	6.229458	12.333310	-12.325699
64260	6.930776	12.890914	-13.090480
64261	7.566858	13.469400	-13.745675
64262	8.239930	13.931180	-14.189129
64263	9.062019	14.271876	-14.411022
64264	9.999091	14.567903	-14.419976
64265	10.930394	14.884023	-14.302115
64266	11.827483	15.200236	-14.137175
