// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43856
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
47671	3.061522	-6.555234	-168.820749
47672	3.388480	-7.637244	-169.205736
47673	3.716080	-8.751946	-169.621644
47674	4.040166	-9.878776	-170.004171
47675	4.398323	-11.011998	-170.292894
47676	4.754221	-12.152214	-170.397899
47677	5.128566	-13.309593	-170.285735
47678	5.453918	-14.508027	-169.989888
47679	5.762778	-15.751937	-169.468422
47680	6.058409	-17.007104	-168.719112
47681	6.334907	-18.275904	-167.753916
47682	6.521769	-19.570630	-166.575945
47683	6.617677	-20.901216	-165.229293
47684	6.637366	-22.243354	-163.836270
47685	6.633223	-23.591803	-162.546414
47686	6.684469	-24.900800	-161.489587
47687	6.827503	-26.111961	-160.719473
47688	7.055463	-27.232808	-160.193474
47689	7.337429	-28.249575	-159.854934
47690	7.679891	-29.160351	-159.670177
47691	8.072966	-29.961685	-159.614455
47692	8.496171	-30.662320	-159.623378
47693	8.933597	-31.267606	-159.628107
47694	9.362246	-31.795268	-159.589146
47695	9.734420	-32.264328	-159.451524
47696	10.075723	-32.683021	-159.248445
47697	10.391949	-33.045639	-159.011684
47698	10.688011	-33.345760	-158.782590
47699	10.932791	-33.564366	-158.532278
47700	11.049629	-33.717299	-158.217781
47701	11.017264	-33.823316	-157.834673
47702	10.811490	-33.894781	-157.354425
47703	10.468973	-33.923465	-156.774673
47704	10.063637	-33.940869	-156.158521
47705	9.646110	-34.003801	-155.556412
47706	9.234151	-34.165815	-154.965784
47707	8.902789	-34.372509	-154.412789
47708	8.681949	-34.565116	-153.934757
47709	8.568041	-34.713112	-153.554356
47710	8.612561	-34.789623	-153.399931
47711	8.872912	-34.814756	-153.529815
47712	9.277216	-34.839960	-153.762939
47713	9.654561	-34.958196	-153.858064
47714	9.953623	-35.183645	-153.890472
