// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43859
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
47671	43.317639	19.218136	-158.340696
47672	43.499013	19.909136	-159.192966
47673	43.353252	20.955000	-160.355372
47674	42.717698	22.244336	-161.527758
47675	41.689605	23.523403	-162.697718
47676	40.372563	24.535849	-163.948112
47677	38.918079	25.088598	-165.179222
47678	37.490496	25.085775	-166.319748
47679	36.123432	24.680569	-167.419557
47680	34.694520	24.047618	-168.418648
47681	33.186331	23.242245	-169.328200
47682	31.576135	22.236810	-170.148428
47683	29.860563	21.072496	-170.901435
47684	28.040085	19.791965	-171.573716
47685	26.176310	18.397292	-172.059902
47686	24.265402	16.919603	-172.440093
47687	22.304855	15.432739	-172.784375
47688	20.290306	13.949041	-173.036168
47689	18.204112	12.504393	-173.256609
47690	15.990029	11.102112	-173.485873
47691	13.700584	9.698803	-173.690432
47692	11.379123	8.237226	-173.894839
47693	9.056077	6.691870	-174.094031
47694	6.707556	5.090683	-174.217756
47695	4.355365	3.459986	-174.305807
47696	2.007268	1.798709	-174.331545
47697	-0.308048	0.122915	-174.226009
47698	-2.573161	-1.577172	-174.083716
47699	-4.751444	-3.283829	-173.882853
47700	-6.846164	-4.948018	-173.503462
47701	-8.882839	-6.487914	-172.892269
47702	-10.838216	-7.845485	-172.000696
47703	-12.677950	-8.986630	-170.859294
47704	-14.385545	-9.951740	-169.642011
47705	-15.931427	-10.741425	-168.553304
47706	-17.284153	-11.364186	-167.739084
47707	-18.391044	-11.823857	-167.148271
47708	-19.196299	-12.085064	-166.582207
47709	-19.690654	-12.102492	-166.016770
47710	-19.904531	-11.882332	-165.497299
47711	-19.810990	-11.495073	-165.060327
47712	-19.334689	-11.003034	-164.699244
47713	-18.510269	-10.406185	-164.510742
47714	-17.396021	-9.686681	-164.478946
47715	-15.924422	-9.018210	-164.568460
47716	-14.210695	-8.602044	-164.842522
47717	-12.821468	-8.214869	-165.568504
47718	-11.994232	-7.685758	-166.539797
47719	-11.341217	-7.206803	-166.995737
47720	-10.445871	-6.850708	-166.788853
47721	-9.376878	-6.392115	-166.315428
47722	-8.196765	-5.883480	-165.437950
47723	-7.090743	-5.296205	-164.286969
47724	-6.013758	-4.626715	-163.146326
47725	-4.910901	-4.047394	-162.104710
47726	-3.864305	-3.663586	-161.152311
47727	-2.892647	-3.395436	-160.436505
47728	-1.961564	-3.153099	-160.072896
47729	-1.001352	-2.931184	-160.076811
47730	-0.129305	-2.661840	-160.290702
47731	0.472619	-2.290965	-160.411103
47732	1.013331	-2.008004	-160.236239
47733	1.686085	-1.892791	-159.731823
47734	2.344119	-1.810534	-159.018313
47735	2.917382	-1.725810	-158.252578
47736	3.469427	-1.703548	-157.513998
47737	3.971414	-1.736303	-156.911918
47738	4.459927	-1.777732	-156.497770
47739	4.940065	-1.809652	-156.290470
47740	5.322073	-1.750728	-156.225317
47741	5.635384	-1.660469	-156.193006
47742	5.975796	-1.616847	-156.146303
47743	6.322399	-1.624718	-156.071934
47744	6.644222	-1.641459	-155.940500
47745	6.934261	-1.682773	-155.773656
47746	7.237918	-1.765898	-155.605501
47747	7.529767	-1.866840	-155.481891
47748	7.803969	-1.951934	-155.416138
47749	8.018338	-2.009165	-155.369511
47750	8.210168	-2.072248	-155.281719
