// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B43773
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.4
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Roll	Pitch	Yaw
57584	0.004598	-0.043774	1.071471
57585	0.004614	-0.043358	1.085976
57586	0.004713	-0.042676	1.086785
57587	0.005406	-0.041246	1.102170
57588	0.005585	-0.040330	1.101019
57589	0.008087	-0.038043	1.105306
57590	0.008634	-0.037266	1.104964
57591	0.009590	-0.035874	1.101680
57592	0.010029	-0.034281	1.103338
57593	0.009355	-0.033667	1.111535
57594	0.009988	-0.036040	1.111080
57595	0.009859	-0.036748	1.108358
57596	0.010434	-0.037021	1.107979
57597	0.009712	-0.037513	1.121747
57598	0.010373	-0.040937	1.121254
57599	0.010249	-0.040688	1.126738
57600	0.011668	-0.042055	1.125980
57601	0.012905	-0.045036	1.136833
57602	0.013480	-0.045309	1.136454
57603	0.012865	-0.047092	1.131755
57604	0.012991	-0.047461	1.132528
57605	0.011310	-0.048217	1.137851
57606	0.009068	-0.048222	1.137687
57607	0.009960	-0.049924	1.157598
57608	0.008085	-0.050068	1.158244
57609	0.008114	-0.051012	1.160970
57610	0.007452	-0.052389	1.162047
57611	0.005791	-0.052966	1.164401
57612	0.004593	-0.051288	1.166744
57613	0.004040	-0.052817	1.187779
57614	0.002532	-0.053100	1.189235
57615	0.002755	-0.053693	1.207957
57616	0.001667	-0.052829	1.208300
57617	0.001870	-0.052551	1.216814
57618	0.001994	-0.052920	1.217589
57619	0.001437	-0.052576	1.231096
57620	0.003532	-0.052120	1.232036
57621	0.004405	-0.053088	1.245001
57622	0.005205	-0.051634	1.247472
57623	0.006748	-0.049617	1.241304
57624	0.007321	-0.049890	1.240929
57625	0.008118	-0.048648	1.251834
57626	0.007846	-0.047827	1.251838
57627	0.007628	-0.047300	1.257373
57628	0.007245	-0.045664	1.259375
57629	0.006367	-0.046528	1.259745
57630	0.005278	-0.045664	1.260090
57631	0.005039	-0.046273	1.268114
57632	0.003554	-0.044219	1.267687
57633	0.003442	-0.044657	1.284367
57634	0.003198	-0.044886	1.284333
57635	0.004365	-0.045602	1.294755
57636	0.004092	-0.044781	1.294759
57637	0.004294	-0.048260	1.296955
57638	0.004419	-0.048630	1.297732
57639	0.004759	-0.047221	1.304439
57640	0.003671	-0.046357	1.304784
57641	0.004125	-0.047268	1.311227
57642	0.005485	-0.046532	1.310551
57643	0.006727	-0.045318	1.315127
57644	0.006544	-0.047650	1.315018
57645	0.006710	-0.045551	1.313042
57646	0.004408	-0.043453	1.312956
57647	0.003208	-0.042280	1.319884
57648	0.002569	-0.041319	1.319080
57649	0.001219	-0.038946	1.320815
57650	0.000071	-0.035979	1.321237
57651	0.000240	-0.033384	1.319844
57652	-0.000488	-0.029268	1.319154
57653	-0.001631	-0.028102	1.327871
57654	-0.002300	-0.026089	1.327106
57655	-0.003295	-0.027022	1.336864
57656	-0.002750	-0.026243	1.336531
57657	-0.003668	-0.025839	1.347078
57658	-0.003880	-0.027121	1.347010
57659	-0.005229	-0.028047	1.349621
57660	-0.005950	-0.027323	1.350780
57661	-0.006186	-0.028329	1.351286
57662	-0.006736	-0.030523	1.350371
57663	-0.005917	-0.032431	1.344910
57664	-0.007793	-0.032576	1.345562
57665	-0.006859	-0.034488	1.351586
57666	-0.007551	-0.034816	1.352708
57667	-0.007636	-0.036654	1.357206
57668	-0.009062	-0.036702	1.356707
57669	-0.008907	-0.037957	1.367337
57670	-0.009997	-0.037093	1.367688
57671	-0.010598	-0.038134	1.366419
57672	-0.010360	-0.039320	1.365204
57673	-0.009987	-0.039035	1.371403
57674	-0.011862	-0.039181	1.372057
57675	-0.011102	-0.039045	1.383252
57676	-0.011824	-0.038322	1.384415
57677	-0.012127	-0.036995	1.385608
57678	-0.014429	-0.034898	1.385527
57679	-0.016433	-0.033801	1.398341
57680	-0.016645	-0.035084	1.398279
57681	-0.018749	-0.033582	1.402873
57682	-0.019838	-0.032718	1.403226
57683	-0.021291	-0.032307	1.407359
57684	-0.023624	-0.029157	1.407317
57685	-0.024169	-0.029817	1.402266
57686	-0.026472	-0.027719	1.402187
57687	-0.028363	-0.026200	1.403456
57688	-0.028521	-0.026194	1.401472
57689	-0.029946	-0.025524	1.411638
57690	-0.032554	-0.025389	1.410672
57691	-0.034260	-0.024661	1.411252
57692	-0.035715	-0.023657	1.410795
57693	-0.037188	-0.023202	1.427423
57694	-0.038276	-0.022338	1.427777
57695	-0.038539	-0.022751	1.426547
57696	-0.040109	-0.020932	1.428090
57697	-0.041316	-0.021324	1.440567
57698	-0.041617	-0.019450	1.440621
57699	-0.042238	-0.021056	1.446028
57700	-0.043242	-0.019954	1.444423
57701	-0.044319	-0.020385	1.455069
57702	-0.045407	-0.019521	1.455425
57703	-0.044725	-0.021161	1.465030
57704	-0.046577	-0.018965	1.463802
57705	-0.046200	-0.018569	1.466527
57706	-0.047654	-0.017565	1.466073
57707	-0.048953	-0.015542	1.471998
57708	-0.048918	-0.012755	1.472903
57709	-0.049384	-0.012075	1.478971
57710	-0.049380	-0.008235	1.479913
57711	-0.049823	-0.007942	1.487383
57712	-0.050009	-0.006882	1.485440
57713	-0.049991	-0.006495	1.491727
57714	-0.049894	-0.005813	1.492557
57715	-0.051179	-0.005605	1.497878
57716	-0.051480	-0.003730	1.497935
57717	-0.050234	-0.005651	1.503287
57718	-0.050839	-0.005741	1.502458
57719	-0.050348	-0.005228	1.512499
57720	-0.049707	-0.007607	1.512067
57721	-0.048541	-0.008408	1.521725
57722	-0.047145	-0.008723	1.521030
57723	-0.046404	-0.009401	1.528498
57724	-0.045824	-0.009674	1.528141
57725	-0.044895	-0.011789	1.526908
57726	-0.044346	-0.011009	1.526590
57727	-0.043231	-0.012629	1.533040
57728	-0.043802	-0.013772	1.532175
57729	-0.043718	-0.013178	1.531932
57730	-0.043137	-0.013451	1.531577
57731	-0.043536	-0.013112	1.535423
57732	-0.044558	-0.014354	1.535707
57733	-0.044267	-0.014030	1.537494
57734	-0.045289	-0.015272	1.537778
57735	-0.045319	-0.014047	1.541058
57736	-0.045703	-0.012411	1.543079
57737	-0.046090	-0.011970	1.546883
57738	-0.046357	-0.011148	1.546905
57739	-0.045676	-0.010844	1.546497
57740	-0.046761	-0.009980	1.546857
57741	-0.045851	-0.007328	1.549657
57742	-0.046515	-0.005313	1.548906
57743	-0.048465	-0.005830	1.554695
